profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
fcart_8-0-0-9bddca2,Object,collectionobject,Object Description Information,Non-Textual Inscription,Non-textual inscription date,inscriptionDescriptionDateGroup,ns2:collectionobjects_common.inscriptionDescriptionDateGroup,inscriptionDescriptionDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Object,collectionobject,Object History and Association Information,Associations,Associated date value,assocStructuredDateGroup,ns2:collectionobjects_common.assocStructuredDateGroup,assocStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Object,collectionobject,Object History and Association Information,"",Ownership date,ownershipDateGroup,ns2:collectionobjects_common.ownershipDateGroup,ownershipDateGroup,y,n,"",""
fcart_8-0-0-9bddca2,Concept,concept,Concept Information,"",Related concept date,conceptRelationDateGroup,ns2:concepts_fineart.conceptRelationDateGroup,conceptRelationDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Concept,concept,Concept Information,"",Concept Date,conceptTermDateGroup,ns2:concepts_fineart.conceptTermDateGroup,conceptTermDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Condition Check,conditioncheck,Technical Changes,"",Technical change date,technicalChangeDate,ns2:conditionchecks_variablemedia.technicalChangeDate,technicalChangeDate,n,y,"",""
fcart_8-0-0-9bddca2,Exhibition,exhibition,Exhibition Information,"",Gallery rotation start date,galleryRotationStartDateGroup,ns2:exhibitions_common.galleryRotationStartDateGroup,galleryRotationStartDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Exhibition,exhibition,Exhibition Information,"",Gallery rotation end date,galleryRotationEndDateGroup,ns2:exhibitions_common.galleryRotationEndDateGroup,galleryRotationEndDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Object Exit,exit,Sale Information,"",Sale/auction date,saleDate,ns2:exits_common.saleDate,saleDate,n,n/a,"",""
fcart_8-0-0-9bddca2,Media Handling,media,Media Handling Information,"",Date,dateGroup,ns2:media_common.dateGroup,dateGroup,y,n,"",""
fcart_8-0-0-9bddca2,Object Exit (Legacy),objectexit,Object Exit Information,"",Exit date,exitDateGroup,ns2:objectexit_common.exitDateGroup,exitDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Organization,organization,Organization Information,"",Foundation date,foundingDateGroup,ns2:organizations_common.foundingDateGroup,foundingDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Organization,organization,Organization Information,"",Dissolution date,dissolutionDateGroup,ns2:organizations_common.dissolutionDateGroup,dissolutionDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Organization,organization,Organization Information,"",Contact date,contactDateGroup,ns2:organizations_common.contactDateGroup,contactDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Organization,organization,Organization Information,"",Contact end date,contactEndDateGroup,ns2:organizations_common.contactEndDateGroup,contactEndDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Person Information,"",Birth date,birthDateGroup,ns2:persons_common.birthDateGroup,birthDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Person,person,Person Information,"",Death date,deathDateGroup,ns2:persons_common.deathDateGroup,deathDateGroup,n,n/a,"",""
fcart_8-0-0-9bddca2,Person,person,Maker-Supplied Identity Information,"",Birth date supplied,suppliedStructuredBirthDateGroup,ns2:persons_common.suppliedStructuredBirthDateGroup,suppliedStructuredBirthDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated person date,assocPersonStructuredDateGroup,ns2:persons_common.assocPersonStructuredDateGroup,assocPersonStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated people date,assocPeopleStructuredDateGroup,ns2:persons_common.assocPeopleStructuredDateGroup,assocPeopleStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated organization date,assocOrganizationStructuredDateGroup,ns2:persons_common.assocOrganizationStructuredDateGroup,assocOrganizationStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated concept date,assocConceptStructuredDateGroup,ns2:persons_common.assocConceptStructuredDateGroup,assocConceptStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated place date,assocPlaceStructuredDateGroup,ns2:persons_common.assocPlaceStructuredDateGroup,assocPlaceStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Person,person,Associated Authorities,"",Associated event/era date,assocChronologyStructuredDateGroup,ns2:persons_common.assocChronologyStructuredDateGroup,assocChronologyStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Place Information,"",Term date,nameDateGroup,ns2:places_common.nameDateGroup,nameDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Place Information,"",Ownership date,ownershipDateGroup,ns2:places_common.ownershipDateGroup,ownershipDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Georeference Information,"",Georeference date,geoRefDateGroup,ns2:places_common.geoRefDateGroup,geoRefDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated person date,assocPersonStructuredDateGroup,ns2:places_common.assocPersonStructuredDateGroup,assocPersonStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated people date,assocPeopleStructuredDateGroup,ns2:places_common.assocPeopleStructuredDateGroup,assocPeopleStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated organization date,assocOrganizationStructuredDateGroup,ns2:places_common.assocOrganizationStructuredDateGroup,assocOrganizationStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated concept date,assocConceptStructuredDateGroup,ns2:places_common.assocConceptStructuredDateGroup,assocConceptStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated place date,assocPlaceStructuredDateGroup,ns2:places_common.assocPlaceStructuredDateGroup,assocPlaceStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Place,place,Associated Authorities,"",Associated event/era date,assocChronologyStructuredDateGroup,ns2:places_common.assocChronologyStructuredDateGroup,assocChronologyStructuredDateGroup,n,y,"",""
fcart_8-0-0-9bddca2,Restricted Media Handling,restrictedmedia,Media Handling Information,"",Date,dateGroup,ns2:restrictedmedia_common.dateGroup,dateGroup,y,n,"",""
fcart_8-0-0-9bddca2,Work,work,Work Information,"",Work date,workDateGroup,ns2:works_common.workDateGroup,workDateGroup,y,n,"",""
