"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,integer,string,string,string,string,date,string,string,string,string,string,string,string,string,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,string,string,date,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,date,date,string,string,string,string,string,string,string,string,string,date,date,date,date,date,string,string,string,string,string,date,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,string,string,string,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,integer,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,integer,integer,string,string
REPEATABLE FIELD?,n,n,n,y,n,y,y,n,n,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,y,y,y,y,y,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,y,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
REPEATING FIELD GROUP,"",otherNumberList < otherNumber,otherNumberList < otherNumber,"","","","","","","","","","","",annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,titleGroupList < titleGroup,titleGroupList < titleGroup,titleGroupList < titleGroup,titleGroupList < titleGroup < titleTranslationSubGroupList < titleTranslationSubGroup,titleGroupList < titleGroup < titleTranslationSubGroupList < titleTranslationSubGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,objectCountGroupList < objectCountGroup,"","","","","","","","","","","","",materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,"",objectComponentGroupList < objectComponentGroup,objectComponentGroupList < objectComponentGroup,technicalAttributeGroupList < technicalAttributeGroup,technicalAttributeGroupList < technicalAttributeGroup,technicalAttributeGroupList < technicalAttributeGroup,measuredPartGroupList < measuredPartGroup,measuredPartGroupList < measuredPartGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup,"","","","","","","",contentObjectGroupList < contentObjectGroup,contentObjectGroupList < contentObjectGroup,"","","","","","","","","",contentEventNameGroupList < contentEventNameGroup,contentEventNameGroupList < contentEventNameGroup,"","",contentOtherGroupList < contentOtherGroup,contentOtherGroupList < contentOtherGroup,"",textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,textualInscriptionGroupList < textualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,nonTextualInscriptionGroupList < nonTextualInscriptionGroup,"","","",techniqueGroupList < techniqueGroup,techniqueGroupList < techniqueGroup,objectProductionPlaceGroupList < objectProductionPlaceGroup,objectProductionPlaceGroupList < objectProductionPlaceGroup,"",objectProductionPeopleGroupList < objectProductionPeopleGroup,objectProductionPeopleGroupList < objectProductionPeopleGroup,objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,"","",assocActivityGroupList < assocActivityGroup,assocActivityGroupList < assocActivityGroup,assocActivityGroupList < assocActivityGroup,assocObjectGroupList < assocObjectGroup,assocObjectGroupList < assocObjectGroup,assocObjectGroupList < assocObjectGroup,assocConceptGroupList < assocConceptGroup,assocConceptGroupList < assocConceptGroup,assocConceptGroupList < assocConceptGroup,assocConceptGroupList < assocConceptGroup,assocCulturalContextGroupList < assocCulturalContextGroup,assocCulturalContextGroupList < assocCulturalContextGroup,assocCulturalContextGroupList < assocCulturalContextGroup,assocOrganizationGroupList < assocOrganizationGroup,assocOrganizationGroupList < assocOrganizationGroup,assocOrganizationGroupList < assocOrganizationGroup,assocOrganizationGroupList < assocOrganizationGroup,assocPeopleGroupList < assocPeopleGroup,assocPeopleGroupList < assocPeopleGroup,assocPeopleGroupList < assocPeopleGroup,assocPersonGroupList < assocPersonGroup,assocPersonGroupList < assocPersonGroup,assocPersonGroupList < assocPersonGroup,assocPersonGroupList < assocPersonGroup,assocPlaceGroupList < assocPlaceGroup,assocPlaceGroupList < assocPlaceGroup,assocPlaceGroupList < assocPlaceGroup,"","","","","","","","","","","",assocDateGroupList < assocDateGroup,assocDateGroupList < assocDateGroup,assocDateGroupList < assocDateGroup,"",usageGroupList < usageGroup,usageGroupList < usageGroup,"","","","","","","","","","","","","","","","","","","",referenceGroupList < referenceGroup,referenceGroupList < referenceGroup,referenceGroupList < referenceGroup,publishedRelatedLinkGroupList < publishedRelatedLinkGroup,publishedRelatedLinkGroupList < publishedRelatedLinkGroup,"","","","","","","","","","","","","","",rightsGroupList < rightsGroup,rightsGroupList < rightsGroup,rightsGroupList < rightsGroup,rightsGroupList < rightsGroup < rightHolderGroupList < rightHolderGroup,rightsGroupList < rightsGroup < rightHolderGroupList < rightHolderGroup,rightsGroupList < rightsGroup < rightHolderGroupList < rightHolderGroup,rightsGroupList < rightsGroup < rightHolderGroupList < rightHolderGroup,rightsGroupList < rightsGroup,rightsGroupList < rightsGroup,rightsGroupList < rightsGroup,rightsGroupList < rightsGroup,rightsInGroupList < rightsInGroup < rightInTypes,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup < rightInRestrictions,rightsInGroupList < rightsInGroup,rightsInGroupList < rightsInGroup,objectSignificanceGroupList < objectSignificanceGroup,objectSignificanceGroupList < objectSignificanceGroup,objectSignificanceGroupList < objectSignificanceGroup,objectSignificanceGroupList < objectSignificanceGroup,objectSignificanceGroupList < objectSignificanceGroup,"","","",credentialGroupList < credentialGroup,credentialGroupList < credentialGroup,credentialGroupList < credentialGroup,distributedLedgerGroupList < distributedLedgerGroup,distributedLedgerGroupList < distributedLedgerGroup,distributedLedgerGroupList < distributedLedgerGroup,ledgerGroupList < ledgerGroup,ledgerGroupList < ledgerGroup,ledgerGroupList < ledgerGroup,checksumGroupList < checksumGroup,checksumGroupList < checksumGroup,checksumGroupList < checksumGroup,"",avFormatGroupList < avFormatGroup,avFormatGroupList < avFormatGroup,avChannelGroupList < avChannelGroup,avChannelGroupList < avChannelGroup,"",fileCodecGroupList < fileCodecGroup,fileCodecGroupList < fileCodecGroup,fileCodecGroupList < fileCodecGroup,"","","",aspectRatioGroupList < aspectRatioGroup,aspectRatioGroupList < aspectRatioGroup,colorSpaceGroupList < colorSpaceGroup,colorSpaceGroupList < colorSpaceGroup,avTechnicalAttributeGroupList < avTechnicalAttributeGroup,avTechnicalAttributeGroupList < avTechnicalAttributeGroup,avTechnicalAttributeGroupList < avTechnicalAttributeGroup,avTechnicalAttributeGroupList < avTechnicalAttributeGroup,"",programmingLanguageGroupList < programmingLanguageGroup,programmingLanguageGroupList < programmingLanguageGroup,utilizedSoftwareGroupList < utilizedSoftwareGroup,utilizedSoftwareGroupList < utilizedSoftwareGroup,intendedOperatingSystemGroupList < intendedOperatingSystemGroup,intendedOperatingSystemGroupList < intendedOperatingSystemGroup,"","",networkConnectionGroupList < networkConnectionGroup,networkConnectionGroupList < networkConnectionGroup,intendedBrowserGroupList < intendedBrowserGroup,intendedBrowserGroupList < intendedBrowserGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,domainGroupList < domainGroup,applicationInteractionGroupList < applicationInteractionGroup,applicationInteractionGroupList < applicationInteractionGroup,applicationInteractionGroupList < applicationInteractionGroup,softwareTechnicalAttributeGroupList < softwareTechnicalAttributeGroup,softwareTechnicalAttributeGroupList < softwareTechnicalAttributeGroup,softwareTechnicalAttributeGroupList < softwareTechnicalAttributeGroup,softwareTechnicalAttributeGroupList < softwareTechnicalAttributeGroup,""
VALUE SOURCE TYPE,na,na,optionlist,optionlist,optionlist,authority,authority vocabulary indication,vocabulary,optionlist,vocabulary,vocabulary,na,na,na,vocabulary,na,authority,authority vocabulary indication,na,na,vocabulary,optionlist,na,vocabulary,authority,authority vocabulary indication,na,optionlist,optionlist,optionlist,optionlist,vocabulary,na,na,vocabulary,vocabulary,authority,authority vocabulary indication,na,na,na,optionlist,optionlist,optionlist,optionlist,na,vocabulary,na,optionlist,na,na,vocabulary,authority,authority vocabulary indication,na,na,na,na,na,na,optionlist,na,optionlist,optionlist,optionlist,optionlist,na,optionlist,authority,authority vocabulary indication,optionlist,na,optionlist,na,na,na,na,vocabulary,na,authority,authority vocabulary indication,na,optionlist,na,optionlist,na,authority,authority vocabulary indication,authority,authority vocabulary indication,na,optionlist,authority,authority vocabulary indication,na,na,authority,authority vocabulary indication,na,na,na,na,authority,authority vocabulary indication,vocabulary,na,optionlist,optionlist,optionlist,na,na,na,na,na,authority,authority vocabulary indication,na,optionlist,optionlist,na,na,na,authority,authority vocabulary indication,na,na,na,na,na,na,na,authority,authority vocabulary indication,na,authority,authority vocabulary indication,na,na,na,na,na,na,na,na,na,authority,authority vocabulary indication,na,na,na,na,na,authority,authority vocabulary indication,na,na,na,na,na,authority,authority vocabulary indication,na,na,na,na,na,na,na,authority,authority vocabulary indication,authority,authority vocabulary indication,na,authority,authority vocabulary indication,na,na,na,na,na,na,na,na,authority,authority vocabulary indication,na,optionlist,optionlist,na,optionlist,na,vocabulary,na,na,na,na,na,na,na,na,na,na,authority,authority vocabulary indication,na,na,na,authority,authority vocabulary indication,na,vocabulary,authority,authority vocabulary indication,authority,authority vocabulary indication,authority,authority vocabulary indication,na,na,na,na,vocabulary,na,na,authority,authority vocabulary indication,authority,authority vocabulary indication,optionlist,vocabulary,na,na,vocabulary,na,na,na,na,na,vocabulary,na,na,vocabulary,vocabulary,na,authority,authority vocabulary indication,authority,authority vocabulary indication,vocabulary,vocabulary,optionlist,na,vocabulary,na,na,vocabulary,na,na,na,vocabulary,na,na,vocabulary,vocabulary,na,vocabulary,na,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,na,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,vocabulary,optionlist,vocabulary,vocabulary,na,na,authority,authority vocabulary indication,vocabulary,na,authority,authority vocabulary indication,optionlist,vocabulary,na,vocabulary,na,na,vocabulary,na
VALUE SOURCE,"","","associated uuid, barcode, lender, obsolete, previous, serial, unknown","antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings","library-collection, permanent-collection, study-collection, teaching-collection",,"",descriptionlevel,"approved, in-process, new, temporary",publishto,inventorystatus,"","","",annotationtype,"",,"","","",languages,"assigned-by-artist, collection, generic, popular, series, trade","",languages,,"","","archaic, current","group, subgroup","art-and-architecture-thesaurus, nomenclature","classified, denomination, simple, taxonomic, typological",languages,"","",objectcountunit,objectcounttypes,,"","","","","copy, forgery, holotype, paralectotype, paratype, type","female, male","adult, imago, larva, nymph, pupa","dry, pinned, thin-section, wet","",agequalifier,"","days, months, weeks, years","","",apparelsizes,,"","","","","","","","blade, buttonhole, handle, sleeve","","magnetic-tape-type, record-speed","78, metal",rpm,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed","","area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width",,"","balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station","","carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons","","","","",languages,"",,"","","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","","food, furniture","",,"",,"","","carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",,"","","",,"","","","","",,"",languages,"","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals","brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage","","","","","",,"","","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage","","","",,"","","","","","","","",,"","",,"","","","","","","","","","",,"","","","","","",,"","","","","","",,"","","","","","","","",,"",,"","",,"","","","","","","","","",,"","","limited, open, restricted","company, private, public","","bequest, exchange, gift, purchase, transfer, treasure","",currency,"","","","","","","","","","",,"","","","",,"","",collectionmethod,,"",,"",,"","","","","",rightstype,"","",,"",,"","AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",standardizedrightstatement,"","",rightsin,"","","","","",rightsinrestriction,"","",assignedsignificance,significanceassignedby,"",,"",,"",vmcomponentstatus,credentialtype,"no, yes","",distributedledgertype,"","",ledgertype,"","","",checksumtypes,"","",formattypenames,formats,"",formattypenames,"",filecodecs,compressionstandards,filecontainers,audiotypes,audiopreferences,chromasubsampling,aspectratios,aspectratiotypes,colorspaces,colortypes,avattributes,"","",avattributeunits,"",programminglanguage,"",utilizedsoftware,"",operatingsystems,"",softwarelibraries,compilers,"no, yes",connectiontype,webbrowsers,"","",,"",domaintype,"",,"","no, yes",interactingapplication,"",softwareattributes,"","",softwareattributeunits,""
CSVHEADER,objectNumber,numberValue,numberType,responsibleDepartment,collection,namedCollection,namedCollectionAuthorityVocabulary,descriptionLevel,recordStatus,publishTo,inventoryStatus,briefDescription,distinguishingFeatures,comment,annotationType,annotationDate,annotationAuthor,annotationAuthorAuthorityVocabulary,annotationNote,title,titleLanguage,titleType,titleTranslation,titleTranslationLanguage,objectNameControlled,objectNameControlledAuthorityVocabulary,objectName,objectNameCurrency,objectNameLevel,objectNameSystem,objectNameType,objectNameLanguage,objectNameNote,objectCount,objectCountUnit,objectCountType,objectCountCountedBy,objectCountCountedByAuthorityVocabulary,objectCountDate,objectCountNote,copyNumber,objectStatus,sex,phase,form,editionNumber,ageQualifier,age,ageUnit,style,color,apparelSize,materialControlled,materialControlledAuthorityVocabulary,material,materialComponent,materialComponentNote,materialName,materialSource,physicalDescription,objectComponentName,objectComponentInformation,technicalAttribute,technicalAttributeMeasurement,technicalAttributeMeasurementUnit,measuredPart,dimensionSummary,dimension,measuredBy,measuredByAuthorityVocabulary,measurementMethod,value,measurementUnit,valueQualifier,valueDate,measuredPartNote,contentDescription,contentLanguage,contentActivity,contentConcept,contentConceptAuthorityVocabulary,contentDateGroup,contentPosition,contentObject,contentObjectType,contentPeople,contentPerson,contentPersonAuthorityVocabulary,controlledContentPlace,controlledContentPlaceAuthorityVocabulary,contentPlace,contentScript,contentOrganization,contentOrganizationAuthorityVocabulary,contentEventName,contentEventNameType,contentEvent,contentEventAuthorityVocabulary,contentOther,contentOtherType,contentNote,inscriptionContent,inscriptionContentInscriber,inscriptionContentInscriberAuthorityVocabulary,inscriptionContentLanguage,inscriptionContentDateGroup,inscriptionContentPosition,inscriptionContentScript,inscriptionContentType,inscriptionContentMethod,inscriptionContentInterpretation,inscriptionContentTranslation,inscriptionContentTransliteration,inscriptionDescription,inscriptionDescriptionInscriber,inscriptionDescriptionInscriberAuthorityVocabulary,inscriptionDescriptionDateGroup,inscriptionDescriptionPosition,inscriptionDescriptionType,inscriptionDescriptionMethod,inscriptionDescriptionInterpretation,objectProductionDateGroup,objectProductionEra,objectProductionEraAuthorityVocabulary,technique,techniqueType,objectProductionPlace,objectProductionPlaceRole,objectProductionReason,objectProductionPeople,objectProductionPeopleRole,objectProductionPerson,objectProductionPersonAuthorityVocabulary,objectProductionPersonRole,objectProductionOrganization,objectProductionOrganizationAuthorityVocabulary,objectProductionOrganizationRole,objectProductionAgent,objectProductionNote,assocActivity,assocActivityType,assocActivityNote,assocObject,assocObjectType,assocObjectNote,assocConcept,assocConceptAuthorityVocabulary,assocConceptType,assocConceptNote,assocCulturalContext,assocCulturalContextType,assocCulturalContextNote,assocOrganization,assocOrganizationAuthorityVocabulary,assocOrganizationType,assocOrganizationNote,assocPeople,assocPeopleType,assocPeopleNote,assocPerson,assocPersonAuthorityVocabulary,assocPersonType,assocPersonNote,assocPlace,assocPlaceType,assocPlaceNote,assocEventName,assocEventNameType,assocEvent,assocEventAuthorityVocabulary,assocEventOrganization,assocEventOrganizationAuthorityVocabulary,assocEventPeople,assocEventPerson,assocEventPersonAuthorityVocabulary,assocEventPlace,assocEventNote,assocStructuredDateGroup,assocDateType,assocDateNote,objectHistoryNote,usage,usageNote,owner,ownerAuthorityVocabulary,ownershipDateGroup,ownershipAccess,ownershipCategory,ownershipPlace,ownershipExchangeMethod,ownershipExchangeNote,ownershipExchangePriceCurrency,ownershipExchangePriceValue,ownersPersonalExperience,ownersPersonalResponse,ownersReference,ownersContributionNote,viewersRole,viewersPersonalExperience,viewersPersonalResponse,viewersReference,viewersContributionNote,reference,referenceAuthorityVocabulary,referenceNote,relatedLink,descriptiveTitle,fieldCollectionSite,fieldCollectionSiteAuthorityVocabulary,fieldCollectionDateGroup,fieldCollectionMethod,fieldCollectionPlace,fieldCollectionPlaceAuthorityVocabulary,fieldCollectionSource,fieldCollectionSourceAuthorityVocabulary,fieldCollector,fieldCollectorAuthorityVocabulary,fieldCollectionNumber,fieldColEventName,fieldCollectionFeature,fieldCollectionNote,rightType,rightBeginDate,rightEndDate,rightHolder,rightHolderAuthorityVocabulary,rightHolderContact,rightHolderContactAuthorityVocabulary,rightJurisdiction,standardizedRightStatement,rightStatement,rightNote,rightInType,rightInBeginDate,rightInEndDate,agreementSent,agreementReceived,agreementSigned,rightInRestriction,rightReproductionStatement,rightInNote,assignedSignificance,significanceAssignedBy,significanceAssignedDate,significanceAssignedContact,significanceAssignedContactAuthorityVocabulary,objectSuppliedBy,objectSuppliedByAuthorityVocabulary,variableMediaComponentStatus,credentialType,credentialRequiredForUse,credentialLocation,distributedStorageLedger,distributedLedgerParentIdentifier,distributedLedgerObjectIdentifier,ledger,ledgerContractAddress,ledgerTokenID,checksumValue,checksumType,checksumDate,intendedBehavior,formatType,format,numberOfChannels,channelType,channelLayout,fileCodec,compressionStandard,fileContainer,audioType,audioPreferences,chromaSubsampling,aspectRatio,aspectRatioType,colorSpace,colorType,avTechnicalAttribute,avTechnicalAttributeLowValue,avTechnicalAttributeHighValue,avTechnicalAttributeUnit,avSpecificationNote,programmingLanguageName,programmingLanguageVersion,software,softwareVersion,intendedOperatingSystem,intendedOperatingSystemVersion,softwareLibrary,codeCompiler,networkConnectionRequired,networkConnectionType,intendedBrowser,intendedBrowserVersion,domainName,domainHost,domainHostAuthorityVocabulary,domainType,domainVersion,domainOwner,domainOwnerAuthorityVocabulary,applicationInteractionRequired,applicationRequired,applicationRequiredFor,softwareTechnicalAttribute,softwareTechnicalAttributeLowValue,softwareTechnicalAttributeHighValue,softwareTechnicalAttributeUnit,apiUrl
