profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
bonsai_7-0-0-a2ede77,Citation,citation,Citation Information,"",Related term type,relationType,ns2:citations_common.relationType,relationType; relationTypeRefname,string,n,n,y,vocabulary; refname,relationtypetype; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Repatriation request number,requestNumber,ns2:repatriationrequests_common.requestNumber,requestNumber,string,y,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Title,title,ns2:repatriationrequests_common.title,title,string,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Type,type,ns2:repatriationrequests_common.type,type; typeRefname,string,n,y,n,vocabulary; refname,repatriationrequesttype; vocabulary refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Alternative identifier,alternativeIdentifier,ns2:repatriationrequests_common.alternativeIdentifier,alternativeIdentifier,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Alternative identifier note,alternativeIdentifierNote,ns2:repatriationrequests_common.alternativeIdentifierNote,alternativeIdentifierNote,string,n,n,y,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Origination date,requestDate,ns2:repatriationrequests_common.requestDate,requestDate,date,n,n,n/a,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Note,note,ns2:repatriationrequests_common.note,note,string,n,y,n,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Treatment note,treatmentNote,ns2:repatriationrequests_common.treatmentNote,treatmentNote,string,n,y,n,"","",""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Parties involved person,involvedParty,ns2:repatriationrequests_common.involvedParty,involvedPartyPersonLocal; involvedPartyRefname,string,n,n,y,authority; refname,person/local; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Parties involved on behalf of,involvedOnBehalfOf,ns2:repatriationrequests_common.involvedOnBehalfOf,involvedOnBehalfOfOrganizationLocal; involvedOnBehalfOfRefname,string,n,n,y,authority; refname,organization/local; authority refname,""
bonsai_7-0-0-a2ede77,Repatriation Request,repatriationrequest,Repatriation Request Information,"",Parties involved role,involvedRole,ns2:repatriationrequests_common.involvedRole,involvedRole; involvedRoleRefname,string,n,n,y,vocabulary; refname,nagprainvolvedrole; vocabulary refname,""
