profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
fcart_6-0-0,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
fcart_6-0-0,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local; authority: place/tgn,"",citation,publicationPlace
fcart_6-0-0,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
fcart_6-0-0,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
fcart_6-0-0,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
fcart_6-0-0,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation,agent
fcart_6-0-0,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
fcart_6-0-0,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
fcart_6-0-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
fcart_6-0-0,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
fcart_6-0-0,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
fcart_6-0-0,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
fcart_6-0-0,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation,relatedTerm
fcart_6-0-0,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
fcart_6-0-0,Chronology,Term display name,Chronology Information,Term,string,y,n,y,"","",chronology,termDisplayName
fcart_6-0-0,Chronology,Term name,Chronology Information,Term,string,n,n,y,"","",chronology,termName
fcart_6-0-0,Chronology,Term qualifier,Chronology Information,Term,string,n,n,y,"","",chronology,termQualifier
fcart_6-0-0,Chronology,Term status,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermstatus,"",chronology,termStatus
fcart_6-0-0,Chronology,Term type,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermtype,"",chronology,termType
fcart_6-0-0,Chronology,Term flag,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermflag,"",chronology,termFlag
fcart_6-0-0,Chronology,Term historical status,Chronology Information,Term,string,n,n,y,vocabulary: chronologyhistoricalstatus,"",chronology,historicalStatus
fcart_6-0-0,Chronology,Term language,Chronology Information,Term,string,n,n,y,vocabulary: languages,"",chronology,termLanguage
fcart_6-0-0,Chronology,Term preferred for lang,Chronology Information,Term,boolean,n,n,y,"","",chronology,termPrefForLang
fcart_6-0-0,Chronology,Term source name,Chronology Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,termSource
fcart_6-0-0,Chronology,Term source detail,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceDetail
fcart_6-0-0,Chronology,Term source ID,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceID
fcart_6-0-0,Chronology,Term source note,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceNote
fcart_6-0-0,Chronology,Primary date range,Chronology Information,"",structured date group,n,n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
fcart_6-0-0,Chronology,Chronology type,Chronology Information,"",string,n,n,n/a,vocabulary: chronologytypes,"",chronology,chronologyType
fcart_6-0-0,Chronology,Spatial coverage,Chronology Information,"",string,n,y,n,authority: place/local; authority: place/tgn,"",chronology,spatialCoverage
fcart_6-0-0,Chronology,Chronology description,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyDescription
fcart_6-0-0,Chronology,Chronology note,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyNote
fcart_6-0-0,Chronology,Resource identifier value,Chronology Information,Resource identifier,string,n,n,y,"","",chronology,identifierValue
fcart_6-0-0,Chronology,Resource identifier citation,Chronology Information,Resource identifier,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,identifierCitation
fcart_6-0-0,Chronology,Resource identifier date,Chronology Information,Resource identifier,date,n,n,y,"","",chronology,identifierDate
fcart_6-0-0,Chronology,Alternative date range,Alternative Date Information,Alternative date,structured date group,n,n,y,"","",chronology,altDateRangeStructuredDateGroup
fcart_6-0-0,Chronology,Alternative date spatial coverage,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: place/local; authority: place/tgn,"",chronology,altDateSpatialCoverage
fcart_6-0-0,Chronology,Alternative date citation,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,altDateCitation
fcart_6-0-0,Chronology,Alternative date note,Alternative Date Information,Alternative date,string,n,n,y,"","",chronology,altDateNote
fcart_6-0-0,Object,Identification number,Object Identification Information,"",string,y,n,n/a,"","",collectionobject,objectNumber
fcart_6-0-0,Object,Number of objects,Object Identification Information,"",integer,n,n,n/a,"","",collectionobject,numberOfObjects
fcart_6-0-0,Object,Other number value,Object Identification Information,Other number,string,n,n,y,"","",collectionobject,numberValue
fcart_6-0-0,Object,Other number type,Object Identification Information,Other number,string,n,n,y,option list: numberTypes,"catalogue, catalogueraoisonne, exhibition, lender, model, obsolete, page, previous, serial, sheet, unknown",collectionobject,numberType
fcart_6-0-0,Object,Responsible department,Object Identification Information,"",string,n,y,n,option list: departments,"antiquities, architecture-design, decorative-arts, ethnography, library, media-performance-art, paintings-sculpture, photographs, prints-drawings",collectionobject,responsibleDepartment
fcart_6-0-0,Object,Collection,Object Identification Information,"",string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection",collectionobject,collection
fcart_6-0-0,Object,Named collection,Object Identification Information,"",string,n,y,n,authority: work/local,"",collectionobject,namedCollection
fcart_6-0-0,Object,Description level,Object Identification Information,"",string,n,n,n/a,vocabulary: descriptionlevel,"",collectionobject,descriptionLevel
fcart_6-0-0,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
fcart_6-0-0,Object,Cataloging level,Object Identification Information,"",string,n,n,n/a,vocabulary: cataloglevel,"",collectionobject,catalogLevel
fcart_6-0-0,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary: publishto,"",collectionobject,publishTo
fcart_6-0-0,Object,Inventory status,Object Identification Information,"",string,n,y,n,vocabulary: inventorystatus,"",collectionobject,inventoryStatus
fcart_6-0-0,Object,Brief description,Object Identification Information,"",string,n,y,n,"","",collectionobject,briefDescription
fcart_6-0-0,Object,Distinguishing features,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,distinguishingFeatures
fcart_6-0-0,Object,Comment,Object Identification Information,"",string,n,y,n,"","",collectionobject,comment
fcart_6-0-0,Object,Computed current location,Object Identification Information,"",string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,"",collectionobject,computedCurrentLocation
fcart_6-0-0,Object,Title,Object Identification Information,Title,string,n,n,y,"","",collectionobject,title
fcart_6-0-0,Object,Title language,Object Identification Information,Title,string,n,n,y,vocabulary: languages,"",collectionobject,titleLanguage
fcart_6-0-0,Object,Title type,Object Identification Information,Title,string,n,n,y,option list: titleTypes,"assignedbyartist, collection, collective, constructed, creatorassigned, descriptive, former, inscribed, institutional, local, manuscriptdesignation, original, popular, published, repository, series, trade, traditional, translated",collectionobject,titleType
fcart_6-0-0,Object,Title translation,Object Identification Information,Title > Title translation,string,n,n,y,"","",collectionobject,titleTranslation
fcart_6-0-0,Object,Title translation language,Object Identification Information,Title > Title translation,string,n,n,y,vocabulary: languages,"",collectionobject,titleTranslationLanguage
fcart_6-0-0,Object,Object name,Object Identification Information,Object name,string,n,n,y,"","",collectionobject,objectName
fcart_6-0-0,Object,Object name controlled,Object Identification Information,Object name,string,n,n,y,authority: concept/nomenclature,"",collectionobject,objectNameControlled
fcart_6-0-0,Object,Object name currency,Object Identification Information,Object name,string,n,n,y,option list: nameCurrencies,"archaic, current",collectionobject,objectNameCurrency
fcart_6-0-0,Object,Object name level,Object Identification Information,Object name,string,n,n,y,option list: nameLevels,"collection, component, group, item, multiples, series, set, subgroup, volume",collectionobject,objectNameLevel
fcart_6-0-0,Object,Object name system,Object Identification Information,Object name,string,n,n,y,option list: nameSystems,"art-and-architecture-thesaurus, nomenclature",collectionobject,objectNameSystem
fcart_6-0-0,Object,Object name type,Object Identification Information,Object name,string,n,n,y,option list: nameTypes,"architecture, armsandarmor, builtwork, ceramics, costume, decorativearts, furniture, graphicarts, installation, jewelry, mediaart, mixedmedia, moveablework, mural, musicalinstrument, painting, performance, photograph, portfolio, print, sculpture, sketchbook, textile, tools, video, workonpaper",collectionobject,objectNameType
fcart_6-0-0,Object,Object name language,Object Identification Information,Object name,string,n,n,y,vocabulary: languages,"",collectionobject,objectNameLanguage
fcart_6-0-0,Object,Object name note,Object Identification Information,Object name,string,n,n,y,"","",collectionobject,objectNameNote
fcart_6-0-0,Object,Production date,Object Production Information,"",structured date group,n,y,n,"","",collectionobject,objectProductionDateGroup
fcart_6-0-0,Object,Production era,Object Production Information,"",string,n,y,n,authority: chronology/era,"",collectionobject,objectProductionEra
fcart_6-0-0,Object,Production technique,Object Production Information,Production technique,string,n,n,y,"","",collectionobject,technique
