"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,string,string,string,string,string,date,string,string,string,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,float,string,string,string,float,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,n,n,n
REPEATING FIELD GROUP,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,featuredCollectionGroupList < featuredCollectionGroup,featuredCollectionGroupList < featuredCollectionGroup,featuredCollectionGroupList < featuredCollectionGroup,"",materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,"","","","","","","","",materialProductionOrganizationGroupList < materialProductionOrganizationGroup,materialProductionOrganizationGroupList < materialProductionOrganizationGroup,materialProductionOrganizationGroupList < materialProductionOrganizationGroup,materialProductionPersonGroupList < materialProductionPersonGroup,materialProductionPersonGroupList < materialProductionPersonGroup,materialProductionPersonGroupList < materialProductionPersonGroup,materialProductionPlaceGroupList < materialProductionPlaceGroup,materialProductionPlaceGroupList < materialProductionPlaceGroup,materialProductionPlaceGroupList < materialProductionPlaceGroup,featuredApplicationGroupList < featuredApplicationGroup,featuredApplicationGroupList < featuredApplicationGroup,featuredApplicationGroupList < featuredApplicationGroup,materialCitationGroupList < materialCitationGroup,materialCitationGroupList < materialCitationGroup,materialCitationGroupList < materialCitationGroup,externalUrlGroupList < externalUrlGroup,externalUrlGroupList < externalUrlGroup,additionalResourceGroupList < additionalResourceGroup,additionalResourceGroupList < additionalResourceGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,"",formTypeGroupList < formTypeGroup,typicalSizeGroupList < typicalSizeGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,"",acousticalPropertyGroupList < acousticalPropertyGroup,acousticalPropertyGroupList < acousticalPropertyGroup,durabilityPropertyGroupList < durabilityPropertyGroup,durabilityPropertyGroupList < durabilityPropertyGroup,electricalPropertyGroupList < electricalPropertyGroup,electricalPropertyGroupList < electricalPropertyGroup,hygrothermalPropertyGroupList < hygrothermalPropertyGroup,hygrothermalPropertyGroupList < hygrothermalPropertyGroup,mechanicalPropertyGroupList < mechanicalPropertyGroup,mechanicalPropertyGroupList < mechanicalPropertyGroup,opticalPropertyGroupList < opticalPropertyGroup,opticalPropertyGroupList < opticalPropertyGroup,sensorialPropertyGroupList < sensorialPropertyGroup,sensorialPropertyGroupList < sensorialPropertyGroup,smartMaterialPropertyGroupList < smartMaterialPropertyGroup,smartMaterialPropertyGroupList < smartMaterialPropertyGroup,additionalPropertyGroupList < additionalPropertyGroup,additionalPropertyGroupList < additionalPropertyGroup,"",recycledContentGroupList < recycledContentGroup,recycledContentGroupList < recycledContentGroup,recycledContentGroupList < recycledContentGroup,lifecycleComponentGroupList < lifecycleComponentGroup,lifecycleComponentGroupList < lifecycleComponentGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,certificationCreditGroupList < certificationCreditGroup,certificationCreditGroupList < certificationCreditGroup,"","","","","","","","",additionalProcessGroupList < additionalProcessGroup,additionalProcessGroupList < additionalProcessGroup,""
VALUE SOURCE TYPE,na,na,na,optionlist,optionlist,vocabulary,optionlist,vocabulary,na,authority,authority vocabulary indication,na,na,na,authority,authority vocabulary indication,na,vocabulary,authority,authority vocabulary indication,authority,authority vocabulary indication,authority,authority vocabulary indication,na,vocabulary,optionlist,authority,authority vocabulary indication,na,na,na,authority,authority vocabulary indication,vocabulary,authority,authority vocabulary indication,vocabulary,authority,authority vocabulary indication,vocabulary,authority,authority vocabulary indication,na,authority,authority vocabulary indication,na,na,na,vocabulary,na,authority,authority vocabulary indication,authority,authority vocabulary indication,na,authority,authority vocabulary indication,authority,authority vocabulary indication,na,na,vocabulary,vocabulary,na,optionlist,optionlist,na,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,na,na,na,vocabulary,vocabulary,na,na,na,vocabulary,na,vocabulary,na,na,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,na,na
VALUE SOURCE,"","","","accepted, provisional, rejected, under review","alternate descriptor, descriptor, used for term",materialtermflag,"both, current, historical, unknown",languages,"",,"","","","",,"","",publishto,,"",,"",,"","",materialuse,"no, yes",,"","","","",,"",materialproductionrole,,"",materialproductionrole,,"",materialproductionrole,,"","",,"","","","",materialresource,"",,"",,"","",,"",,"","","",materialform,materialformtype,"","area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width","carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons","","",acousticalproperties,"",durabilityproperties,"",electricalproperties,"",hygrothermalproperties,"",mechanicalproperties,"",opticalproperties,"",sensorialproperties,"",smartmaterialproperties,"",additionalproperties,"","","","",recycledcontentqualifiers,lifecyclecomponents,"","","",energyunits,"",ecologicalcertifications,"","",castingprocesses,joiningprocesses,moldingprocesses,surfacingprocesses,deformingprocesses,machiningprocesses,rapidprototypingprocesses,additionalprocesses,"",""
CSVHEADER,termDisplayName,termName,termQualifier,termStatus,termType,termFlag,historicalStatus,termLanguage,termPrefForLang,termSource,termSourceAuthorityVocabulary,termSourceDetail,termSourceID,termSourceNote,featuredCollection,featuredCollectionAuthorityVocabulary,featuredCollectionNote,publishTo,materialCompositionFamilyName,materialCompositionFamilyNameAuthorityVocabulary,materialCompositionClassName,materialCompositionClassNameAuthorityVocabulary,materialCompositionGenericName,materialCompositionGenericNameAuthorityVocabulary,description,typicalUse,discontinued,discontinuedBy,discontinuedByAuthorityVocabulary,discontinuedDate,productionDate,productionNote,materialProductionOrganization,materialProductionOrganizationAuthorityVocabulary,materialProductionOrganizationRole,materialProductionPerson,materialProductionPersonAuthorityVocabulary,materialProductionPersonRole,materialProductionPlace,materialProductionPlaceAuthorityVocabulary,materialProductionPlaceRole,featuredApplication,featuredApplicationAuthorityVocabulary,featuredApplicationNote,materialCitationSource,materialCitationSourceAuthorityVocabulary,materialCitationSourceDetail,externalUrl,externalUrlNote,additionalResource,additionalResourceNote,materialTermAttributionContributingOrganization,materialTermAttributionContributingOrganizationAuthorityVocabulary,materialTermAttributionContributingPerson,materialTermAttributionContributingPersonAuthorityVocabulary,materialTermAttributionContributingDate,materialTermAttributionEditingOrganization,materialTermAttributionEditingOrganizationAuthorityVocabulary,materialTermAttributionEditingPerson,materialTermAttributionEditingPersonAuthorityVocabulary,materialTermAttributionEditingNote,materialTermAttributionEditingDate,commonForm,formType,typicalSize,dimension,measurementUnit,value,formNote,acousticalPropertyType,acousticalPropertyNote,durabilityPropertyType,durabilityPropertyNote,electricalPropertyType,electricalPropertyNote,hygrothermalPropertyType,hygrothermalPropertyNote,mechanicalPropertyType,mechanicalPropertyNote,opticalPropertyType,opticalPropertyNote,sensorialPropertyType,sensorialPropertyNote,smartMaterialPropertyType,smartMaterialPropertyNote,additionalPropertyType,additionalPropertyNote,propertyNote,recycledContent,recycledContentHigh,recycledContentQualifier,lifecycleComponent,lifecycleComponentNote,embodiedEnergyValue,embodiedEnergyValueHigh,embodiedEnergyUnit,embodiedEnergyNote,certificationProgram,certificationCreditNote,ecologyNote,castingProcess,joiningProcess,moldingProcess,surfacingProcess,deformingProcess,machiningProcess,rapidPrototypingProcess,additionalProcess,additionalProcessNote,processNote
