status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
new,core collectionobject ns2:collectionobjects_common fieldCollectionSource,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; organization/local,""
old,core collectionobject ns2:collectionobjects_common fieldCollectionSource,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,core intake ns2:intakes_common fieldCollectionSource,core,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; concept/ethculture,""
old,core intake ns2:intakes_common fieldCollectionSource,core,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,bonsai collectionobject ns2:collectionobjects_common fieldCollectionSource,bonsai,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; organization/local,""
old,bonsai collectionobject ns2:collectionobjects_common fieldCollectionSource,bonsai,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,bonsai intake ns2:intakes_common fieldCollectionSource,bonsai,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; concept/ethculture,""
old,bonsai intake ns2:intakes_common fieldCollectionSource,bonsai,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,herbarium intake ns2:intakes_common fieldCollectionSource,herbarium,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; concept/ethculture,""
old,herbarium intake ns2:intakes_common fieldCollectionSource,herbarium,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,lhmc collectionobject ns2:collectionobjects_common fieldCollectionSource,lhmc,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; organization/local,""
old,lhmc collectionobject ns2:collectionobjects_common fieldCollectionSource,lhmc,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
new,anthro collectionobject ns2:collectionobjects_common fieldCollectionSource,anthro,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local; organization/local,""
old,anthro collectionobject ns2:collectionobjects_common fieldCollectionSource,anthro,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSource,Object Collection Information,"",Field collection source,fieldCollectionSources,fieldCollectionSource,string,n,y,n,authority,person/local,""
