fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
botgarden transport ns2:transports_common transporter,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transporter,Transport Information,Transporter,Transporter name,"",transporter,string,n,n,n/a,authority,person/local; organization/local,""
botgarden transport ns2:transports_common transporterContact,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transporterContact,Transport Information,Transporter,Transporter contact,"",transporterContact,string,n,n,n/a,authority,person/local,""
botgarden transport ns2:transports_common transporterContactNumber,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transporterContactNumber,Transport Information,Transporter,Transporter contact number,"",transporterContactNumber,string,n,n,n/a,"","",""
botgarden transport ns2:transports_common transportAuthorizer,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportAuthorizer,Transport Information,Authorization,Transport authorizer,"",transportAuthorizer,string,n,n,n/a,authority,person/local,""
botgarden transport ns2:transports_common transportAuthorizationDate,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportAuthorizationDate,Transport Information,Authorization,Authorization date,"",transportAuthorizationDate,date,n,n,n/a,"","",""
botgarden transport ns2:transports_common transportTrackingNumber,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportTrackingNumber,Transport Information,"",Tracking number,transportTrackingNumberGroupList > transportTrackingNumberGroup,transportTrackingNumber,string,n,n,y,"","",""
botgarden transport ns2:transports_common transportTrackingNumberNote,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportTrackingNumberNote,Transport Information,"",Tracking number note,transportTrackingNumberGroupList > transportTrackingNumberGroup,transportTrackingNumberNote,string,n,n,y,"","",""
botgarden transport ns2:transports_common departurePoint,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.departurePoint,Transport Information,Departure,Departure point,"",departurePoint,string,n,n,n/a,authority,organization/local; place/local,""
botgarden transport ns2:transports_common transportDepartureDate,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportDepartureDate,Transport Information,Departure,Departure date,"",transportDepartureDate,date,n,n,n/a,"","",""
botgarden transport ns2:transports_common transportDepartureTime,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportDepartureTime,Transport Information,Departure,Departure time,"",transportDepartureTime,string,n,n,n/a,"","",""
botgarden transport ns2:transports_common destination,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.destination,Transport Information,Arrival,Arrival point,"",destination,string,n,n,n/a,authority,place/local; organization/local,""
botgarden transport ns2:transports_common transportArrivalDate,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportArrivalDate,Transport Information,Arrival,Arrival date,"",transportArrivalDate,date,n,n,n/a,"","",""
botgarden transport ns2:transports_common transportArrivalTime,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportArrivalTime,Transport Information,Arrival,Arrival time,"",transportArrivalTime,string,n,n,n/a,"","",""
botgarden transport ns2:transports_common courier,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.courier,Transport Information,"",Courier name,courierGroupList > courierGroup,courier,string,n,n,y,authority,person/local; organization/local,""
botgarden transport ns2:transports_common courierContactNumber,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.courierContactNumber,Transport Information,"",Courier contact number,courierGroupList > courierGroup,courierContactNumber,string,n,n,y,"","",""
botgarden transport ns2:transports_common transportRemarks,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportRemarks,Transport Information,"",Note,"",transportRemarks,string,n,n,n/a,"","",""
botgarden transport ns2:transports_common transportCostType,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportCostType,Cost Information,"",Transport cost type,"",transportCostType,string,n,n,n/a,vocabulary,transportcosttype,""
botgarden transport ns2:transports_common transportCostResponsibleParty,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.transportCostResponsibleParty,Cost Information,"",Transport cost responsible party,"",transportCostResponsibleParty,string,n,n,n/a,vocabulary,transportresponsibleparty,""
botgarden transport ns2:transports_common insuranceCostResponsibleParty,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.insuranceCostResponsibleParty,Cost Information,"",Insurance/indemnity cost responsible party,"",insuranceCostResponsibleParty,string,n,n,n/a,vocabulary,transportresponsibleparty,""
botgarden transport ns2:transports_common finalShippingCostCurrency,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.finalShippingCostCurrency,Cost Information,Final shipping cost,Final shipping cost currency,"",finalShippingCostCurrency,string,n,n,n/a,vocabulary,currency,""
botgarden transport ns2:transports_common finalShippingCostValue,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.finalShippingCostValue,Cost Information,Final shipping cost,Final shipping cost value,"",finalShippingCostValue,float,n,n,n/a,"","",""
botgarden transport ns2:transports_common customsBroker,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsBroker,Cost Information,Customs broker,Customs broker name,"",customsBroker,string,n,n,n/a,authority,person/local; organization/local,""
botgarden transport ns2:transports_common customsBrokerContact,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsBrokerContact,Cost Information,Customs broker,Customs broker contact,"",customsBrokerContact,string,n,n,n/a,authority,person/local,""
botgarden transport ns2:transports_common customsDeclaredValueCurrency,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsDeclaredValueCurrency,Cost Information,Declared value for customs,Declared value for customs currency,"",customsDeclaredValueCurrency,string,n,n,n/a,vocabulary,currency,""
botgarden transport ns2:transports_common customsDeclaredValueAmount,botgarden,transport,ns2:transports_common,ns2:transports_common,transports_common.customsDeclaredValueAmount,Cost Information,Declared value for customs,Declared value for customs amount,"",customsDeclaredValueAmount,float,n,n,n/a,"","",""
