profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Citation,Term source ID,Citation Information,Source,string,n,n,y,"","","",citation,termSourceID
bonsai_6-0-0,Citation,Term source note,Citation Information,Source,string,n,n,y,"","","",citation,termSourceNote
bonsai_6-0-0,Citation,Publisher,Citation Information,"",string,n,n,y,authority,organization/local,"",citation,publisher
bonsai_6-0-0,Citation,Publication place,Citation Information,"",string,n,n,y,authority,place/local; place/tgn,"",citation,publicationPlace
bonsai_6-0-0,Citation,Publication date,Citation Information,"",structured date group,n,n,y,"","","",citation,publicationDate
bonsai_6-0-0,Citation,Publication edition,Citation Information,"",string,n,n,y,"","","",citation,edition
bonsai_6-0-0,Citation,Publication page(s),Citation Information,"",string,n,n,y,"","","",citation,pages
bonsai_6-0-0,Citation,Agent name,Citation Information,"",string,n,n,y,authority,person/local; person/ulan; organization/local,"",citation,agent
bonsai_6-0-0,Citation,Agent role,Citation Information,"",string,n,n,y,vocabulary,agentinfotype,"",citation,role
bonsai_6-0-0,Citation,Agent note,Citation Information,"",string,n,n,y,"","","",citation,note
bonsai_6-0-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","","",citation,citationNote
bonsai_6-0-0,Citation,Resource identifier,Citation Information,"",string,n,n,y,"","","",citation,resourceIdent
bonsai_6-0-0,Citation,Resource identifier type,Citation Information,"",string,n,n,y,vocabulary,resourceidtype,"",citation,type
bonsai_6-0-0,Citation,Resource identifier capture date,Citation Information,"",structured date group,n,n,y,"","","",citation,captureDate
bonsai_6-0-0,Citation,Related term,Citation Information,"",string,n,n,y,authority,concept/associated; concept/activity; concept/material,"",citation,relatedTerm
bonsai_6-0-0,Citation,Related term type,Citation Information,"",string,n,n,y,vocabulary,relationtypetype,"",citation,relationType
bonsai_6-0-0,Object,Identification number,Object Identification Information,"",string,y,n,n/a,"","","",collectionobject,objectNumber
bonsai_6-0-0,Object,Scientific name,Object Identification Information,"",string,n,n,n/a,authority,taxon/local; taxon/common,"",collectionobject,taxon
bonsai_6-0-0,Object,Common name,Object Identification Information,"",string,n,n,n/a,"","","",collectionobject,commonName
bonsai_6-0-0,Object,Japanese name,Object Identification Information,"",string,n,n,n/a,"","","",collectionobject,japaneseName
bonsai_6-0-0,Object,Native species?,Object Identification Information,"",boolean,n,n,n/a,"","","",collectionobject,nativeSpecies
bonsai_6-0-0,Object,Collection,Object Identification Information,"",string,n,n,n/a,option list,collections,"development, display, library-collection, permanent-collection, study-collection, teaching-collection",collectionobject,collection
bonsai_6-0-0,Object,Named collection,Object Identification Information,"",string,n,y,n,authority,work/local,"",collectionobject,namedCollection
bonsai_6-0-0,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list,recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
bonsai_6-0-0,Object,Sponsor,Object Identification Information,"",string,n,n,n/a,"","","",collectionobject,sponsor
bonsai_6-0-0,Object,Sponsor start date,Object Identification Information,"",date,n,n,n/a,"","","",collectionobject,sponsorStartDate
