profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
bonsai_6-0-0,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
bonsai_6-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
bonsai_6-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
bonsai_6-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
bonsai_6-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
bonsai_6-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
bonsai_6-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
bonsai_6-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
bonsai_6-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
bonsai_6-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
bonsai_6-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
bonsai_6-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
bonsai_6-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
bonsai_6-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
bonsai_6-0-0,Taxon,Term source name,Taxonomic Name Information,Source,n,y,authority,citation/local; citation/worldcat,taxon,termSource
bonsai_6-0-0,Taxon,Author name,Taxonomic Name Information,"",n,y,authority,person/local; organization/local,taxon,taxonAuthor
bonsai_6-0-0,Taxon,Citation,Taxonomic Name Information,"",y,n,authority,citation/local; citation/worldcat,taxon,taxonCitation
