profile,id_caps,id_lower,label
core_9_0,chronology.termName,chronology.termname,Chronology Information > Term name
core_9_0,chronology.termQualifier,chronology.termqualifier,Chronology Information > Term qualifier
core_9_0,chronology.termStatus,chronology.termstatus,Chronology Information > Term status
core_9_0,chronology.termType,chronology.termtype,Chronology Information > Term type
core_9_0,chronology.termFlag,chronology.termflag,Chronology Information > Term flag
core_9_0,chronology.historicalStatus,chronology.historicalstatus,Chronology Information > Term historical status
core_9_0,chronology.termLanguage,chronology.termlanguage,Chronology Information > Term language
core_9_0,chronology.termPrefForLang,chronology.termprefforlang,Chronology Information > Term preferred for lang
core_9_0,chronology.termSource,chronology.termsource,Chronology Information > Source > Term source name
core_9_0,chronology.termSourceDetail,chronology.termsourcedetail,Chronology Information > Source > Term source detail
core_9_0,chronology.termSourceID,chronology.termsourceid,Chronology Information > Source > Term source ID
core_9_0,chronology.termSourceNote,chronology.termsourcenote,Chronology Information > Source > Term source note
core_9_0,chronology.primaryDateRangeStructuredDateGroup,chronology.primarydaterangestructureddategroup,Chronology Information > Primary date range
core_9_0,chronology.chronologyType,chronology.chronologytype,Chronology Information > Chronology type
core_9_0,chronology.spatialCoverage,chronology.spatialcoverage,Chronology Information > Spatial coverage
core_9_0,chronology.chronologyDescription,chronology.chronologydescription,Chronology Information > Chronology description
core_9_0,chronology.chronologyNote,chronology.chronologynote,Chronology Information > Chronology note
core_9_0,chronology.identifierValue,chronology.identifiervalue,Chronology Information > Resource identifier value
core_9_0,chronology.identifierCitation,chronology.identifiercitation,Chronology Information > Resource identifier citation
core_9_0,chronology.identifierDate,chronology.identifierdate,Chronology Information > Resource identifier date
core_9_0,chronology.altDateRangeStructuredDateGroup,chronology.altdaterangestructureddategroup,Alternative Date Information > Alternative date range
core_9_0,chronology.altDateSpatialCoverage,chronology.altdatespatialcoverage,Alternative Date Information > Alternative date spatial coverage
core_9_0,chronology.altDateCitation,chronology.altdatecitation,Alternative Date Information > Alternative date citation
core_9_0,chronology.altDateNote,chronology.altdatenote,Alternative Date Information > Alternative date note
core_9_0,chronology.assocPerson,chronology.assocperson,Associated Authorities > Associated person
core_9_0,chronology.assocPersonType,chronology.assocpersontype,Associated Authorities > Associated person relationship/type
core_9_0,chronology.assocPersonStructuredDateGroup,chronology.assocpersonstructureddategroup,Associated Authorities > Associated person date
core_9_0,chronology.assocPersonCitation,chronology.assocpersoncitation,Associated Authorities > Associated person citation
core_9_0,chronology.assocPersonNote,chronology.assocpersonnote,Associated Authorities > Associated person note
core_9_0,chronology.assocPeople,chronology.assocpeople,Associated Authorities > Associated people
core_9_0,chronology.assocPeopleType,chronology.assocpeopletype,Associated Authorities > Associated people relationship/type
core_9_0,chronology.assocPeopleStructuredDateGroup,chronology.assocpeoplestructureddategroup,Associated Authorities > Associated people date
core_9_0,chronology.assocPeopleCitation,chronology.assocpeoplecitation,Associated Authorities > Associated people citation
core_9_0,chronology.assocPeopleNote,chronology.assocpeoplenote,Associated Authorities > Associated people note
core_9_0,chronology.assocOrganization,chronology.assocorganization,Associated Authorities > Associated organization
core_9_0,chronology.assocOrganizationType,chronology.assocorganizationtype,Associated Authorities > Associated organization relationship/type
core_9_0,chronology.assocOrganizationStructuredDateGroup,chronology.assocorganizationstructureddategroup,Associated Authorities > Associated organization date
core_9_0,chronology.assocOrganizationCitation,chronology.assocorganizationcitation,Associated Authorities > Associated organization citation
core_9_0,chronology.assocOrganizationNote,chronology.assocorganizationnote,Associated Authorities > Associated organization note
core_9_0,chronology.assocConcept,chronology.assocconcept,Associated Authorities > Associated concept
core_9_0,chronology.assocConceptType,chronology.assocconcepttype,Associated Authorities > Associated concept relationship/type
core_9_0,chronology.assocConceptStructuredDateGroup,chronology.assocconceptstructureddategroup,Associated Authorities > Associated concept date
core_9_0,chronology.assocConceptCitation,chronology.assocconceptcitation,Associated Authorities > Associated concept citation
core_9_0,chronology.assocConceptNote,chronology.assocconceptnote,Associated Authorities > Associated concept note
core_9_0,chronology.assocPlace,chronology.assocplace,Associated Authorities > Associated place
core_9_0,chronology.assocPlaceType,chronology.assocplacetype,Associated Authorities > Associated place relationship/type
core_9_0,chronology.assocPlaceStructuredDateGroup,chronology.assocplacestructureddategroup,Associated Authorities > Associated place date
core_9_0,chronology.assocPlaceCitation,chronology.assocplacecitation,Associated Authorities > Associated place citation
core_9_0,chronology.assocPlaceNote,chronology.assocplacenote,Associated Authorities > Associated place note
core_9_0,chronology.assocChronology,chronology.assocchronology,Associated Authorities > Associated event/era
core_9_0,chronology.assocChronologyType,chronology.assocchronologytype,Associated Authorities > Associated event/era relationship/type
core_9_0,chronology.assocChronologyStructuredDateGroup,chronology.assocchronologystructureddategroup,Associated Authorities > Associated event/era date
core_9_0,chronology.assocChronologyCitation,chronology.assocchronologycitation,Associated Authorities > Associated event/era citation
core_9_0,chronology.assocChronologyNote,chronology.assocchronologynote,Associated Authorities > Associated event/era note
core_9_0,repatriationrequest.requestNumber,repatriationrequest.requestnumber,Repatriation Request Information > Repatriation request number
core_9_0,repatriationrequest.title,repatriationrequest.title,Repatriation Request Information > Title
core_9_0,repatriationrequest.type,repatriationrequest.type,Repatriation Request Information > Type
core_9_0,repatriationrequest.alternativeIdentifier,repatriationrequest.alternativeidentifier,Repatriation Request Information > Alternative identifier
core_9_0,repatriationrequest.alternativeIdentifierNote,repatriationrequest.alternativeidentifiernote,Repatriation Request Information > Alternative identifier note
core_9_0,repatriationrequest.requestDate,repatriationrequest.requestdate,Repatriation Request Information > Origination date
core_9_0,repatriationrequest.note,repatriationrequest.note,Repatriation Request Information > Note
core_9_0,repatriationrequest.treatmentNote,repatriationrequest.treatmentnote,Repatriation Request Information > Treatment note
core_9_0,repatriationrequest.involvedParty,repatriationrequest.involvedparty,Repatriation Request Information > Parties involved person
core_9_0,repatriationrequest.involvedOnBehalfOf,repatriationrequest.involvedonbehalfof,Repatriation Request Information > Parties involved on behalf of
core_9_0,repatriationrequest.involvedRole,repatriationrequest.involvedrole,Repatriation Request Information > Parties involved role
core_9_0,repatriationrequest.geographicPlace,repatriationrequest.geographicplace,Repatriation Request Context > Place represented name
core_9_0,repatriationrequest.geographicPlaceNote,repatriationrequest.geographicplacenote,Repatriation Request Context > Place represented note
core_9_0,repatriationrequest.culture,repatriationrequest.culture,Repatriation Request Context > Cultural group name
