status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
old,fcart acquisition ns2:acquisitions_common groupPurchasePriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,fcart acquisition ns2:acquisitions_common groupPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
old,fcart acquisition ns2:acquisitions_common groupPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
new,fcart acquisition ns2:acquisitions_common objectOfferPriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,fcart acquisition ns2:acquisitions_common objectOfferPriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,fcart acquisition ns2:acquisitions_common objectOfferPriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Price Information,Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",""
old,fcart acquisition ns2:acquisitions_common objectOfferPriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",""
new,fcart acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Price Information,Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,fcart acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,fcart acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Price Information,Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",""
old,fcart acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",""
new,fcart acquisition ns2:acquisitions_common objectPurchasePriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,fcart acquisition ns2:acquisitions_common objectPurchasePriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,fcart acquisition ns2:acquisitions_common objectPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
old,fcart acquisition ns2:acquisitions_common objectPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
new,fcart acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,fcart acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,fcart acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
old,fcart acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,fcart,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
new,anthro acquisition ns2:acquisitions_common groupPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,anthro acquisition ns2:acquisitions_common groupPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,anthro acquisition ns2:acquisitions_common groupPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
old,anthro acquisition ns2:acquisitions_common groupPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
new,anthro acquisition ns2:acquisitions_common objectOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,anthro acquisition ns2:acquisitions_common objectOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,anthro acquisition ns2:acquisitions_common objectOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Price Information,Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",""
old,anthro acquisition ns2:acquisitions_common objectOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",""
new,anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Price Information,Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Price Information,Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",""
old,anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",""
new,anthro acquisition ns2:acquisitions_common objectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,anthro acquisition ns2:acquisitions_common objectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,anthro acquisition ns2:acquisitions_common objectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
old,anthro acquisition ns2:acquisitions_common objectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
new,anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
old,anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
new,bonsai acquisition ns2:acquisitions_common groupPurchasePriceCurrency,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
old,bonsai acquisition ns2:acquisitions_common groupPurchasePriceCurrency,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
new,bonsai acquisition ns2:acquisitions_common groupPurchasePriceValue,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
old,bonsai acquisition ns2:acquisitions_common groupPurchasePriceValue,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
new,bonsai acquisition ns2:acquisitions_common objectOfferPriceCurrency,bonsai,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
