fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_9_0 acquisition ns2:acquisitions_common involvedParty,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.involvedParty,Acquisition Information,"",Parties involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
core_9_0 acquisition ns2:acquisitions_common involvedOnBehalfOf,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.involvedOnBehalfOf,Acquisition Information,"",Parties involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
core_9_0 acquisition ns2:acquisitions_common involvedRole,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.involvedRole,Acquisition Information,"",Parties involved role,partiesInvolvedGroupList > partiesInvolvedGroup,involvedRole,string,n,n,y,vocabulary,nagprainvolvedrole,""
core_9_0 acquisition ns2:acquisitions_common creditLine,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common groupPurchasePriceCurrency,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
core_9_0 acquisition ns2:acquisitions_common groupPurchasePriceValue,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common objectOfferPriceCurrency,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
core_9_0 acquisition ns2:acquisitions_common objectOfferPriceValue,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Price Information,Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Price Information,Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,""
core_9_0 acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Price Information,Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common objectPurchasePriceCurrency,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
core_9_0 acquisition ns2:acquisitions_common objectPurchasePriceValue,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,""
core_9_0 acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common fieldCollectionEventName,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.fieldCollectionEventName,Object Collection Information,"",Field collection event name,fieldCollectionEventNames,fieldCollectionEventName,string,n,y,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateDisplayDate,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateDisplayDate,Acquisition Information,Accession date,Display date,accessionDateGroup,dateDisplayDate,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate datePeriod,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.datePeriod,Acquisition Information,Accession date,Period,accessionDateGroup,datePeriod,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateAssociation,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateAssociation,Acquisition Information,Accession date,Association,accessionDateGroup,dateAssociation,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateNote,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateNote,Acquisition Information,Accession date,Note,accessionDateGroup,dateNote,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleYear,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Acquisition Information,Accession date,Earliest/single year,accessionDateGroup,dateEarliestSingleYear,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleMonth,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Acquisition Information,Accession date,Earliest/single month,accessionDateGroup,dateEarliestSingleMonth,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleDay,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleDay,Acquisition Information,Accession date,Earliest/single day,accessionDateGroup,dateEarliestSingleDay,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleEra,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleEra,Acquisition Information,Accession date,Earliest/single era,accessionDateGroup,dateEarliestSingleEra,"",n,n,n,vocabulary,dateera,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleCertainty,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleCertainty,Acquisition Information,Accession date,Earliest/single certainty,accessionDateGroup,dateEarliestSingleCertainty,"",n,n,n,vocabulary,datecertainty,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleQualifier,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Accession date,Earliest/single qualifier,accessionDateGroup,dateEarliestSingleQualifier,"",n,n,n,option list,dateQualifiers,", +, +/-, -"
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleQualifierValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierValue,Acquisition Information,Accession date,Earliest/single qualifier value,accessionDateGroup,dateEarliestSingleQualifierValue,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateEarliestSingleQualifierUnit,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierUnit,Acquisition Information,Accession date,Earliest/single qualifier unit,accessionDateGroup,dateEarliestSingleQualifierUnit,"",n,n,n,vocabulary,datequalifier,""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestYear,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestYear,Acquisition Information,Accession date,Latest year,accessionDateGroup,dateLatestYear,"",n,n,n,"","",""
core_9_0 acquisition accessionDateGroup ext.structuredDate dateLatestMonth,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestMonth,Acquisition Information,Accession date,Latest month,accessionDateGroup,dateLatestMonth,"",n,n,n,"","",""
