profile,id,label
core_10-0-2,chronology.assocPersonStructuredDateGroup,Associated Authorities > Associated person date
core_10-0-2,chronology.assocPersonCitation,Associated Authorities > Associated person citation
core_10-0-2,chronology.assocPersonNote,Associated Authorities > Associated person note
core_10-0-2,chronology.assocPeople,Associated Authorities > Associated people
core_10-0-2,chronology.assocPeopleType,Associated Authorities > Associated people relationship/type
core_10-0-2,chronology.assocPeopleStructuredDateGroup,Associated Authorities > Associated people date
core_10-0-2,chronology.assocPeopleCitation,Associated Authorities > Associated people citation
core_10-0-2,chronology.assocPeopleNote,Associated Authorities > Associated people note
core_10-0-2,chronology.assocOrganization,Associated Authorities > Associated organization
core_10-0-2,chronology.assocOrganizationType,Associated Authorities > Associated organization relationship/type
core_10-0-2,chronology.assocOrganizationStructuredDateGroup,Associated Authorities > Associated organization date
core_10-0-2,chronology.assocOrganizationCitation,Associated Authorities > Associated organization citation
core_10-0-2,chronology.assocOrganizationNote,Associated Authorities > Associated organization note
core_10-0-2,chronology.assocConcept,Associated Authorities > Associated concept
core_10-0-2,chronology.assocConceptType,Associated Authorities > Associated concept relationship/type
core_10-0-2,chronology.assocConceptStructuredDateGroup,Associated Authorities > Associated concept date
core_10-0-2,chronology.assocConceptCitation,Associated Authorities > Associated concept citation
core_10-0-2,chronology.assocConceptNote,Associated Authorities > Associated concept note
core_10-0-2,chronology.assocPlace,Associated Authorities > Associated place
core_10-0-2,chronology.assocPlaceType,Associated Authorities > Associated place relationship/type
core_10-0-2,chronology.assocPlaceStructuredDateGroup,Associated Authorities > Associated place date
core_10-0-2,chronology.assocPlaceCitation,Associated Authorities > Associated place citation
core_10-0-2,chronology.assocPlaceNote,Associated Authorities > Associated place note
core_10-0-2,chronology.assocChronology,Associated Authorities > Associated event/era
core_10-0-2,chronology.assocChronologyType,Associated Authorities > Associated event/era relationship/type
core_10-0-2,chronology.assocChronologyStructuredDateGroup,Associated Authorities > Associated event/era date
core_10-0-2,chronology.assocChronologyCitation,Associated Authorities > Associated event/era citation
core_10-0-2,chronology.assocChronologyNote,Associated Authorities > Associated event/era note
core_10-0-2,repatriationrequest.requestNumber,Repatriation Request Information > Repatriation request number
core_10-0-2,repatriationrequest.title,Repatriation Request Information > Title
core_10-0-2,repatriationrequest.type,Repatriation Request Information > Type
core_10-0-2,repatriationrequest.alternativeIdentifier,Repatriation Request Information > Alternative identifier
core_10-0-2,repatriationrequest.alternativeIdentifierNote,Repatriation Request Information > Alternative identifier note
core_10-0-2,repatriationrequest.requestDate,Repatriation Request Information > Origination date
core_10-0-2,repatriationrequest.note,Repatriation Request Information > Note
core_10-0-2,repatriationrequest.treatmentNote,Repatriation Request Information > Treatment note
core_10-0-2,repatriationrequest.involvedParty,Repatriation Request Information > Parties involved person
core_10-0-2,repatriationrequest.involvedOnBehalfOf,Repatriation Request Information > Parties involved on behalf of
core_10-0-2,repatriationrequest.involvedRole,Repatriation Request Information > Parties involved role
core_10-0-2,repatriationrequest.geographicPlace,Repatriation Request Context > Place represented name
core_10-0-2,repatriationrequest.geographicPlaceNote,Repatriation Request Context > Place represented note
core_10-0-2,repatriationrequest.culture,Repatriation Request Context > Cultural group name
core_10-0-2,repatriationrequest.cultureNote,Repatriation Request Context > Cultural group note
core_10-0-2,repatriationrequest.timePeriod,Repatriation Request Context > Time period era
core_10-0-2,repatriationrequest.timePeriodNote,Repatriation Request Context > Time period note
core_10-0-2,repatriationrequest.archaeologicalSite,Repatriation Request Context > Archaeological site name
core_10-0-2,repatriationrequest.archaeologicalSiteNote,Repatriation Request Context > Archaeological site note
core_10-0-2,repatriationrequest.statusGroupType,Repatriation Request Status > Repatriation request status group
core_10-0-2,repatriationrequest.statusIndividual,Repatriation Request Status > Repatriation request status individual
core_10-0-2,repatriationrequest.status,Repatriation Request Status > Repatriation Request Status > Repatriation request status
core_10-0-2,repatriationrequest.statusDate,Repatriation Request Status > Repatriation request status date
core_10-0-2,repatriationrequest.statusNote,Repatriation Request Status > Repatriation request status note
core_10-0-2,repatriationrequest.documentationGroupType,Repatriation Request Documentation Status > Repatriation request documentation status group
core_10-0-2,repatriationrequest.documentationIndividual,Repatriation Request Documentation Status > Repatriation request documentation status individual
core_10-0-2,repatriationrequest.documentationStatus,Repatriation Request Documentation Status > Repatriation request documentation status
core_10-0-2,repatriationrequest.documentationDate,Repatriation Request Documentation Status > Repatriation request documentation status date
core_10-0-2,repatriationrequest.documentationNote,Repatriation Request Documentation Status > Repatriation request documentation status note
core_10-0-2,collectionobject.objectNumber,Object Identification Information > Identification number
core_10-0-2,collectionobject.numberValue,Object Identification Information > Other number value
core_10-0-2,collectionobject.numberType,Object Identification Information > Other number type
core_10-0-2,collectionobject.responsibleDepartment,Object Identification Information > Responsible department
core_10-0-2,collectionobject.collection,Object Identification Information > Collection
core_10-0-2,collectionobject.namedCollection,Object Identification Information > Named collection
core_10-0-2,collectionobject.descriptionLevel,Object Identification Information > Description level
core_10-0-2,collectionobject.recordStatus,Object Identification Information > Record status
core_10-0-2,collectionobject.publishTo,Object Identification Information > Publish to
core_10-0-2,collectionobject.inventoryStatus,Object Identification Information > Inventory status
core_10-0-2,collectionobject.briefDescription,Object Identification Information > Brief description
core_10-0-2,collectionobject.distinguishingFeatures,Object Identification Information > Distinguishing features
core_10-0-2,collectionobject.comment,Object Identification Information > Comment
core_10-0-2,collectionobject.computedCurrentLocation,Object Identification Information > Computed current location
core_10-0-2,collectionobject.annotationType,Object Identification Information > Annotation type
core_10-0-2,collectionobject.annotationDate,Object Identification Information > Annotation date
core_10-0-2,collectionobject.annotationAuthor,Object Identification Information > Annotation author
core_10-0-2,collectionobject.annotationNote,Object Identification Information > Annotation note
core_10-0-2,collectionobject.title,Object Identification Information > Title
core_10-0-2,collectionobject.titleLanguage,Object Identification Information > Title language
core_10-0-2,collectionobject.titleType,Object Identification Information > Title type
core_10-0-2,collectionobject.titleTranslation,Object Identification Information > Title translation
core_10-0-2,collectionobject.titleTranslationLanguage,Object Identification Information > Title translation language
core_10-0-2,collectionobject.objectNameControlled,Object Identification Information > Object name controlled
core_10-0-2,collectionobject.objectName,Object Identification Information > Object name
core_10-0-2,collectionobject.objectNameCurrency,Object Identification Information > Object name currency
core_10-0-2,collectionobject.objectNameLevel,Object Identification Information > Object name level
core_10-0-2,collectionobject.objectNameSystem,Object Identification Information > Object name system
core_10-0-2,collectionobject.objectNameType,Object Identification Information > Object name type
core_10-0-2,collectionobject.objectNameLanguage,Object Identification Information > Object name language
core_10-0-2,collectionobject.objectNameNote,Object Identification Information > Object name note
core_10-0-2,collectionobject.objectCount,Object Identification Information > Object count value
core_10-0-2,collectionobject.objectCountUnit,Object Identification Information > Object count unit
core_10-0-2,collectionobject.objectCountType,Object Identification Information > Object count type
core_10-0-2,collectionobject.objectCountCountedBy,Object Identification Information > Object count counted by
core_10-0-2,collectionobject.objectCountDate,Object Identification Information > Object count date
core_10-0-2,collectionobject.objectCountNote,Object Identification Information > Object count note
core_10-0-2,collectionobject.copyNumber,Object Description Information > Copy number
core_10-0-2,collectionobject.objectStatus,Object Description Information > Object status
core_10-0-2,collectionobject.sex,Object Description Information > Sex
core_10-0-2,collectionobject.phase,Object Description Information > Phase
core_10-0-2,collectionobject.form,Object Description Information > Form
core_10-0-2,collectionobject.editionNumber,Object Description Information > Edition number
core_10-0-2,collectionobject.ageQualifier,Object Description Information > Age > Age qualifier
core_10-0-2,collectionobject.age,Object Description Information > Age > Age value
core_10-0-2,collectionobject.ageUnit,Object Description Information > Age > Age unit
core_10-0-2,collectionobject.style,Object Description Information > Style
core_10-0-2,collectionobject.color,Object Description Information > Color
core_10-0-2,collectionobject.apparelSize,Object Description Information > Apparel size
core_10-0-2,collectionobject.materialControlled,Object Description Information > Material controlled
core_10-0-2,collectionobject.material,Object Description Information > Material
core_10-0-2,collectionobject.materialComponent,Object Description Information > Material component
core_10-0-2,collectionobject.materialComponentNote,Object Description Information > Material component note
core_10-0-2,collectionobject.materialName,Object Description Information > Material name
core_10-0-2,collectionobject.materialSource,Object Description Information > Material source
core_10-0-2,collectionobject.physicalDescription,Object Description Information > Physical description
core_10-0-2,collectionobject.objectComponentName,Object Description Information > Object component name
core_10-0-2,collectionobject.objectComponentInformation,Object Description Information > Object component information
