profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
publicart_6-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,user
publicart_6-0-0,Use of Collections,User institution,Use of Collections Information,"",n,y,authority,organization/local; organization/shared,uoc,userInstitution
publicart_6-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,authorizedBy
publicart_6-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,staffName
publicart_6-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; organization/shared; place/local; place/shared; location/local,uoc,location
publicart_6-0-0,Valuation Control,Insurer,Insurance Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,valuation,insurer
publicart_6-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
publicart_6-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,work,creator
publicart_6-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/shared,work,addressMunicipality
publicart_6-0-0,Work,Address county,Work Information,"",n,y,authority,place/local; place/shared,work,addressCounty
publicart_6-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/shared,work,addressStateOrProvince
publicart_6-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/shared,work,addressCountry
