"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,string,string,string,date,string,string,string,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,float,string,string,string,float,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,n,n,n
REPEATING FIELD GROUP,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,materialTermGroupList < materialTermGroup,"",materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,materialCompositionGroupList < materialCompositionGroup,"","","","","","","",materialProductionOrganizationGroupList < materialProductionOrganizationGroup,materialProductionOrganizationGroupList < materialProductionOrganizationGroup,materialProductionPersonGroupList < materialProductionPersonGroup,materialProductionPersonGroupList < materialProductionPersonGroup,materialProductionPlaceGroupList < materialProductionPlaceGroup,materialProductionPlaceGroupList < materialProductionPlaceGroup,featuredApplicationGroupList < featuredApplicationGroup,featuredApplicationGroupList < featuredApplicationGroup,featuredApplicationGroupList < featuredApplicationGroup,materialCitationGroupList < materialCitationGroup,materialCitationGroupList < materialCitationGroup,externalUrlGroupList < externalUrlGroup,externalUrlGroupList < externalUrlGroup,additionalResourceGroupList < additionalResourceGroup,additionalResourceGroupList < additionalResourceGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionContributingGroupList < materialTermAttributionContributingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,materialTermAttributionEditingGroupList < materialTermAttributionEditingGroup,"",formTypeGroupList < formTypeGroup,typicalSizeGroupList < typicalSizeGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,typicalSizeGroupList < typicalSizeGroup < typicalSizeDimensionGroupList < typicalSizeDimensionGroup,"",acousticalPropertyGroupList < acousticalPropertyGroup,acousticalPropertyGroupList < acousticalPropertyGroup,durabilityPropertyGroupList < durabilityPropertyGroup,durabilityPropertyGroupList < durabilityPropertyGroup,electricalPropertyGroupList < electricalPropertyGroup,electricalPropertyGroupList < electricalPropertyGroup,hygrothermalPropertyGroupList < hygrothermalPropertyGroup,hygrothermalPropertyGroupList < hygrothermalPropertyGroup,mechanicalPropertyGroupList < mechanicalPropertyGroup,mechanicalPropertyGroupList < mechanicalPropertyGroup,opticalPropertyGroupList < opticalPropertyGroup,opticalPropertyGroupList < opticalPropertyGroup,sensorialPropertyGroupList < sensorialPropertyGroup,sensorialPropertyGroupList < sensorialPropertyGroup,smartMaterialPropertyGroupList < smartMaterialPropertyGroup,smartMaterialPropertyGroupList < smartMaterialPropertyGroup,additionalPropertyGroupList < additionalPropertyGroup,additionalPropertyGroupList < additionalPropertyGroup,"",recycledContentGroupList < recycledContentGroup,recycledContentGroupList < recycledContentGroup,recycledContentGroupList < recycledContentGroup,lifecycleComponentGroupList < lifecycleComponentGroup,lifecycleComponentGroupList < lifecycleComponentGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,embodiedEnergyGroupList < embodiedEnergyGroup,certificationCreditGroupList < certificationCreditGroup,certificationCreditGroupList < certificationCreditGroup,"","","","","","","","",additionalProcessGroupList < additionalProcessGroup,additionalProcessGroupList < additionalProcessGroup,""
VALUE SOURCE TYPE,na,na,na,optionlist,optionlist,vocabulary,optionlist,vocabulary,na,authority,na,na,na,vocabulary,authority,authority,authority,authority,authority,authority,na,vocabulary,optionlist,authority,na,na,na,authority,vocabulary,authority,vocabulary,authority,vocabulary,authority,authority,na,authority,na,na,na,vocabulary,na,authority,authority,na,authority,authority,na,na,vocabulary,vocabulary,na,optionlist,optionlist,na,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,na,na,na,vocabulary,vocabulary,na,na,na,vocabulary,na,vocabulary,na,na,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,vocabulary,na,na
VALUE SOURCE,"","","","accepted, provisional, rejected, under review","alternate descriptor, descriptor, used for term",materialtermflag,"both, current, historical, unknown",languages,"",citation/local,"","","",publishto,concept/materialclassification,concept/sharedmaterialclassification,concept/materialclassification,concept/sharedmaterialclassification,concept/materialclassification,concept/sharedmaterialclassification,"",materialuse,"no, yes",organization/local,"","","",organization/local,materialproductionrole,person/local,materialproductionrole,place/local,materialproductionrole,work/local,work/shared,"",citation/local,"","","",materialresource,"",organization/local,person/local,"",organization/local,person/local,"","",materialform,materialformtype,"","area, base, circumference, count, depth, diameter, height, length, running-time, target, volume, weight, width","carats, centimeters, cubic-centimeters, feet, inches, kilograms, liters, meters, millimeters, minutes, ounces, pixels, pounds, square-feet, stories, tons","","",acousticalproperties,"",durabilityproperties,"",electricalproperties,"",hygrothermalproperties,"",mechanicalproperties,"",opticalproperties,"",sensorialproperties,"",smartmaterialproperties,"",additionalproperties,"","","","",recycledcontentqualifiers,lifecyclecomponents,"","","",energyunits,"",ecologicalcertifications,"","",castingprocesses,joiningprocesses,moldingprocesses,surfacingprocesses,deformingprocesses,machiningprocesses,rapidprototypingprocesses,additionalprocesses,"",""
CSVHEADER,termDisplayName,termName,termQualifier,termStatus,termType,termFlag,historicalStatus,termLanguage,termPrefForLang,termSource,termSourceDetail,termSourceID,termSourceNote,publishTo,materialCompositionFamilyNameConceptMaterialclassification,materialCompositionFamilyNameConceptSharedmaterialclassification,materialCompositionClassNameConceptMaterialclassification,materialCompositionClassNameConceptSharedmaterialclassification,materialCompositionGenericNameConceptMaterialclassification,materialCompositionGenericNameConceptSharedmaterialclassification,description,typicalUse,discontinued,discontinuedBy,discontinuedDate,productionDate,productionNote,materialProductionOrganization,materialProductionOrganizationRole,materialProductionPerson,materialProductionPersonRole,materialProductionPlace,materialProductionPlaceRole,featuredApplicationWorkLocal,featuredApplicationWorkShared,featuredApplicationNote,materialCitationSource,materialCitationSourceDetail,externalUrl,externalUrlNote,additionalResource,additionalResourceNote,materialTermAttributionContributingOrganization,materialTermAttributionContributingPerson,materialTermAttributionContributingDate,materialTermAttributionEditingOrganization,materialTermAttributionEditingPerson,materialTermAttributionEditingNote,materialTermAttributionEditingDate,commonForm,formType,typicalSize,dimension,measurementUnit,value,formNote,acousticalPropertyType,acousticalPropertyNote,durabilityPropertyType,durabilityPropertyNote,electricalPropertyType,electricalPropertyNote,hygrothermalPropertyType,hygrothermalPropertyNote,mechanicalPropertyType,mechanicalPropertyNote,opticalPropertyType,opticalPropertyNote,sensorialPropertyType,sensorialPropertyNote,smartMaterialPropertyType,smartMaterialPropertyNote,additionalPropertyType,additionalPropertyNote,propertyNote,recycledContent,recycledContentHigh,recycledContentQualifier,lifecycleComponent,lifecycleComponentNote,embodiedEnergyValue,embodiedEnergyValueHigh,embodiedEnergyUnit,embodiedEnergyNote,certificationProgram,certificationCreditNote,ecologyNote,castingProcess,joiningProcess,moldingProcess,surfacingProcess,deformingProcess,machiningProcess,rapidPrototypingProcess,additionalProcess,additionalProcessNote,processNote
