fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
botgarden_3-0-2 ns2:collectionobjects_botgarden provenanceType,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.provenanceType,Object Identification Information,"",Provenance type,"",provenanceType,string,n,n,n/a,vocabulary: provenancetype,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden rare,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.rare,Object Identification Information,"",Rare,"",rare,string,n,n,n/a,option list: booleans,"false, true",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden cultivated,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.cultivated,Object Identification Information,"",Cultivated,"",cultivated,string,n,n,n/a,option list: booleans,"false, true",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden cbdRestriction,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.cbdRestriction,Object Identification Information,"",CBD restriction,"",cbdRestriction,boolean,n,n,n/a,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden requestedBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.requestedBy,Object Identification Information,"",Requested by,"",requestedBy,string,n,n,n/a,authority: person/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden source,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.source,Object Identification Information,"",Source,"",source,string,n,n,n/a,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenKind,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenKind,Object Identification Information,Type specimen,Type specimen kind,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenKind,string,n,n,y,vocabulary: typespecimenkind,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenAssertionBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenAssertionBy,Object Identification Information,Type specimen,Type specimen asserted by,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenAssertionBy,string,n,n,y,authority: person/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenReference,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenReference,Object Identification Information,Type specimen,Type specimen reference,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenReference,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenRefPage,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenRefPage,Object Identification Information,Type specimen,Type specimen reference page,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenRefPage,string,n,n,y,"","",not in bonsai_5-0-2
