status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
new,core acquisition ns2:acquisitions_common acquisitionMethod,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
old,core acquisition ns2:acquisitions_common acquisitionMethod,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"exchange, gift, purchase, transfer, treasure"
new,core collectionobject ext.dimension measuredPart,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Description Information,Dimensions,Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
old,core collectionobject ext.dimension measuredPart,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Description Information,"",Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
new,core collectionobject ext.dimension dimensionSummary,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Description Information,Dimensions,Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
old,core collectionobject ext.dimension dimensionSummary,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Description Information,"",Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
new,core collectionobject ext.dimension dimension,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Description Information,Dimensions > Measurement,Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
old,core collectionobject ext.dimension dimension,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Description Information,"",Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
new,core collectionobject ext.dimension measuredBy,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredBy,Object Description Information,Dimensions > Measurement,Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,""
old,core collectionobject ext.dimension measuredBy,core,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredBy,Object Description Information,"",Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,""
