fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6 citation ns2:citations_common termSource,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,Term > Source,Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority: citation/local,""
materials_3-0-6 citation ns2:citations_common termSourceDetail,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,Term > Source,Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common termSourceID,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,Term > Source,Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common termSourceNote,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,Term > Source,Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common publisher,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,Publication,Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority: organization/local,""
materials_3-0-6 citation ns2:citations_common publicationPlace,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,Publication,Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority: place/local,""
materials_3-0-6 citation ns2:citations_common publicationDate,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,Publication,Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common edition,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,Publication,Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common pages,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,Publication,Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"",""
materials_3-0-6 citation ns2:citations_common agent,materials_3-0-6,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,Agent,Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority: person/local; authority: organization/local,""
