fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
herbarium_2-0-2 ns2:collectionobjects_herbarium sheetCount,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.sheetCount,Object Identification Information,"",Sheet count,"",sheetCount,integer,n,n,n/a,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenKind,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenKind,Object Identification Information,Type specimen,Type specimen kind,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenKind,string,n,n,y,vocabulary: typespecimenkind,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenAssertionBy,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenAssertionBy,Object Identification Information,Type specimen,Type specimen asserted by,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenAssertionBy,string,n,n,y,authority: organization/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenReference,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenReference,Object Identification Information,Type specimen,Type specimen reference,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenReference,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenRefPage,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenRefPage,Object Identification Information,Type specimen,Type specimen reference page,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenRefPage,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenBasionym,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenBasionym,Object Identification Information,Type specimen,Type specimen verified basionym,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenBasionym,string,n,n,y,authority: taxon/local; authority: taxon/common,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbTypeSpecimenNotes,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbTypeSpecimenNotes,Object Identification Information,Type specimen,Type specimen note,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenNotes,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium postToPublic,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.postToPublic,Object Description Information,"",Post to public,"",postToPublic,string,n,n,n/a,option list: yesNoValues,"no, yes",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium habitat,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.habitat,Object Collection Information,"",Habitat,"",habitat,string,n,n,n/a,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium herbAssocTaxon,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.herbAssocTaxon,Object Collection Information,Associated taxa,Associated taxon name,herbAssociatedTaxaGroupList > herbAassociatedTaxaGroup,herbAssocTaxon,string,n,n,y,authority: taxon/local; authority: taxon/common,"",not in core_7-1-0
