profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
publicart_7-0-0,Acquisition,acquisition,Commission Information,Actual value,Actual value currency,commissionActualValueCurrency,ns2:acquisitions_commission.commissionActualValueCurrency,commissionActualValueCurrency; commissionActualValueCurrencyRefname,string,n,n,y,vocabulary; refname,currency; vocabulary refname,""
publicart_7-0-0,Acquisition,acquisition,Commission Information,Actual value,Actual value amount,commissionActualValueAmount,ns2:acquisitions_commission.commissionActualValueAmount,commissionActualValueAmount,float,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term display name,termDisplayName,ns2:citations_common.termDisplayName,termDisplayName,string,y,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term status,termStatus,ns2:citations_common.termStatus,termStatus,string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review"
publicart_7-0-0,Citation,citation,Citation Information,"",Term type,termType,ns2:citations_common.termType,termType; termTypeRefname,string,n,n,y,vocabulary; refname,citationtermtype; vocabulary refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Term flag,termFlag,ns2:citations_common.termFlag,termFlag; termFlagRefname,string,n,n,y,vocabulary; refname,citationtermflag; vocabulary refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Term language,termLanguage,ns2:citations_common.termLanguage,termLanguage; termLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Term preferred for lang,termPrefForLang,ns2:citations_common.termPrefForLang,termPrefForLang,boolean,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term full citation,termFullCitation,ns2:citations_common.termFullCitation,termFullCitation,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term title,termTitle,ns2:citations_common.termTitle,termTitle,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term subtitle,termSubTitle,ns2:citations_common.termSubTitle,termSubTitle,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term section title,termSectionTitle,ns2:citations_common.termSectionTitle,termSectionTitle,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term volume,termVolume,ns2:citations_common.termVolume,termVolume,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Term issue,termIssue,ns2:citations_common.termIssue,termIssue,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,string,n,n,y,authority; refname,citation/local; citation/worldcat; authority refname,""
publicart_7-0-0,Citation,citation,Citation Information,Source,Term source detail,termSourceDetail,ns2:citations_common.termSourceDetail,termSourceDetail,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,Source,Term source ID,termSourceID,ns2:citations_common.termSourceID,termSourceID,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,Source,Term source note,termSourceNote,ns2:citations_common.termSourceNote,termSourceNote,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Publisher,publisher,ns2:citations_common.publisher,publisherOrganizationLocal; publisherRefname,string,n,n,y,authority; refname,organization/local; authority refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Publication place,publicationPlace,ns2:citations_common.publicationPlace,publicationPlacePlaceLocal; publicationPlaceRefname,string,n,n,y,authority; refname,place/local; authority refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,structured date group,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Publication edition,edition,ns2:citations_common.edition,edition,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Publication page(s),pages,ns2:citations_common.pages,pages,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentOrganizationLocal; agentRefname,string,n,n,y,authority; refname,person/local; organization/local; authority refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Agent role,role,ns2:citations_common.role,role; roleRefname,string,n,n,y,vocabulary; refname,agentinfotype; vocabulary refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Agent note,note,ns2:citations_common.note,note,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Note,citationNote,ns2:citations_common.citationNote,citationNote,string,n,n,n/a,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Resource identifier,resourceIdent,ns2:citations_common.resourceIdent,resourceIdent,string,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Resource identifier type,type,ns2:citations_common.type,type; typeRefname,string,n,n,y,vocabulary; refname,resourceidtype; vocabulary refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,structured date group,n,n,y,"","",""
publicart_7-0-0,Citation,citation,Citation Information,"",Related term,relatedTerm,ns2:citations_common.relatedTerm,relatedTermConceptAssociated; relatedTermConceptMaterial; relatedTermRefname,string,n,n,y,authority; refname,concept/associated; concept/material; authority refname,""
publicart_7-0-0,Citation,citation,Citation Information,"",Related term type,relationType,ns2:citations_common.relationType,relationType; relationTypeRefname,string,n,n,y,vocabulary; refname,relationtypetype; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Artwork ID,objectNumber,ns2:collectionobjects_common.objectNumber,objectNumber,string,y,n,n/a,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Program name,responsibleDepartment,ns2:collectionobjects_common.responsibleDepartment,responsibleDepartment; responsibleDepartmentRefname,string,n,y,n,vocabulary; refname,program; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Collection,publicartCollection,ns2:collectionobjects_publicart.publicartCollection,publicartCollectionOrganizationLocal; publicartCollectionOrganizationShared; publicartCollectionRefname,string,n,y,n,authority; refname,organization/local; organization/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Record status,recordStatus,ns2:collectionobjects_common.recordStatus,recordStatus,string,n,n,n/a,option list,recordStatuses,"approved, in-process, new, temporary"
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Publish to,publishTo,ns2:collectionobjects_common.publishTo,publishTo; publishToRefname,string,n,y,n,vocabulary; refname,publishto; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Installation type,inventoryStatus,ns2:collectionobjects_common.inventoryStatus,inventoryStatus; inventoryStatusRefname,string,n,y,n,vocabulary; refname,inventorystatus; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Artwork description,briefDescription,ns2:collectionobjects_common.briefDescription,briefDescription,string,n,y,n,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Artwork tag,contentConcept,ns2:collectionobjects_common.contentConcept,contentConceptConceptAssociated; contentConceptRefname,string,n,y,n,authority; refname,concept/associated; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Distinguishing features,distinguishingFeatures,ns2:collectionobjects_common.distinguishingFeatures,distinguishingFeatures,string,n,n,n/a,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Comment,comment,ns2:collectionobjects_common.comment,comment,string,n,y,n,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Computed current location,computedCurrentLocation,ns2:collectionobjects_common.computedCurrentLocation,computedCurrentLocationLocationLocal; computedCurrentLocationLocationOffsite; computedCurrentLocationOrganizationLocal; computedCurrentLocationOrganizationShared; computedCurrentLocationPlaceLocal; computedCurrentLocationPlaceShared; computedCurrentLocationRefname,string,n,n,n/a,authority; refname,location/local; location/offsite; organization/local; organization/shared; place/local; place/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Title,title,ns2:collectionobjects_common.title,title,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Title language,titleLanguage,ns2:collectionobjects_common.titleLanguage,titleLanguage; titleLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Title type,titleType,ns2:collectionobjects_common.titleType,titleType,string,n,n,y,option list,titleTypes,"assigned-by-artist, cited, collection, generic, popular, series, trade"
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Title translation,titleTranslation,ns2:collectionobjects_common.titleTranslation,titleTranslation,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Title translation language,titleTranslationLanguage,ns2:collectionobjects_common.titleTranslationLanguage,titleTranslationLanguage; titleTranslationLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Work type,objectName,ns2:collectionobjects_common.objectName,objectNameConceptWorktype; objectNameRefname,string,n,n,y,authority; refname,concept/worktype; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Work type note,objectNameNote,ns2:collectionobjects_common.objectNameNote,objectNameNote,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count value,objectCount,ns2:collectionobjects_common.objectCount,objectCount,integer,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count unit,objectCountUnit,ns2:collectionobjects_common.objectCountUnit,objectCountUnit; objectCountUnitRefname,string,n,n,y,vocabulary; refname,objectcountunit; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count type,objectCountType,ns2:collectionobjects_common.objectCountType,objectCountType; objectCountTypeRefname,string,n,n,y,vocabulary; refname,objectcounttypes; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count counted by,objectCountCountedBy,ns2:collectionobjects_common.objectCountCountedBy,objectCountCountedByPersonLocal; objectCountCountedByPersonShared; objectCountCountedByRefname,string,n,n,y,authority; refname,person/local; person/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count date,objectCountDate,ns2:collectionobjects_common.objectCountDate,objectCountDate,date,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,"",Object count note,objectCountNote,ns2:collectionobjects_common.objectCountNote,objectCountNote,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Identification Information,Object Owner's Contribution Information,Owner,owner,ns2:collectionobjects_common.owner,ownerPersonLocal; ownerPersonShared; ownerOrganizationLocal; ownerOrganizationShared; ownerRefname,string,n,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Material,material,ns2:collectionobjects_common.material,materialConceptMaterial; materialRefname,string,n,n,y,authority; refname,concept/material; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Material note,materialComponentNote,ns2:collectionobjects_common.materialComponentNote,materialComponentNote,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Measured part,measuredPart,ns2:collectionobjects_common.measuredPart,measuredPart,string,n,n,y,option list,measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Dimension summary,dimensionSummary,ns2:collectionobjects_common.dimensionSummary,dimensionSummary,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Measurement dimension,dimension,ns2:collectionobjects_common.dimension,dimension,string,n,n,y,option list,dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Measurement value,value,ns2:collectionobjects_common.value,value,float,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Description Information,"",Measurement unit,measurementUnit,ns2:collectionobjects_common.measurementUnit,measurementUnit,string,n,n,y,option list,measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
publicart_7-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription content,inscriptionContent,ns2:collectionobjects_common.inscriptionContent,inscriptionContent,string,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription inscriber,inscriptionContentInscriber,ns2:collectionobjects_common.inscriptionContentInscriber,inscriptionContentInscriberPersonLocal; inscriptionContentInscriberOrganizationLocal; inscriptionContentInscriberOrganizationShared; inscriptionContentInscriberRefname,string,n,n,y,authority; refname,person/local; organization/local; organization/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription position,inscriptionContentPosition,ns2:collectionobjects_common.inscriptionContentPosition,inscriptionContentPosition,string,n,n,y,option list,positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso"
publicart_7-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription type,inscriptionContentType,ns2:collectionobjects_common.inscriptionContentType,inscriptionContentType,string,n,n,y,option list,inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage"
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Artwork date,publicartProductionDate,ns2:collectionobjects_publicart.publicartProductionDate,publicartProductionDate,structured date group,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Artwork date type,publicartProductionDateType,ns2:collectionobjects_publicart.publicartProductionDateType,publicartProductionDateType; publicartProductionDateTypeRefname,string,n,n,y,vocabulary; refname,proddatetype; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Artwork creator name,publicartProductionPerson,ns2:collectionobjects_publicart.publicartProductionPerson,publicartProductionPersonPersonLocal; publicartProductionPersonPersonShared; publicartProductionPersonOrganizationLocal; publicartProductionPersonOrganizationShared; publicartProductionPersonRefname,string,n,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Artwork creator role,publicartProductionPersonRole,ns2:collectionobjects_publicart.publicartProductionPersonRole,publicartProductionPersonRole; publicartProductionPersonRoleRefname,string,n,n,y,vocabulary; refname,prodpersonrole; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Artwork creator type,publicartProductionPersonType,ns2:collectionobjects_publicart.publicartProductionPersonType,publicartProductionPersonType,string,n,n,y,option list,creatorTypes,"culture, organization, person"
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Production note,objectProductionNote,ns2:collectionobjects_common.objectProductionNote,objectProductionNote,string,n,n,n/a,"","",""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Annotation type,annotationType,ns2:collectionobjects_annotation.annotationType,annotationType; annotationTypeRefname,string,n,n,y,vocabulary; refname,annotationtype; vocabulary refname,""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Annotation date,annotationDate,ns2:collectionobjects_annotation.annotationDate,annotationDate,date,n,n,y,"","",""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorPersonShared; annotationAuthorRefname,string,n,n,y,authority; refname,person/local; person/shared; authority refname,""
publicart_7-0-0,Object,collectionobject,Object Production Information,"",Annotation note,annotationNote,ns2:collectionobjects_annotation.annotationNote,annotationNote,string,n,n,y,"","",""
publicart_7-0-0,Concept,concept,Concept Information,"",Term display name,termDisplayName,ns2:concepts_common.termDisplayName,termDisplayName,string,y,n,y,"","",""
