profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Named collection,namedCollection,ns2:collectionobjects_common.namedCollection,namedCollectionWorkLocal; namedCollectionRefname,string,n,y,n,authority; refname,work/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Taxonomic identification,Taxonomic identification scientific name,determinationTaxon,ns2:collectionobjects_naturalhistory_extension.determinationTaxon,determinationTaxonTaxonLocal; determinationTaxonRefname,string,n,n,y,authority; refname,taxon/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Taxonomic identification,Taxonomic identification qualifier,determinationQualifier,ns2:collectionobjects_naturalhistory_extension.determinationQualifier,determinationQualifier; determinationQualifierRefname,string,n,n,y,vocabulary; refname,taxonqualifier; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Identification by,Taxonomic identification by,determinationBy,ns2:collectionobjects_naturalhistory_extension.determinationBy,determinationByPersonLocal; determinationByRefname,string,n,n,y,authority; refname,person/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Identification by,Taxonomic identification date,determinationDateGroup,ns2:collectionobjects_naturalhistory_extension.determinationDateGroup,determinationDateGroup,structured date group,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Identification by,Taxonomic identification institution,determinationInstitution,ns2:collectionobjects_naturalhistory_extension.determinationInstitution,determinationInstitutionOrganizationLocal; determinationInstitutionRefname,string,n,n,y,authority; refname,organization/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Taxonomic identification kind,determinationKind,ns2:collectionobjects_naturalhistory_extension.determinationKind,determinationKind; determinationKindRefname,string,n,n,y,vocabulary; refname,taxonkind; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Reference,Taxonomic identification reference source,determinationReference,ns2:collectionobjects_naturalhistory_extension.determinationReference,determinationReference,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,Reference,Taxonomic identification reference page,determinationRefPage,ns2:collectionobjects_naturalhistory_extension.determinationRefPage,determinationRefPage,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Taxonomic identification note,determinationNote,ns2:collectionobjects_naturalhistory_extension.determinationNote,determinationNote,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Local name,localName,ns2:collectionobjects_herbarium.localName,localName,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Local name language,localNameLanguage,ns2:collectionobjects_herbarium.localNameLanguage,localNameLanguage; localNameLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Hybrid parent name,herbHybridParent,ns2:collectionobjects_herbarium.herbHybridParent,herbHybridParentTaxonLocal; herbHybridParentTaxonCommon; herbHybridParentRefname,string,n,n,y,authority; refname,taxon/local; taxon/common; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Hybrid parent qualifier,herbHybridParentQualifier,ns2:collectionobjects_herbarium.herbHybridParentQualifier,herbHybridParentQualifier; herbHybridParentQualifierRefname,string,n,n,y,vocabulary; refname,hybridparentqualifier; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Hybrid name,hybridName,ns2:collectionobjects_herbarium.hybridName,hybridName,string,n,n,n/a,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Label header,labelHeader,ns2:collectionobjects_herbarium.labelHeader,labelHeaderConceptLabeltext; labelHeaderRefname,string,n,n,n/a,authority; refname,concept/labeltext; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Label footer,labelFooter,ns2:collectionobjects_herbarium.labelFooter,labelFooterConceptLabeltext; labelFooterRefname,string,n,n,n/a,authority; refname,concept/labeltext; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Sheet number,sheetNumber,ns2:collectionobjects_herbarium.sheetNumber,sheetNumber,integer,n,n,n/a,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Sheet count,sheetCount,ns2:collectionobjects_herbarium.sheetCount,sheetCount,integer,n,n,n/a,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Brief description,briefDescription,ns2:collectionobjects_common.briefDescription,briefDescription,string,n,y,n,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Publish to,publishTo,ns2:collectionobjects_common.publishTo,publishTo; publishToRefname,string,n,y,n,vocabulary; refname,publishto; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Other number value,numberValue,ns2:collectionobjects_common.numberValue,numberValue,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Other number type,numberType,ns2:collectionobjects_common.numberType,numberType,string,n,n,y,option list,numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown"
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Comment,comment,ns2:collectionobjects_common.comment,comment,string,n,y,n,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Inventory status,inventoryStatus,ns2:collectionobjects_common.inventoryStatus,inventoryStatus; inventoryStatusRefname,string,n,y,n,vocabulary; refname,inventorystatus; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Annotation type,annotationType,ns2:collectionobjects_annotation.annotationType,annotationType; annotationTypeRefname,string,n,n,y,vocabulary; refname,annotationtype; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Annotation date,annotationDate,ns2:collectionobjects_annotation.annotationDate,annotationDate,date,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorRefname,string,n,n,y,authority; refname,person/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Annotation note,annotationNote,ns2:collectionobjects_annotation.annotationNote,annotationNote,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen kind,herbTypeSpecimenKind,ns2:collectionobjects_herbarium.herbTypeSpecimenKind,herbTypeSpecimenKind; herbTypeSpecimenKindRefname,string,n,n,y,vocabulary; refname,typespecimenkind; vocabulary refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen asserted by,herbTypeSpecimenAssertionBy,ns2:collectionobjects_herbarium.herbTypeSpecimenAssertionBy,herbTypeSpecimenAssertionByOrganizationLocal; herbTypeSpecimenAssertionByRefname,string,n,n,y,authority; refname,organization/local; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen reference,herbTypeSpecimenReference,ns2:collectionobjects_herbarium.herbTypeSpecimenReference,herbTypeSpecimenReference,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen reference page,herbTypeSpecimenRefPage,ns2:collectionobjects_herbarium.herbTypeSpecimenRefPage,herbTypeSpecimenRefPage,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen verified basionym,herbTypeSpecimenBasionym,ns2:collectionobjects_herbarium.herbTypeSpecimenBasionym,herbTypeSpecimenBasionymTaxonLocal; herbTypeSpecimenBasionymTaxonCommon; herbTypeSpecimenBasionymRefname,string,n,n,y,authority; refname,taxon/local; taxon/common; authority refname,""
herbarium_2-0-12,Object,collectionobject,Object Identification Information,"",Type specimen note,herbTypeSpecimenNotes,ns2:collectionobjects_herbarium.herbTypeSpecimenNotes,herbTypeSpecimenNotes,string,n,n,y,"","",""
herbarium_2-0-12,Object,collectionobject,Object Description Information,"",Sex,sex,ns2:collectionobjects_common.sex,sex,string,n,n,n/a,option list,sexes,"female, male"
