profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
herbarium_2-0-12,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
herbarium_2-0-12,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
herbarium_2-0-12,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
herbarium_2-0-12,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
herbarium_2-0-12,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
herbarium_2-0-12,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
herbarium_2-0-12,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
herbarium_2-0-12,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
herbarium_2-0-12,Taxon,Term source name,Taxonomic Name Information,Source,n,y,authority,citation/local; citation/worldcat,taxon,termSource
herbarium_2-0-12,Taxon,Author name,Taxonomic Name Information,"",n,y,authority,person/local; organization/local,taxon,taxonAuthor
herbarium_2-0-12,Taxon,Citation,Taxonomic Name Information,"",y,n,authority,citation/local; citation/worldcat,taxon,taxonCitation
herbarium_2-0-12,Taxon,Related term name,Taxonomic Name Information,"",n,y,authority,taxon/local; taxon/common,taxon,relatedTerm
