profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
botgarden_3-1-1,Object,Provenance type,Object Identification Information,"",string,n,n,n/a,vocabulary: provenancetype,"",collectionobject,provenanceType
botgarden_3-1-1,Object,Rare,Object Identification Information,"",string,n,n,n/a,option list: booleans,"false, true",collectionobject,rare
botgarden_3-1-1,Object,Cultivated,Object Identification Information,"",string,n,n,n/a,option list: booleans,"false, true",collectionobject,cultivated
botgarden_3-1-1,Object,CBD restriction,Object Identification Information,"",boolean,n,n,n/a,"","",collectionobject,cbdRestriction
botgarden_3-1-1,Object,Requested by,Object Identification Information,"",string,n,n,n/a,authority: person/local,"",collectionobject,requestedBy
botgarden_3-1-1,Object,Material type,Object Identification Information,"",string,n,y,n,"","",collectionobject,briefDescription
botgarden_3-1-1,Object,Named collection,Object Identification Information,"",string,n,y,n,authority: work/local,"",collectionobject,namedCollection
botgarden_3-1-1,Object,Source,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,source
botgarden_3-1-1,Object,Accession note,Object Identification Information,"",string,n,y,n,"","",collectionobject,comment
botgarden_3-1-1,Object,Type specimen kind,Object Identification Information,Type specimen,string,n,n,y,vocabulary: typespecimenkind,"",collectionobject,typeSpecimenKind
botgarden_3-1-1,Object,Type specimen asserted by,Object Identification Information,Type specimen,string,n,n,y,authority: person/local,"",collectionobject,typeSpecimenAssertionBy
botgarden_3-1-1,Object,Type specimen reference,Object Identification Information,Type specimen,string,n,n,y,"","",collectionobject,typeSpecimenReference
botgarden_3-1-1,Object,Type specimen reference page,Object Identification Information,Type specimen,string,n,n,y,"","",collectionobject,typeSpecimenRefPage
botgarden_3-1-1,Object,Type specimen verified basionym,Object Identification Information,Type specimen,string,n,n,y,authority: taxon/local,"",collectionobject,typeSpecimenBasionym
botgarden_3-1-1,Object,Type specimen note,Object Identification Information,Type specimen,string,n,n,y,"","",collectionobject,typeSpecimenNotes
botgarden_3-1-1,Object,Field collection location verbatim,Locality Information,Locality,string,n,n,y,"","",collectionobject,fieldLocVerbatim
botgarden_3-1-1,Object,Field collection place,Locality Information,Locality,string,n,n,y,authority: place/local,"",collectionobject,fieldLocPlace
botgarden_3-1-1,Object,Geographic range of taxon,Locality Information,Locality,string,n,n,y,"","",collectionobject,taxonomicRange
botgarden_3-1-1,Object,County,Locality Information,Locality,string,n,n,y,vocabulary: county,"",collectionobject,fieldLocCounty
botgarden_3-1-1,Object,State,Locality Information,Locality,string,n,n,y,vocabulary: state,"",collectionobject,fieldLocState
botgarden_3-1-1,Object,Country,Locality Information,Locality,string,n,n,y,vocabulary: country,"",collectionobject,fieldLocCountry
botgarden_3-1-1,Object,Higher geography,Locality Information,Locality,string,n,n,y,option list: higherGeographies,"North America, pacificocean",collectionobject,fieldLocHigherGeography
botgarden_3-1-1,Object,Verbatim latitude,Locality Information,Locality,string,n,n,y,"","",collectionobject,vLatitude
botgarden_3-1-1,Object,Verbatim longitude,Locality Information,Locality,string,n,n,y,"","",collectionobject,vLongitude
botgarden_3-1-1,Object,TRS,Locality Information,Locality,string,n,n,y,"","",collectionobject,vCoordinates
botgarden_3-1-1,Object,Other coords,Locality Information,Locality,string,n,n,y,"","",collectionobject,vOtherCoords
botgarden_3-1-1,Object,Other coords system,Locality Information,Locality,string,n,n,y,vocabulary: vcoordsys,"",collectionobject,vCoordSys
botgarden_3-1-1,Object,Decimal latitude,Locality Information,Locality,float,n,n,y,"","",collectionobject,decimalLatitude
botgarden_3-1-1,Object,Decimal longitude,Locality Information,Locality,float,n,n,y,"","",collectionobject,decimalLongitude
botgarden_3-1-1,Object,Datum,Locality Information,Locality,string,n,n,y,option list: geodeticDatums,"ADG66, NAD27, NAD83, NAD83&amp;WGS84, Not Recorded, WGS84",collectionobject,geodeticDatum
botgarden_3-1-1,Object,Coord uncertainty,Locality Information,Locality,float,n,n,y,"","",collectionobject,coordUncertainty
botgarden_3-1-1,Object,Coord uncertainty unit,Locality Information,Locality,string,n,n,y,option list: coordUncertaintyUnits,"feet, kilometers, meters, miles, unknown",collectionobject,coordUncertaintyUnit
botgarden_3-1-1,Object,Depth verbatim,Locality Information,Locality > Depth,string,n,n,y,"","",collectionobject,vDepth
botgarden_3-1-1,Object,Depth min,Locality Information,Locality > Depth,float,n,n,y,"","",collectionobject,minDepth
botgarden_3-1-1,Object,Depth max,Locality Information,Locality > Depth,float,n,n,y,"","",collectionobject,maxDepth
botgarden_3-1-1,Object,Depth unit,Locality Information,Locality > Depth,string,n,n,y,option list: depthUnits,"centimeters, fathoms, feet, furlongs, inches, kilometers, meters, miles, rods, uncertain",collectionobject,depthUnit
botgarden_3-1-1,Object,Elevation verbatim,Locality Information,Locality > Elevation,string,n,n,y,"","",collectionobject,vElevation
botgarden_3-1-1,Object,Elevation min,Locality Information,Locality > Elevation,float,n,n,y,"","",collectionobject,minElevation
botgarden_3-1-1,Object,Elevation max,Locality Information,Locality > Elevation,float,n,n,y,"","",collectionobject,maxElevation
botgarden_3-1-1,Object,Elevation unit,Locality Information,Locality > Elevation,string,n,n,y,option list: elevationUnits,"feet, meters, uncertain",collectionobject,elevationUnit
botgarden_3-1-1,Object,Distance above surface verbatim,Locality Information,Locality > Distance above surface,string,n,n,y,"","",collectionobject,vDistanceAboveSurface
botgarden_3-1-1,Object,Distance above surface min,Locality Information,Locality > Distance above surface,float,n,n,y,"","",collectionobject,minDistanceAboveSurface
botgarden_3-1-1,Object,Distance above surface max,Locality Information,Locality > Distance above surface,float,n,n,y,"","",collectionobject,maxDistanceAboveSurface
botgarden_3-1-1,Object,Distance above surface unit,Locality Information,Locality > Distance above surface,string,n,n,y,option list: distanceAboveSurfaceUnits,"centimeters, fathoms, feet, furlongs, inches, kilometers, meters, miles, rods, uncertain",collectionobject,distanceAboveSurfaceUnit
botgarden_3-1-1,Object,Locality note,Locality Information,Locality,string,n,n,y,"","",collectionobject,localityNote
botgarden_3-1-1,Object,Locality source,Locality Information,Locality,string,n,n,y,"","",collectionobject,localitySource
botgarden_3-1-1,Object,Locality source detail,Locality Information,Locality,string,n,n,y,"","",collectionobject,localitySourceDetail
botgarden_3-1-1,Object,Pt. radius sp. fit,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,pointRadiusSpatialFit
botgarden_3-1-1,Object,Footprint WKT,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,footprintWKT
botgarden_3-1-1,Object,Footprint SRS,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,footprintSRS
botgarden_3-1-1,Object,Footprint sp. fit,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,footprintSpatialFit
botgarden_3-1-1,Object,Coord precision,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,coordPrecision
botgarden_3-1-1,Object,Georeference by,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,geoRefencedBy
botgarden_3-1-1,Object,Georeference date,Locality Information,Locality > Georeference Detail,structured date group,n,n,y,"","",collectionobject,geoRefDateGroup
botgarden_3-1-1,Object,Georeference protocol,Locality Information,Locality > Georeference Detail,string,n,n,y,option list: georefProtocols,"biogeomancer, chapman-wieczorek-2006-guide-best-practices-georeferencing, georeferencing-dummies, manis-herpnet-ornis-georeferencing-guidelines",collectionobject,geoRefProtocol
botgarden_3-1-1,Object,Georeference source,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,geoRefSource
botgarden_3-1-1,Object,Georeference verification,Locality Information,Locality > Georeference Detail,string,n,n,y,option list: georefVerificationStatuses,"unverified, verified-contributor, verified-data-custodian",collectionobject,geoRefVerificationStatus
botgarden_3-1-1,Object,Georeference note,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,geoRefRemarks
botgarden_3-1-1,Object,Georeference place name,Locality Information,Locality > Georeference Detail,string,n,n,y,"","",collectionobject,geoRefPlaceName
botgarden_3-1-1,Object,Field collection date,Field Collection Information,"",structured date group,n,n,n/a,"","",collectionobject,fieldCollectionDateGroup
botgarden_3-1-1,Object,Field collector,Field Collection Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",collectionobject,fieldCollector
botgarden_3-1-1,Object,Field collection number,Field Collection Information,"",string,n,n,n/a,"","",collectionobject,fieldCollectionNumber
botgarden_3-1-1,Object,Field collection number assignor,Field Collection Information,"",string,n,n,n/a,authority: person/local,"",collectionobject,fieldCollectionNumberAssignor
botgarden_3-1-1,Object,Vegetation type,Field Collection Information,"",string,n,n,n/a,vocabulary: vegetationtype,"",collectionobject,vegetationType
botgarden_3-1-1,Object,Field collection method,Field Collection Information,"",string,n,y,n,vocabulary: collectionmethod,"",collectionobject,fieldCollectionMethod
