profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Support name,exhibitionSupport,ns2:exhibitions_publicart.exhibitionSupport,exhibitionSupportPersonLocal; exhibitionSupportPersonShared; exhibitionSupportOrganizationLocal; exhibitionSupportOrganizationShared; exhibitionSupportRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Organizer,organizer,ns2:exhibitions_common.organizer,organizerPersonLocal; organizerPersonShared; organizerOrganizationLocal; organizerOrganizationShared; organizerRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Venue name,venue,ns2:exhibitions_common.venue,venueOrganizationLocal; venueOrganizationShared; venueLocationLocal; venueLocationOffsite; venuePlaceLocal; venuePlaceShared; venueRefname,n,y,authority; refname,organization/local; organization/shared; location/local; location/offsite; place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Object Exit,exit,Object Exit Information,"",Owner after exit,owner,ns2:exits_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,y,n,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Object Exit,exit,Object Exit Information,"",Exit agent name,agent,ns2:exits_common.agent,agentPersonLocal; agentOrganizationLocal; agentRefname,n,y,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Group,group,Checklist Information,"",Checklist item assigned to,checklistAssignee,ns2:groups_checklist.checklistAssignee,checklistAssigneePersonLocal; checklistAssigneePersonShared; checklistAssigneeRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Held-in-Trust,heldintrust,Held-in-Trust Information,"",Correspondence sender,correspondenceSender,ns2:heldintrusts_common.correspondenceSender,correspondenceSenderPersonLocal; correspondenceSenderOrganizationLocal; correspondenceSenderRefname,n,y,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Held-in-Trust,heldintrust,Held-in-Trust Information,"",Correspondence recipient,correspondenceRecipient,ns2:heldintrusts_common.correspondenceRecipient,correspondenceRecipientPersonLocal; correspondenceRecipientOrganizationLocal; correspondenceRecipientRefname,n,y,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Insurance/Indemnity,insurance,Insurance and Indemnity Information,"",Quote provider,insuranceIndemnityQuoteProvider,ns2:insurances_common.insuranceIndemnityQuoteProvider,insuranceIndemnityQuoteProviderPersonLocal; insuranceIndemnityQuoteProviderPersonShared; insuranceIndemnityQuoteProviderOrganizationLocal; insuranceIndemnityQuoteProviderOrganizationShared; insuranceIndemnityQuoteProviderRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Intake,intake,Object Entry Information,"",Current owner,currentOwner,ns2:intakes_common.currentOwner,currentOwnerPersonLocal; currentOwnerPersonShared; currentOwnerOrganizationLocal; currentOwnerOrganizationShared; currentOwnerRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Intake,intake,Object Entry Information,"",Depositor name,depositor,ns2:intakes_common.depositor,depositorPersonLocal; depositorPersonShared; depositorOrganizationLocal; depositorOrganizationShared; depositorRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Intake,intake,Object Entry Information,"",Approval individual,approvalIndividual,ns2:intakes_common.approvalIndividual,approvalIndividualPersonLocal; approvalIndividualPersonShared; approvalIndividualRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Intake,intake,Location Information,"",Current location,currentLocation,ns2:intakes_common.currentLocation,currentLocationLocationLocal; currentLocationLocationOffsite; currentLocationOrganizationLocal; currentLocationOrganizationShared; currentLocationPlaceLocal; currentLocationPlaceShared; currentLocationRefname,n,y,authority; refname,location/local; location/offsite; organization/local; organization/shared; place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Intake,intake,Condition Check Information,"",Condition check assessor,conditionCheckerOrAssessor,ns2:intakes_common.conditionCheckerOrAssessor,conditionCheckerOrAssessorPersonLocal; conditionCheckerOrAssessorPersonShared; conditionCheckerOrAssessorOrganizationLocal; conditionCheckerOrAssessorOrganizationShared; conditionCheckerOrAssessorRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Loan In,loanin,Loan In Information,"",Loan status individual,loanIndividual,ns2:loansin_common.loanIndividual,loanIndividualPersonLocal; loanIndividualPersonShared; loanIndividualRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Loan In,loanin,Loan In Information,"",Lender name,lender,ns2:loansin_common.lender,lenderPersonLocal; lenderPersonShared; lenderOrganizationLocal; lenderOrganizationShared; lenderRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Loan In,loanin,Loan In Information,"",Lender contact,lendersContact,ns2:loansin_common.lendersContact,lendersContactPersonLocal; lendersContactPersonShared; lendersContactRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Loan Out,loanout,Loan Out Information,"",Loan status individual,loanIndividual,ns2:loansout_common.loanIndividual,loanIndividualPersonLocal; loanIndividualPersonShared; loanIndividualRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Storage Location,location,Storage Location Information,Source,Term source name,termSource,ns2:locations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Storage Location,location,Storage Location Information,"",Address municipality,addressMunicipality,ns2:locations_publicart.addressMunicipality,addressMunicipalityPlaceLocal; addressMunicipalityPlaceShared; addressMunicipalityRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Storage Location,location,Storage Location Information,"",Address county,addressCounty,ns2:locations_publicart.addressCounty,addressCountyPlaceLocal; addressCountyPlaceShared; addressCountyRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Storage Location,location,Storage Location Information,"",Address state/province,addressStateOrProvince,ns2:locations_publicart.addressStateOrProvince,addressStateOrProvincePlaceLocal; addressStateOrProvincePlaceShared; addressStateOrProvinceRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Storage Location,location,Storage Location Information,"",Address country,addressCountry,ns2:locations_publicart.addressCountry,addressCountryPlaceLocal; addressCountryPlaceShared; addressCountryRefname,n,y,authority; refname,place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Media Handling,media,Media Handling Information,"",Rights holder,publicartRightsHolder,ns2:media_publicart.publicartRightsHolder,publicartRightsHolderPersonLocal; publicartRightsHolderPersonShared; publicartRightsHolderOrganizationLocal; publicartRightsHolderOrganizationShared; publicartRightsHolderRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
