fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
fcart_5-0-3 ns2:collectionobjects_common agreementReceived,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.agreementReceived,Rights In Management Information,"",Right in agreement received,rightsInGroupList > rightsInGroup,agreementReceived,date,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common agreementSigned,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.agreementSigned,Rights In Management Information,"",Right in agreement signed,rightsInGroupList > rightsInGroup,agreementSigned,date,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common rightInRestriction,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightInRestriction,Rights In Management Information,"",Right in restriction,rightsInGroupList > rightsInGroup > rightInRestrictions,rightInRestriction,string,n,y,as part of larger repeating group,vocabulary: rightsinrestriction,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common rightReproductionStatement,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightReproductionStatement,Rights In Management Information,"",Right statement for reproduction,rightsInGroupList > rightsInGroup,rightReproductionStatement,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common rightInNote,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightInNote,Rights In Management Information,"",Right in note,rightsInGroupList > rightsInGroup,rightInNote,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common assignedSignificance,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assignedSignificance,Object Identification Information,Object significance,Object significance level,objectSignificanceGroupList > objectSignificanceGroup,assignedSignificance,string,n,n,y,vocabulary: assignedsignificance,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common significanceAssignedBy,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.significanceAssignedBy,Object Identification Information,Object significance,Object significance assigned by,objectSignificanceGroupList > objectSignificanceGroup,significanceAssignedBy,string,n,n,y,vocabulary: significanceassignedby,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common significanceAssignedDate,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.significanceAssignedDate,Object Identification Information,Object significance,Object significance assigned date,objectSignificanceGroupList > objectSignificanceGroup,significanceAssignedDate,date,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common significanceAssignedContact,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.significanceAssignedContact,Object Identification Information,Object significance,Object significance assigned contact,objectSignificanceGroupList > objectSignificanceGroup,significanceAssignedContact,string,n,n,y,authority: person/local; authority: person/ulan,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common objectSuppliedBy,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectSuppliedBy,Object Identification Information,"",Supplied by,"",objectSuppliedBy,string,n,n,n/a,authority: person/local; authority: person/ulan,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common variableMediaComponentStatus,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.variableMediaComponentStatus,Object Identification Information,"",Variable media component status,"",variableMediaComponentStatus,string,n,n,n/a,vocabulary: vmcomponentstatus,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common credentialType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.credentialType,Object Identification Information,Credential,Credential type,credentialGroupList > credentialGroup,credentialType,string,n,n,y,vocabulary: credentialtype,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common credentialRequiredForUse,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.credentialRequiredForUse,Object Identification Information,Credential,Credential required for use,credentialGroupList > credentialGroup,credentialRequiredForUse,string,n,n,y,option list: yesNoValues,"no, yes",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common credentialLocation,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.credentialLocation,Object Identification Information,Credential,Credential location,credentialGroupList > credentialGroup,credentialLocation,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common distributedStorageLedger,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distributedStorageLedger,Object Identification Information,Distributed ledger,Distributed ledger type,distributedLedgerGroupList > distributedLedgerGroup,distributedStorageLedger,string,n,n,y,vocabulary: distributedledgertype,"",not in fcart_4-0-0
