"status","Issue","fid","profile","record_type","namespace","namespace_for_id","field_id","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats","data_source_type","data_source_name","option_list_values"
"old","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusDate","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusDate","Summary Documentation Information",,"Summary status date","statusGroupList > statusGroup","statusDate","date","n","n","y",,,
"new","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusNote","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusNote","Summary Documentation Information",,"Summary documentation status note","statusGroupList > statusGroup","statusNote","string","n","n","y",,,
"old","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusNote","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusNote","Summary Documentation Information",,"Summary status note","statusGroupList > statusGroup","statusNote","string","n","n","y",,,
"new","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryGroup","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryGroup","Inventory Documentation Information",,"Inventory documentation status group","inventoryStatusGroupList > inventoryStatusGroup","inventoryGroup","string","n","n","y","vocabulary","deaccessionapprovalgroup",
"old","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryGroup","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryGroup","Inventory Documentation Information",,"Inventory status group","inventoryStatusGroupList > inventoryStatusGroup","inventoryGroup","string","n","n","y","vocabulary","deaccessionapprovalgroup",
"new","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryIndividual","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryIndividual","Inventory Documentation Information",,"Inventory documentation status individual","inventoryStatusGroupList > inventoryStatusGroup","inventoryIndividual","string","n","n","y","authority","person/local",
"old","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryIndividual","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryIndividual","Inventory Documentation Information",,"Inventory status individual","inventoryStatusGroupList > inventoryStatusGroup","inventoryIndividual","string","n","n","y","authority","person/local",
"new","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryStatus","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryStatus","Inventory Documentation Information",,"Inventory documentation status","inventoryStatusGroupList > inventoryStatusGroup","inventoryStatus","string","n","n","y","vocabulary","nagpradocumentationstatus",
"old","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryStatus","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryStatus","Inventory Documentation Information",,"Inventory status","inventoryStatusGroupList > inventoryStatusGroup","inventoryStatus","string","n","n","y","vocabulary","nagpradocumentationstatus",
"new","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryDate","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryDate","Inventory Documentation Information",,"Inventory documentation status date","inventoryStatusGroupList > inventoryStatusGroup","inventoryDate","date","n","n","y",,,
"old","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryDate","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryDate","Inventory Documentation Information",,"Inventory status date","inventoryStatusGroupList > inventoryStatusGroup","inventoryDate","date","n","n","y",,,
"new","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryNote","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryNote","Inventory Documentation Information",,"Inventory documentation status note","inventoryStatusGroupList > inventoryStatusGroup","inventoryNote","string","n","n","y",,,
"old","DRYD-1704","anthro nagprainventory ns2:nagprainventories_common inventoryNote","anthro","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryNote","Inventory Documentation Information",,"Inventory status note","inventoryStatusGroupList > inventoryStatusGroup","inventoryNote","string","n","n","y",,,
"new","DRYD-1719","anthro place ns2:places_nagpra basicInfo","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.basicInfo","Background Research and Additional Information",,"Basic information","basicInfoList","basicInfo","string","n","y","n",,,
"old","DRYD-1719","anthro place ns2:places_nagpra basicInfo","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.basicInfo","Background Research and Additional Information",,"Basic information","basicInfoList","basicInfo","string","n","n","n",,,
"new","DRYD-1719","anthro place ns2:places_nagpra nagpraHistory","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.nagpraHistory","Background Research and Additional Information",,"NAGPRA inventory history","nagpraHistoryList","nagpraHistory","string","n","y","n",,,
"old","DRYD-1719","anthro place ns2:places_nagpra nagpraHistory","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.nagpraHistory","Background Research and Additional Information",,"NAGPRA inventory history","nagpraHistoryList","nagpraHistory","string","n","n","n",,,
"new","DRYD-1719","anthro place ns2:places_nagpra backgroundSummary","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.backgroundSummary","Background Research and Additional Information",,"Background and records summary","backgroundSummaryList","backgroundSummary","string","n","y","n",,,
"old","DRYD-1719","anthro place ns2:places_nagpra backgroundSummary","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.backgroundSummary","Background Research and Additional Information",,"Background and records summary","backgroundSummaryList","backgroundSummary","string","n","n","n",,,
"new","DRYD-1719","anthro place ns2:places_nagpra landOwnershipInfo","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.landOwnershipInfo","Background Research and Additional Information",,"Land ownership information","landOwnershipInfoList","landOwnershipInfo","string","n","y","n",,,
"old","DRYD-1719","anthro place ns2:places_nagpra landOwnershipInfo","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.landOwnershipInfo","Background Research and Additional Information",,"Land ownership information","landOwnershipInfoList","landOwnershipInfo","string","n","n","n",,,
"new","DRYD-1719","anthro place ns2:places_nagpra assertionRelatedRecords","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.assertionRelatedRecords","Cultural Affiliation Lines of Evidence","Assertion Information","Assertion museum records","assertionGroupList > assertionGroup","assertionRelatedRecords","string","n","n","y",,,
"old","DRYD-1719","anthro place ns2:places_nagpra assertionRelatedRecords","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.assertionRelatedRecords","Cultural Affiliation Lines of Evidence","Assertion Information","Museum records","assertionGroupList > assertionGroup","assertionRelatedRecords","string","n","n","y",,,
"new","DRYD-1719","anthro place ns2:places_nagpra assertionReferenceNote","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.assertionReferenceNote","Cultural Affiliation Lines of Evidence","Assertion Information","Assertion reference note","assertionGroupList > assertionGroup > assertionReferenceGroupList > assertionReferenceGroup","assertionReferenceNote","string","n","n","y",,,
"old","DRYD-1719","anthro place ns2:places_nagpra assertionReferenceNote","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.assertionReferenceNote","Cultural Affiliation Lines of Evidence","Assertion Information","Assertion refence note","assertionGroupList > assertionGroup > assertionReferenceGroupList > assertionReferenceGroup","assertionReferenceNote","string","n","n","y",,,
"new","DRYD-1719","anthro place ns2:places_nagpra museumRecords","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.museumRecords","Documents Consulted for Cultural Affiliation Research",,"Museum records","museumRecordsList","museumRecords","string","n","y","n",,,
"old","DRYD-1719","anthro place ns2:places_nagpra museumRecords","anthro","place","ns2:places_nagpra","ns2:places_nagpra","places_nagpra.museumRecords","Documents Consulted for Cultural Affiliation Research",,"Museum records","museumRecordsList","museumRecords","string","n","n","n",,,
"new","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusGroupType","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusGroupType","Summary Documentation Information",,"Summary documentation status group","statusGroupList > statusGroup","statusGroupType","string","n","n","y","vocabulary","documentationgroup",
"old","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusGroupType","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusGroupType","Summary Documentation Information",,"Summary status group","statusGroupList > statusGroup","statusGroupType","string","n","n","y","vocabulary","documentationgroup",
"new","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusIndividual","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusIndividual","Summary Documentation Information",,"Summary documentation status individual","statusGroupList > statusGroup","statusIndividual","string","n","n","y","authority","person/local",
"old","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common statusIndividual","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusIndividual","Summary Documentation Information",,"Summary status individual","statusGroupList > statusGroup","statusIndividual","string","n","n","y","authority","person/local",
"new","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common status","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.status","Summary Documentation Information",,"Summary documentation status","statusGroupList > statusGroup","status","string","n","n","y","vocabulary","nagpradocumentationstatus",
"old","DRYD-1703","anthro summarydocumentation ns2:summarydocumentations_common status","anthro","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.status","Summary Documentation Information",,"Summary status","statusGroupList > statusGroup","status","string","n","n","y","vocabulary","nagpradocumentationstatus",
