profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
materials_4-0-1-723a443,Transport,transport,Transport Information,"",Courier name,courier,ns2:transports_common.courier,courierPersonLocal; courierPersonShared; courierOrganizationLocal; courierOrganizationShared; courierRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Transport,transport,Cost Information,"",Shipping quote provider,shippingQuoteProvider,ns2:transports_common.shippingQuoteProvider,shippingQuoteProviderPersonLocal; shippingQuoteProviderPersonShared; shippingQuoteProviderOrganizationLocal; shippingQuoteProviderOrganizationShared; shippingQuoteProviderRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Use of Collections,uoc,Use of Collections Information,"",User name,user,ns2:uoc_common.user,userPersonLocal; userPersonShared; userOrganizationLocal; userOrganizationShared; userRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Use of Collections,uoc,Use of Collections Information,"",User institution,userInstitution,ns2:uoc_common.userInstitution,userInstitutionOrganizationLocal; userInstitutionOrganizationShared; userInstitutionRefname,n,y,authority; refname,organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Use of Collections,uoc,Use of Collections Information,"",Authorized by,authorizedBy,ns2:uoc_common.authorizedBy,authorizedByPersonLocal; authorizedByPersonShared; authorizedByOrganizationLocal; authorizedByOrganizationShared; authorizedByRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Use of Collections,uoc,Use of Collections Information,"",Staff name,staffName,ns2:uoc_common.staffName,staffNamePersonLocal; staffNamePersonShared; staffNameOrganizationLocal; staffNameOrganizationShared; staffNameRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Use of Collections,uoc,Use of Collections Information,"",Location,location,ns2:uoc_common.location,locationOrganizationLocal; locationOrganizationShared; locationPlaceLocal; locationPlaceShared; locationLocationLocal; locationRefname,y,n,authority; refname,organization/local; organization/shared; place/local; place/shared; location/local; authority refname
materials_4-0-1-723a443,Restricted Media Handling,restrictedmedia,Media Handling Information,"",Measured by,measuredBy,ns2:restrictedmedia_common.measuredBy,measuredByPersonLocal; measuredByPersonShared; measuredByOrganizationLocal; measuredByOrganizationShared; measuredByRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Summary Documentation,summarydocumentation,Summary Documentation Information,"",Summary affiliation determined by,determinedBy,ns2:summarydocumentations_common.determinedBy,determinedByPersonLocal; determinedByOrganizationLocal; determinedByRefname,y,as part of larger repeating group,authority; refname,person/local; organization/local; authority refname
materials_4-0-1-723a443,Work,work,Work Information,Source,Term source name,termSource,ns2:works_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,n,y,authority; refname,citation/local; citation/shared; authority refname
materials_4-0-1-723a443,Work,work,Work Information,"",Creator name,creator,ns2:works_common.creator,creatorPersonLocal; creatorPersonShared; creatorOrganizationLocal; creatorOrganizationShared; creatorRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Work,work,Work Information,"",Publisher name,publisher,ns2:works_common.publisher,publisherPersonLocal; publisherPersonShared; publisherOrganizationLocal; publisherOrganizationShared; publisherRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,Source,Term source name,termSource,ns2:materials_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,n,y,authority; refname,citation/local; citation/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Featured collection name,featuredCollection,ns2:materials_common.featuredCollection,featuredCollectionWorkLocal; featuredCollectionWorkShared; featuredCollectionRefname,n,y,authority; refname,work/local; work/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Composition family name,materialCompositionFamilyName,ns2:materials_common.materialCompositionFamilyName,materialCompositionFamilyNameConceptMaterialclassification; materialCompositionFamilyNameConceptSharedmaterialclassification; materialCompositionFamilyNameRefname,n,y,authority; refname,concept/materialclassification; concept/sharedmaterialclassification; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Composition class name,materialCompositionClassName,ns2:materials_common.materialCompositionClassName,materialCompositionClassNameConceptMaterialclassification; materialCompositionClassNameConceptSharedmaterialclassification; materialCompositionClassNameRefname,n,y,authority; refname,concept/materialclassification; concept/sharedmaterialclassification; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Composition generic name,materialCompositionGenericName,ns2:materials_common.materialCompositionGenericName,materialCompositionGenericNameConceptMaterialclassification; materialCompositionGenericNameConceptSharedmaterialclassification; materialCompositionGenericNameRefname,n,y,authority; refname,concept/materialclassification; concept/sharedmaterialclassification; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Production organization name,materialProductionOrganization,ns2:materials_common.materialProductionOrganization,materialProductionOrganizationOrganizationLocal; materialProductionOrganizationOrganizationShared; materialProductionOrganizationRefname,n,y,authority; refname,organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Production person name,materialProductionPerson,ns2:materials_common.materialProductionPerson,materialProductionPersonPersonLocal; materialProductionPersonPersonShared; materialProductionPersonRefname,n,y,authority; refname,person/local; person/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Production place name,materialProductionPlace,ns2:materials_common.materialProductionPlace,materialProductionPlacePlaceLocal; materialProductionPlacePlaceShared; materialProductionPlaceRefname,n,y,authority; refname,place/local; place/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Featured application name,featuredApplication,ns2:materials_common.featuredApplication,featuredApplicationWorkLocal; featuredApplicationWorkShared; featuredApplicationRefname,n,y,authority; refname,work/local; work/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Citation source,materialCitationSource,ns2:materials_common.materialCitationSource,materialCitationSourceCitationLocal; materialCitationSourceCitationShared; materialCitationSourceRefname,n,y,authority; refname,citation/local; citation/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Term creator organization,materialTermAttributionContributingOrganization,ns2:materials_common.materialTermAttributionContributingOrganization,materialTermAttributionContributingOrganizationOrganizationLocal; materialTermAttributionContributingOrganizationOrganizationShared; materialTermAttributionContributingOrganizationRefname,n,y,authority; refname,organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Term creator contributor,materialTermAttributionContributingPerson,ns2:materials_common.materialTermAttributionContributingPerson,materialTermAttributionContributingPersonPersonLocal; materialTermAttributionContributingPersonPersonShared; materialTermAttributionContributingPersonRefname,n,y,authority; refname,person/local; person/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Term editor organization,materialTermAttributionEditingOrganization,ns2:materials_common.materialTermAttributionEditingOrganization,materialTermAttributionEditingOrganizationOrganizationLocal; materialTermAttributionEditingOrganizationOrganizationShared; materialTermAttributionEditingOrganizationRefname,n,y,authority; refname,organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Material,material,Material Information,"",Term editor,materialTermAttributionEditingPerson,ns2:materials_common.materialTermAttributionEditingPerson,materialTermAttributionEditingPersonPersonLocal; materialTermAttributionEditingPersonPersonShared; materialTermAttributionEditingPersonRefname,n,y,authority; refname,person/local; person/shared; authority refname
