profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","","",acquisition,objectPurchasePriceValue
core_9-0-0,Acquisition,Original object purchase price currency,Acquisition Information,Price Information > Original object purchase price,string,n,n,n/a,vocabulary,currency,"",acquisition,originalObjectPurchasePriceCurrency
core_9-0-0,Acquisition,Original object purchase price value,Acquisition Information,Price Information > Original object purchase price,float,n,n,n/a,"","","",acquisition,originalObjectPurchasePriceValue
core_9-0-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionReason
core_9-0-0,Acquisition,Approval,Acquisition Information,"",string,n,n,y,vocabulary,deaccessionapprovalgroup,"",acquisition,approvalGroup
core_9-0-0,Acquisition,Approval individual,Acquisition Information,"",string,n,n,y,authority,person/local,"",acquisition,approvalIndividual
core_9-0-0,Acquisition,Approval status,Acquisition Information,"",string,n,n,y,vocabulary,deaccessionapprovalstatus,"",acquisition,approvalStatus
core_9-0-0,Acquisition,Approval status date,Acquisition Information,"",date,n,n,y,"","","",acquisition,approvalDate
core_9-0-0,Acquisition,Approval note,Acquisition Information,"",string,n,n,y,"","","",acquisition,approvalNote
core_9-0-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionNote
core_9-0-0,Acquisition,Provisos,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionProvisos
core_9-0-0,Acquisition,Funding currency,Acquisition Information,"",string,n,n,y,vocabulary,currency,"",acquisition,acquisitionFundingCurrency
core_9-0-0,Acquisition,Funding value,Acquisition Information,"",float,n,n,y,"","","",acquisition,acquisitionFundingValue
core_9-0-0,Acquisition,Funding source,Acquisition Information,"",string,n,n,y,authority,person/local; organization/local,"",acquisition,acquisitionFundingSource
core_9-0-0,Acquisition,Funding source provisos,Acquisition Information,"",string,n,n,y,"","","",acquisition,acquisitionFundingSourceProvisos
core_9-0-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,creditLine
core_9-0-0,Acquisition,Field collection event name,Object Collection Information,"",string,n,y,n,"","","",acquisition,fieldCollectionEventName
core_9-0-0,Citation,Term display name,Citation Information,"",string,y,n,y,"","","",citation,termDisplayName
core_9-0-0,Citation,Term status,Citation Information,"",string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
core_9-0-0,Citation,Term type,Citation Information,"",string,n,n,y,vocabulary,citationtermtype,"",citation,termType
core_9-0-0,Citation,Term flag,Citation Information,"",string,n,n,y,vocabulary,citationtermflag,"",citation,termFlag
core_9-0-0,Citation,Term language,Citation Information,"",string,n,n,y,vocabulary,languages,"",citation,termLanguage
core_9-0-0,Citation,Term preferred for lang,Citation Information,"",boolean,n,n,y,"","","",citation,termPrefForLang
