profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
core_9-0-0,Chronology,chronology,Associated Authorities,"",Associated place citation,assocPlaceCitation,ns2:chronologies_common.assocPlaceCitation,assocPlaceCitationCitationLocal; assocPlaceCitationCitationWorldcat; assocPlaceCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Chronology,chronology,Associated Authorities,"",Associated event/era,assocChronology,ns2:chronologies_common.assocChronology,assocChronologyChronologyEra; assocChronologyChronologyEvent; assocChronologyRefname,n,y,authority; refname,chronology/era; chronology/event; authority refname
core_9-0-0,Chronology,chronology,Associated Authorities,"",Associated event/era citation,assocChronologyCitation,ns2:chronologies_common.assocChronologyCitation,assocChronologyCitationCitationLocal; assocChronologyCitationCitationWorldcat; assocChronologyCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Object,collectionobject,Object Identification Information,"",Object count counted by,objectCountCountedBy,ns2:collectionobjects_common.objectCountCountedBy,objectCountCountedByPersonLocal; objectCountCountedByPersonUlan; objectCountCountedByRefname,n,y,authority; refname,person/local; person/ulan; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,"",Measured by,measuredBy,ns2:collectionobjects_common.measuredBy,measuredByPersonLocal; measuredByOrganizationLocal; measuredByRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,Content,Content concept,contentConcept,ns2:collectionobjects_common.contentConcept,contentConceptConceptAssociated; contentConceptConceptMaterial; contentConceptRefname,y,n,authority; refname,concept/associated; concept/material; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,Content,Content person,contentPerson,ns2:collectionobjects_common.contentPerson,contentPersonPersonLocal; contentPersonPersonUlan; contentPersonRefname,y,n,authority; refname,person/local; person/ulan; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,Content,Content organization,contentOrganization,ns2:collectionobjects_common.contentOrganization,contentOrganizationOrganizationLocal; contentOrganizationOrganizationUlan; contentOrganizationRefname,y,n,authority; refname,organization/local; organization/ulan; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,Content,Content controlled event or period/era,contentEvent,ns2:collectionobjects_common.contentEvent,contentEventChronologyEvent; contentEventChronologyEra; contentEventRefname,y,n,authority; refname,chronology/event; chronology/era; authority refname
core_9-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription inscriber,inscriptionContentInscriber,ns2:collectionobjects_common.inscriptionContentInscriber,inscriptionContentInscriberPersonLocal; inscriptionContentInscriberOrganizationLocal; inscriptionContentInscriberRefname,n,y,authority; refname,person/local; organization/local; authority refname
