profile,ui_config,display_name,short_identifier,workflow_state,updated,csid,uri,refname,used_by
anthro,anthro_8-0-0,Resource ID Type,resourceidtype,project,2021-11-18T02:22:02.821Z,262e299e-f166-4b70-99ca,/vocabularies/262e299e-f166-4b70-99ca,urn:cspace:anthro.collectionspace.org:vocabularies:name(resourceidtype)'Resource ID Type',CITATION: Citation Information > Resource identifier type
anthro,anthro_8-0-0,Rights In Restriction,rightsinrestriction,project,2022-12-02T21:32:16.185Z,8b43ecdf-1f2e-49fd-9f13,/vocabularies/8b43ecdf-1f2e-49fd-9f13,urn:cspace:anthro.collectionspace.org:vocabularies:name(rightsinrestriction)'Rights In Restriction',COLLECTIONOBJECT: Rights In Management Information > Right in restriction
anthro,anthro_8-0-0,Rights In Type,rightsin,project,2022-12-02T21:32:15.903Z,ec8fddcf-89f3-4fba-afce,/vocabularies/ec8fddcf-89f3-4fba-afce,urn:cspace:anthro.collectionspace.org:vocabularies:name(rightsin)'Rights In Type',COLLECTIONOBJECT: Rights In Management Information > Right in type
anthro,anthro_8-0-0,Rights Type,rightstype,project,2022-12-02T21:32:13.256Z,c9fd6554-d47b-4f54-b217,/vocabularies/c9fd6554-d47b-4f54-b217,urn:cspace:anthro.collectionspace.org:vocabularies:name(rightstype)'Rights Type',COLLECTIONOBJECT: Rights Management Information > Right type
anthro,anthro_8-0-0,Security Requirements,securityrequirements,project,2022-12-02T21:32:03.771Z,9f75342d-4794-434d-99e2,/vocabularies/9f75342d-4794-434d-99e2,urn:cspace:anthro.collectionspace.org:vocabularies:name(securityrequirements)'Security Requirements',not used
anthro,anthro_8-0-0,Sensorial Properties,sensorialproperties,project,2021-11-18T02:22:32.024Z,1e268137-9d7a-43f2-b558,/vocabularies/1e268137-9d7a-43f2-b558,urn:cspace:anthro.collectionspace.org:vocabularies:name(sensorialproperties)'Sensorial Properties',not used
anthro,anthro_8-0-0,Significance Assigned By,significanceassignedby,project,2022-12-02T21:31:46.178Z,5b69426b-feff-408c-b1ba,/vocabularies/5b69426b-feff-408c-b1ba,urn:cspace:anthro.collectionspace.org:vocabularies:name(significanceassignedby)'Significance Assigned By',not used
anthro,anthro_8-0-0,Smart Material Properties,smartmaterialproperties,project,2021-11-18T02:22:33.417Z,a93d79f4-1abe-4c12-a8af,/vocabularies/a93d79f4-1abe-4c12-a8af,urn:cspace:anthro.collectionspace.org:vocabularies:name(smartmaterialproperties)'Smart Material Properties',not used
anthro,anthro_8-0-0,Software Libraries,softwarelibraries,project,2022-12-02T21:31:52.039Z,1366e123-0086-4128-a095,/vocabularies/1366e123-0086-4128-a095,urn:cspace:anthro.collectionspace.org:vocabularies:name(softwarelibraries)'Software Libraries',not used
anthro,anthro_8-0-0,Software/Web Attributes,softwareattributes,project,2022-12-02T21:32:04.300Z,09d26307-0d05-49bf-b0f8,/vocabularies/09d26307-0d05-49bf-b0f8,urn:cspace:anthro.collectionspace.org:vocabularies:name(softwareattributes)'Software/Web Attributes',not used
anthro,anthro_8-0-0,Software/Web Attribute Units,softwareattributeunits,project,2022-12-02T21:32:04.624Z,e1bf5e92-251d-4f21-8da0,/vocabularies/e1bf5e92-251d-4f21-8da0,urn:cspace:anthro.collectionspace.org:vocabularies:name(softwareattributeunits)'Software/Web Attribute Units',not used
anthro,anthro_8-0-0,Standard Currency,currency,project,2021-11-18T02:21:49.356Z,a1917c54-d2d9-4219-a0c9,/vocabularies/a1917c54-d2d9-4219-a0c9,urn:cspace:anthro.collectionspace.org:vocabularies:name(currency)'Standard Currency',ACQUISITION: Acquisition Information > Price Information > Group purchase price > Group purchase price currency; ACQUISITION: Acquisition Information > Price Information > Object offer price > Object offer price currency; ACQUISITION: Acquisition Information > Price Information > Object purchaser offer price > Object purchaser offer price currency; ACQUISITION: Acquisition Information > Price Information > Object purchase price > Object purchase price currency; ACQUISITION: Acquisition Information > Price Information > Original object purchase price > Original object purchase price currency; ACQUISITION: Acquisition Information > Funding currency; COLLECTIONOBJECT: Object History and Association Information > Previous ownership exchange price currency; INSURANCE: Insurance and Indemnity Information > Insurance/indemnity price > Insurance/indemnity price currency; INSURANCE: Insurance and Indemnity Information > Minimum liability price > Minimum liability price currency; INSURANCE: Insurance and Indemnity Information > Quote currency; OBJECTEXIT: Deaccession and Disposal Information > Disposal > Disposal currency; OBJECTEXIT: Deaccession and Disposal Information > Group disposal > Group disposal currency; TRANSPORT: Cost Information > Final shipping cost > Final shipping cost currency; TRANSPORT: Cost Information > Declared value for customs > Declared value for customs currency; TRANSPORT: Cost Information > Customs fee > Customs fee currency; TRANSPORT: Cost Information > Additional cost currency; TRANSPORT: Cost Information > Shipping quote currency; UOC: Use of Collections Information > Fee currency; VALUATION: Object Valuation Information > Amount currency
anthro,anthro_8-0-0,Standardized Right Statement,standardizedrightstatement,project,2022-12-02T21:32:14.366Z,611760a3-2358-4976-bd70,/vocabularies/611760a3-2358-4976-bd70,urn:cspace:anthro.collectionspace.org:vocabularies:name(standardizedrightstatement)'Standardized Right Statement',COLLECTIONOBJECT: Rights Management Information > Standardized right statement
anthro,anthro_8-0-0,Supplied Ethnicity,suppliedethnicity,project,2022-12-02T21:32:11.728Z,7662ea3b-4e28-432e-abf2,/vocabularies/7662ea3b-4e28-432e-abf2,urn:cspace:anthro.collectionspace.org:vocabularies:name(suppliedethnicity)'Supplied Ethnicity',PERSON: Maker-Supplied Identity Information > Ethnicity supplied
anthro,anthro_8-0-0,Supplied Gender,suppliedgender,project,2022-12-02T21:32:08.473Z,9b16a198-7430-4d95-b1d9,/vocabularies/9b16a198-7430-4d95-b1d9,urn:cspace:anthro.collectionspace.org:vocabularies:name(suppliedgender)'Supplied Gender',PERSON: Maker-Supplied Identity Information > Gender supplied
anthro,anthro_8-0-0,Supplied Pronoun,suppliedpronoun,project,2022-12-02T21:32:10.250Z,e7f9b01c-1d92-4abb-89dd,/vocabularies/e7f9b01c-1d92-4abb-89dd,urn:cspace:anthro.collectionspace.org:vocabularies:name(suppliedpronoun)'Supplied Pronoun',PERSON: Maker-Supplied Identity Information > Pronoun supplied
anthro,anthro_8-0-0,Supplied Race,suppliedrace,project,2022-12-02T21:32:10.907Z,0c2a587e-1653-4c9e-ab78,/vocabularies/0c2a587e-1653-4c9e-ab78,urn:cspace:anthro.collectionspace.org:vocabularies:name(suppliedrace)'Supplied Race',PERSON: Maker-Supplied Identity Information > Race supplied
anthro,anthro_8-0-0,Supplied Sexuality,suppliedsexuality,project,2022-12-02T21:32:12.356Z,7113124d-4910-4386-8ee2,/vocabularies/7113124d-4910-4386-8ee2,urn:cspace:anthro.collectionspace.org:vocabularies:name(suppliedsexuality)'Supplied Sexuality',PERSON: Maker-Supplied Identity Information > Sexuality supplied
anthro,anthro_8-0-0,Surfacing Processes,surfacingprocesses,project,2021-11-18T02:22:46.657Z,83585bf8-9ac4-4f41-9372,/vocabularies/83585bf8-9ac4-4f41-9372,urn:cspace:anthro.collectionspace.org:vocabularies:name(surfacingprocesses)'Surfacing Processes',not used
anthro,anthro_8-0-0,Taxonomic Identification Kind,taxonkind,project,2021-11-18T02:14:12.648Z,6b3aef94-0318-42e3-9f1d,/vocabularies/6b3aef94-0318-42e3-9f1d,urn:cspace:anthro.collectionspace.org:vocabularies:name(taxonkind)'Taxonomic Identification Kind',COLLECTIONOBJECT: Object Description Information > Biological Information > Taxonomic identification kind
anthro,anthro_8-0-0,Taxonomic Identification Qualifier,taxonqualifier,project,2021-11-18T02:14:10.626Z,f339945e-4b48-4a82-ab8d,/vocabularies/f339945e-4b48-4a82-ab8d,urn:cspace:anthro.collectionspace.org:vocabularies:name(taxonqualifier)'Taxonomic Identification Qualifier',COLLECTIONOBJECT: Object Description Information > Biological Information > Taxonomic identification > Taxonomic identification qualifier
anthro,anthro_8-0-0,Taxon Term Flags,taxontermflag,project,2021-11-18T02:22:15.671Z,d5cd9a66-6090-4d43-9b68,/vocabularies/d5cd9a66-6090-4d43-9b68,urn:cspace:anthro.collectionspace.org:vocabularies:name(taxontermflag)'Taxon Term Flags',TAXON: Taxonomic Name Information > Term flag
anthro,anthro_8-0-0,Taxon Types,taxontype,project,2021-11-18T02:22:12.993Z,b2e10728-8590-4b5d-91c5,/vocabularies/b2e10728-8590-4b5d-91c5,urn:cspace:anthro.collectionspace.org:vocabularies:name(taxontype)'Taxon Types',not used
anthro,anthro_8-0-0,Technical Setup Type,techsetuptype,project,2022-12-02T21:32:02.058Z,c6336df3-ff2c-489e-a466,/vocabularies/c6336df3-ff2c-489e-a466,urn:cspace:anthro.collectionspace.org:vocabularies:name(techsetuptype)'Technical Setup Type',not used
anthro,anthro_8-0-0,Transport Additional Cost Type,transportadditionalcosttype,project,2021-11-18T02:22:54.204Z,09f48699-801c-4d01-8d8f,/vocabularies/09f48699-801c-4d01-8d8f,urn:cspace:anthro.collectionspace.org:vocabularies:name(transportadditionalcosttype)'Transport Additional Cost Type',TRANSPORT: Cost Information > Additional cost type
anthro,anthro_8-0-0,Transport Cost Responsbile Party,transportresponsibleparty,project,2021-11-18T02:22:53.899Z,98e72b7e-d0bb-4225-9094,/vocabularies/98e72b7e-d0bb-4225-9094,urn:cspace:anthro.collectionspace.org:vocabularies:name(transportresponsibleparty)'Transport Cost Responsbile Party',TRANSPORT: Cost Information > Transport cost responsible party; TRANSPORT: Cost Information > Insurance/indemnity cost responsible party
anthro,anthro_8-0-0,Transport Cost Type,transportcosttype,project,2021-11-18T02:22:53.586Z,d9aeb32c-8037-4e39-86dc,/vocabularies/d9aeb32c-8037-4e39-86dc,urn:cspace:anthro.collectionspace.org:vocabularies:name(transportcosttype)'Transport Cost Type',TRANSPORT: Cost Information > Transport cost type
anthro,anthro_8-0-0,Treatment Purpose,treatmentpurpose,project,2021-11-18T02:22:09.219Z,5fc8ae34-454a-4bfc-b5da,/vocabularies/5fc8ae34-454a-4bfc-b5da,urn:cspace:anthro.collectionspace.org:vocabularies:name(treatmentpurpose)'Treatment Purpose',CONSERVATION: Conservation Treatment Information > Treatment purpose
anthro,anthro_8-0-0,Trepanation Certainty,trepanationcertainty,project,2021-11-18T02:13:59.914Z,9b2cdfcc-26a0-4f14-a0dd,/vocabularies/9b2cdfcc-26a0-4f14-a0dd,urn:cspace:anthro.collectionspace.org:vocabularies:name(trepanationcertainty)'Trepanation Certainty',OSTEOLOGY: Cultural Modification Information > Trepanation Information > Trepanation certainty
anthro,anthro_8-0-0,Trepanation Healing,trepanationhealing,project,2021-11-18T02:13:59.603Z,d76c8d56-c56b-4aa2-a46f,/vocabularies/d76c8d56-c56b-4aa2-a46f,urn:cspace:anthro.collectionspace.org:vocabularies:name(trepanationhealing)'Trepanation Healing',OSTEOLOGY: Cultural Modification Information > Trepanation Information > Trepanation healing
anthro,anthro_8-0-0,Trepanation Technique,trepanationtechnique,project,2021-11-18T02:13:59.243Z,1bf3bf25-0280-42d7-836a,/vocabularies/1bf3bf25-0280-42d7-836a,urn:cspace:anthro.collectionspace.org:vocabularies:name(trepanationtechnique)'Trepanation Technique',OSTEOLOGY: Cultural Modification Information > Trepanation Information > Trepanation technique
anthro,anthro_8-0-0,Type Specimen Kind,typespecimenkind,project,2021-11-18T02:14:13.716Z,080fc7ed-f509-4cdb-bf23,/vocabularies/080fc7ed-f509-4cdb-bf23,urn:cspace:anthro.collectionspace.org:vocabularies:name(typespecimenkind)'Type Specimen Kind',not used
