profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source,record_type_machine_name,field_machine_name
core_9-0-0,Iteration Report,Installed equipment approval entity,Iteration Details,Installed equipment,n,y,authority: person/local; authority: organization/local,iterationreport,installedEquipmentApprovalEntity
core_9-0-0,Iteration Report,Technical setup approval entity,Iteration Details,Technical setup,n,y,authority: person/local; authority: organization/local,iterationreport,technicalSetupApprovalEntity
core_9-0-0,Iteration Report,Iteration-specific modification approval entity,Iteration Details,Iteration-specific modification,n,y,authority: person/local; authority: organization/local,iterationreport,modificationApprovalEntity
core_9-0-0,Iteration Report,Further installation detail approval entity,Iteration Details,Further installation detail,n,y,authority: person/local; authority: organization/local,iterationreport,installationApprovalEntity
core_9-0-0,Iteration Report,Security approval entity,Iteration Details,Security,n,y,authority: person/local; authority: organization/local,iterationreport,securityApprovalEntity
core_9-0-0,Loan In,Lender name,Loan In Information,Lender,n,y,authority: person/local; authority: organization/local,loanin,lender
core_9-0-0,Storage Location,Term source name,Storage Location Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,location,termSource
core_9-0-0,Media Handling,Measured by,Media Handling Information,Dimensions > Measurement,n,y,authority: person/local; authority: organization/local,media,measuredBy
core_9-0-0,Organization,Term source name,Organization Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,organization,termSource
core_9-0-0,Person,Term source name,Person Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,person,termSource
core_9-0-0,Place,Term source name,Place Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,place,termSource
core_9-0-0,Place,Owner,Place Information,Ownership,n,y,authority: person/local; authority: organization/local,place,owner
core_9-0-0,Place,Address municipality,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressMunicipality
core_9-0-0,Place,Address state/province,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressStateOrProvince
core_9-0-0,Place,Address country,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressCountry
core_9-0-0,Place,Georeferenced by,Georeference Information,Georeference,n,y,authority: person/local; authority: organization/local,place,geoReferencedBy
core_9-0-0,Transport,Courier name,Transport Information,Courier,n,y,authority: person/local; authority: organization/local,transport,courier
core_9-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority: person/local; authority: organization/local,transport,shippingQuoteProvider
core_9-0-0,Use of Collections,User name,Use of Collections Information,User,n,y,authority: person/local; authority: organization/local,uoc,user
core_9-0-0,Use of Collections,Authorized by,Use of Collections Information,Authorization,n,y,authority: person/local; authority: organization/local,uoc,authorizedBy
core_9-0-0,Use of Collections,Staff name,Use of Collections Information,Staff,n,y,authority: person/local; authority: organization/local,uoc,staffName
core_9-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority: organization/local; authority: place/local; authority: location/local,uoc,location
core_9-0-0,Work,Term source name,Work Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,work,termSource
core_9-0-0,Work,Creator name,Work Information,Creator,n,y,authority: person/local; authority: organization/local,work,creator
core_9-0-0,Work,Publisher name,Work Information,Publisher,n,y,authority: person/local; authority: organization/local,work,publisher
core_9-0-0,Work,Address municipality,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressMunicipality
core_9-0-0,Work,Address state/province,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressStateOrProvince
core_9-0-0,Work,Address country,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressCountry
