fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,dumbfieldname,new?
core acquisition ns2:acquisitions_common groupPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,"",Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","","",acquisition groupPurchasePriceValue,""
core acquisition ns2:acquisitions_common objectOfferPriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,"",Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectOfferPriceCurrency,""
core acquisition ns2:acquisitions_common objectOfferPriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Price Information,"",Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","","",acquisition objectOfferPriceValue,""
core acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Price Information,"",Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectPurchaseOfferPriceCurrency,""
core acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Price Information,"",Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","","",acquisition objectPurchaseOfferPriceValue,""
core acquisition ns2:acquisitions_common objectPurchasePriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,"",Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectPurchasePriceCurrency,""
core acquisition ns2:acquisitions_common objectPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,"",Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","","",acquisition objectPurchasePriceValue,""
core acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,"",Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition originalObjectPurchasePriceCurrency,""
core acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,"",Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","","",acquisition originalObjectPurchasePriceValue,""
core acquisition ns2:acquisitions_common acquisitionReason,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","","",acquisition acquisitionReason,""
core acquisition ns2:acquisitions_common approvalGroup,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,"",Approval group,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary,deaccessionapprovalgroup,"",acquisition approvalGroup,""
