fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,dumbfieldname,new?
publicart valuation ns2:valuationcontrols_publicart insurancePolicyNumber,publicart,valuation,ns2:valuationcontrols_publicart,ns2:valuationcontrols_publicart,valuationcontrols_publicart.insurancePolicyNumber,"","",Insurance policy number,insuranceGroupList > insuranceGroup,insurancePolicyNumber,string,n,n,y,"","","",valuation insurancePolicyNumber,""
publicart valuation ns2:valuationcontrols_publicart insuranceRenewalDate,publicart,valuation,ns2:valuationcontrols_publicart,ns2:valuationcontrols_publicart,valuationcontrols_publicart.insuranceRenewalDate,"","",Insurance renewal date,insuranceGroupList > insuranceGroup,insuranceRenewalDate,date,n,n,y,"","","",valuation insuranceRenewalDate,""
publicart work ns2:works_common termDisplayName,publicart,work,ns2:works_common,ns2:works_common,works_common.termDisplayName,Work Information,"",Term display name,workTermGroupList > workTermGroup,termDisplayName,string,y,n,y,"","","",work termDisplayName,""
publicart work ns2:works_common termName,publicart,work,ns2:works_common,ns2:works_common,works_common.termName,Work Information,"",Term name,workTermGroupList > workTermGroup,termName,string,n,n,y,"","","",work termName,""
publicart work ns2:works_common termQualifier,publicart,work,ns2:works_common,ns2:works_common,works_common.termQualifier,Work Information,"",Term qualifier,workTermGroupList > workTermGroup,termQualifier,string,n,n,y,"","","",work termQualifier,""
publicart work ns2:works_common termStatus,publicart,work,ns2:works_common,ns2:works_common,works_common.termStatus,Work Information,"",Term status,workTermGroupList > workTermGroup,termStatus,string,n,n,y,option list,workTermStatuses,"complete, inprogress, quickaddedneedsattention",work termStatus,""
publicart work ns2:works_common termType,publicart,work,ns2:works_common,ns2:works_common,works_common.termType,Work Information,"",Term type,workTermGroupList > workTermGroup,termType,string,n,n,y,"","","",work termType,""
publicart work ns2:works_common termFlag,publicart,work,ns2:works_common,ns2:works_common,works_common.termFlag,Work Information,"",Term flag,workTermGroupList > workTermGroup,termFlag,string,n,n,y,vocabulary,worktermflag,"",work termFlag,""
publicart work ns2:works_common termLanguage,publicart,work,ns2:works_common,ns2:works_common,works_common.termLanguage,Work Information,"",Term language,workTermGroupList > workTermGroup,termLanguage,string,n,n,y,vocabulary,languages,"",work termLanguage,""
publicart work ns2:works_common termPrefForLang,publicart,work,ns2:works_common,ns2:works_common,works_common.termPrefForLang,Work Information,"",Term preferred for lang,workTermGroupList > workTermGroup,termPrefForLang,boolean,n,n,y,"","","",work termPrefForLang,""
publicart work ns2:works_common termSource,publicart,work,ns2:works_common,ns2:works_common,works_common.termSource,Work Information,"",Term source name,workTermGroupList > workTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,"",work termSource,""
publicart work ns2:works_common termSourceDetail,publicart,work,ns2:works_common,ns2:works_common,works_common.termSourceDetail,Work Information,"",Term source detail,workTermGroupList > workTermGroup,termSourceDetail,string,n,n,y,"","","",work termSourceDetail,""
publicart work ns2:works_common termSourceID,publicart,work,ns2:works_common,ns2:works_common,works_common.termSourceID,Work Information,"",Term source ID,workTermGroupList > workTermGroup,termSourceID,string,n,n,y,"","","",work termSourceID,""
publicart work ns2:works_common termSourceNote,publicart,work,ns2:works_common,ns2:works_common,works_common.termSourceNote,Work Information,"",Term source note,workTermGroupList > workTermGroup,termSourceNote,string,n,n,y,"","","",work termSourceNote,""
publicart work ns2:works_common workType,publicart,work,ns2:works_common,ns2:works_common,works_common.workType,Work Information,"",Work type,"",workType,string,n,n,n/a,vocabulary,worktype,"",work workType,""
publicart work ns2:works_common workDateGroup,publicart,work,ns2:works_common,ns2:works_common,works_common.workDateGroup,Work Information,"",Work date,workDateGroupList,workDateGroup,structured date group,n,y,n,"","","",work workDateGroup,""
publicart work ns2:works_common creator,publicart,work,ns2:works_common,ns2:works_common,works_common.creator,Work Information,"",Creator name,creatorGroupList > creatorGroup,creator,string,n,n,y,authority,person/local; person/shared; organization/local; organization/shared,"",work creator,""
publicart work ns2:works_common creatorType,publicart,work,ns2:works_common,ns2:works_common,works_common.creatorType,Work Information,"",Creator type,creatorGroupList > creatorGroup,creatorType,string,n,n,y,vocabulary,workcreatortype,"",work creatorType,""
publicart work ext.address addressPlace1,publicart,work,ns2:works_common,ext.address,ext.address.addressPlace1,Work Information,"",Address line 1,addrGroupList > addrGroup,addressPlace1,string,n,n,y,"","","",work addressPlace1,""
publicart work ext.address addressPlace2,publicart,work,ns2:works_common,ext.address,ext.address.addressPlace2,Work Information,"",Address line 2,addrGroupList > addrGroup,addressPlace2,string,n,n,y,"","","",work addressPlace2,""
publicart work ext.address addressMunicipality,publicart,work,ns2:works_common,ext.address,ext.address.addressMunicipality,Work Information,"",Address municipality,addrGroupList > addrGroup,addressMunicipality,string,n,n,y,authority,place/local; place/shared,"",work addressMunicipality,""
publicart work ext.address addressCounty,publicart,work,ns2:works_common,ext.address,ext.address.addressCounty,Work Information,"",Address county,addrGroupList > addrGroup,addressCounty,string,n,n,y,authority,place/local; place/shared,"",work addressCounty,""
publicart work ext.address addressStateOrProvince,publicart,work,ns2:works_common,ext.address,ext.address.addressStateOrProvince,Work Information,"",Address state/province,addrGroupList > addrGroup,addressStateOrProvince,string,n,n,y,authority,place/local; place/shared,"",work addressStateOrProvince,""
publicart work ext.address addressPostCode,publicart,work,ns2:works_common,ext.address,ext.address.addressPostCode,Work Information,"",Address postal code,addrGroupList > addrGroup,addressPostCode,string,n,n,y,"","","",work addressPostCode,""
publicart work ext.address addressCountry,publicart,work,ns2:works_common,ext.address,ext.address.addressCountry,Work Information,"",Address country,addrGroupList > addrGroup,addressCountry,string,n,n,y,authority,place/local; place/shared,"",work addressCountry,""
publicart work ext.address addressType,publicart,work,ns2:works_common,ext.address,ext.address.addressType,Work Information,"",Address type,addrGroupList > addrGroup,addressType,string,n,n,y,vocabulary,addresstype,"",work addressType,""
anthro acquisition ns2:acquisitions_common acquisitionReferenceNumber,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"","","",acquisition acquisitionReferenceNumber,""
anthro acquisition ns2:acquisitions_common accessionDateGroup,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.accessionDateGroup,Acquisition Information,"",Accession date,"",accessionDateGroup,structured date group,n,n,n/a,"","","",acquisition accessionDateGroup,""
anthro acquisition ns2:acquisitions_common acquisitionAuthorizer,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizer,Acquisition Information,"",Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority,person/local,"",acquisition acquisitionAuthorizer,""
anthro acquisition ns2:acquisitions_common acquisitionAuthorizerDate,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizerDate,Acquisition Information,"",Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"","","",acquisition acquisitionAuthorizerDate,""
anthro acquisition ns2:acquisitions_common acquisitionDateGroup,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionDateGroup,Acquisition Information,"",Acquisition date,acquisitionDateGroupList,acquisitionDateGroup,structured date group,n,y,n,"","","",acquisition acquisitionDateGroup,""
anthro acquisition ns2:acquisitions_common acquisitionMethod,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition acquisitionMethod,""
anthro acquisition ns2:acquisitions_common acquisitionSource,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority,person/local; organization/local,"",acquisition acquisitionSource,""
anthro acquisition ns2:acquisitions_common owner,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.owner,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority,person/local; organization/local,"",acquisition owner,""
anthro acquisition ns2:acquisitions_common transferOfTitleNumber,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.transferOfTitleNumber,Acquisition Information,"",Transfer of title number,"",transferOfTitleNumber,string,n,n,n/a,"","","",acquisition transferOfTitleNumber,""
anthro acquisition ns2:acquisitions_common groupPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Price Information,"",Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition groupPurchasePriceCurrency,""
anthro acquisition ns2:acquisitions_common groupPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Price Information,"",Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","","",acquisition groupPurchasePriceValue,""
anthro acquisition ns2:acquisitions_common objectOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Price Information,"",Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectOfferPriceCurrency,""
anthro acquisition ns2:acquisitions_common objectOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Price Information,"",Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","","",acquisition objectOfferPriceValue,""
anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Price Information,"",Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectPurchaseOfferPriceCurrency,""
anthro acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Price Information,"",Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","","",acquisition objectPurchaseOfferPriceValue,""
anthro acquisition ns2:acquisitions_common objectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Price Information,"",Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition objectPurchasePriceCurrency,""
anthro acquisition ns2:acquisitions_common objectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Price Information,"",Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","","",acquisition objectPurchasePriceValue,""
anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Price Information,"",Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary,currency,"",acquisition originalObjectPurchasePriceCurrency,""
anthro acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Price Information,"",Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","","",acquisition originalObjectPurchasePriceValue,""
anthro acquisition ns2:acquisitions_common acquisitionReason,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","","",acquisition acquisitionReason,""
anthro acquisition ns2:acquisitions_common approvalGroup,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,"",Approval group,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary,deaccessionapprovalgroup,"",acquisition approvalGroup,""
anthro acquisition ns2:acquisitions_common approvalIndividual,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,"",Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority,person/local,"",acquisition approvalIndividual,""
anthro acquisition ns2:acquisitions_common approvalStatus,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,"",Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary,deaccessionapprovalstatus,"",acquisition approvalStatus,""
anthro acquisition ns2:acquisitions_common approvalDate,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalDate,Acquisition Information,"",Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"","","",acquisition approvalDate,""
anthro acquisition ns2:acquisitions_common approvalNote,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalNote,Acquisition Information,"",Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"","","",acquisition approvalNote,""
anthro acquisition ns2:acquisitions_common acquisitionNote,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"","","",acquisition acquisitionNote,""
anthro acquisition ns2:acquisitions_common acquisitionProvisos,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionProvisos,Acquisition Information,"",Provisos,"",acquisitionProvisos,string,n,n,n/a,"","","",acquisition acquisitionProvisos,""
anthro acquisition ns2:acquisitions_common acquisitionFundingCurrency,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingCurrency,Acquisition Information,"",Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary,currency,"",acquisition acquisitionFundingCurrency,""
anthro acquisition ns2:acquisitions_common acquisitionFundingValue,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingValue,Acquisition Information,"",Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"","","",acquisition acquisitionFundingValue,""
anthro acquisition ns2:acquisitions_common acquisitionFundingSource,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSource,Acquisition Information,"",Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority,person/local; organization/local,"",acquisition acquisitionFundingSource,""
anthro acquisition ns2:acquisitions_common acquisitionFundingSourceProvisos,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSourceProvisos,Acquisition Information,"",Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"","","",acquisition acquisitionFundingSourceProvisos,""
anthro acquisition ns2:acquisitions_common creditLine,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"","","",acquisition creditLine,""
anthro acquisition ns2:acquisitions_common fieldCollectionEventName,anthro,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.fieldCollectionEventName,Object Collection Information,"",Field collection event name,fieldCollectionEventNames,fieldCollectionEventName,string,n,y,n,"","","",acquisition fieldCollectionEventName,""
anthro citation ns2:citations_common termDisplayName,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,"",Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"","","",citation termDisplayName,""
anthro citation ns2:citations_common termStatus,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,"",Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review",citation termStatus,""
anthro citation ns2:citations_common termType,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,"",Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary,citationtermtype,"",citation termType,""
anthro citation ns2:citations_common termFlag,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,"",Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary,citationtermflag,"",citation termFlag,""
anthro citation ns2:citations_common termLanguage,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,"",Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary,languages,"",citation termLanguage,""
anthro citation ns2:citations_common termPrefForLang,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,"",Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"","","",citation termPrefForLang,""
anthro citation ns2:citations_common termFullCitation,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,"",Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"","","",citation termFullCitation,""
anthro citation ns2:citations_common termTitle,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,"",Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"","","",citation termTitle,""
anthro citation ns2:citations_common termSubTitle,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,"",Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"","","",citation termSubTitle,""
anthro citation ns2:citations_common termSectionTitle,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,"",Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"","","",citation termSectionTitle,""
anthro citation ns2:citations_common termVolume,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,"",Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"","","",citation termVolume,""
anthro citation ns2:citations_common termIssue,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termIssue,Citation Information,"",Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"","","",citation termIssue,""
anthro citation ns2:citations_common termSource,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,"",Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,"",citation termSource,""
anthro citation ns2:citations_common termSourceDetail,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,"",Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"","","",citation termSourceDetail,""
anthro citation ns2:citations_common termSourceID,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,"",Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"","","",citation termSourceID,""
anthro citation ns2:citations_common termSourceNote,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,"",Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"","","",citation termSourceNote,""
anthro citation ns2:citations_common publisher,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,"",Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority,organization/local,"",citation publisher,""
anthro citation ns2:citations_common publicationPlace,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,"",Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority,place/local; place/tgn,"",citation publicationPlace,""
anthro citation ns2:citations_common publicationDate,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,"",Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"","","",citation publicationDate,""
anthro citation ns2:citations_common edition,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,"",Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"","","",citation edition,""
anthro citation ns2:citations_common pages,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,"",Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"","","",citation pages,""
anthro citation ns2:citations_common agent,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,"",Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority,person/local; person/ulan; organization/local,"",citation agent,""
anthro citation ns2:citations_common role,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,"",Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary,agentinfotype,"",citation role,""
anthro citation ns2:citations_common note,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,"",Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"","","",citation note,""
anthro citation ns2:citations_common citationNote,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"","","",citation citationNote,""
anthro citation ns2:citations_common resourceIdent,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,"",Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"","","",citation resourceIdent,""
anthro citation ns2:citations_common type,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,"",Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary,resourceidtype,"",citation type,""
anthro citation ns2:citations_common captureDate,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,"",Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"","","",citation captureDate,""
anthro citation ns2:citations_common relatedTerm,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,"",Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority,concept/associated; concept/activity; concept/material,"",citation relatedTerm,""
anthro citation ns2:citations_common relationType,anthro,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,"",Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary,relationtypetype,"",citation relationType,""
anthro chronology ns2:chronologies_common termDisplayName,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termDisplayName,Chronology Information,"",Term display name,chronologyTermGroupList > chronologyTermGroup,termDisplayName,string,y,n,y,"","","",chronology termDisplayName,""
anthro chronology ns2:chronologies_common termName,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termName,Chronology Information,"",Term name,chronologyTermGroupList > chronologyTermGroup,termName,string,n,n,y,"","","",chronology termName,""
anthro chronology ns2:chronologies_common termQualifier,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termQualifier,Chronology Information,"",Term qualifier,chronologyTermGroupList > chronologyTermGroup,termQualifier,string,n,n,y,"","","",chronology termQualifier,""
anthro chronology ns2:chronologies_common termStatus,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termStatus,Chronology Information,"",Term status,chronologyTermGroupList > chronologyTermGroup,termStatus,string,n,n,y,vocabulary,chronologytermstatus,"",chronology termStatus,""
anthro chronology ns2:chronologies_common termType,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termType,Chronology Information,"",Term type,chronologyTermGroupList > chronologyTermGroup,termType,string,n,n,y,vocabulary,chronologytermtype,"",chronology termType,""
anthro chronology ns2:chronologies_common termFlag,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termFlag,Chronology Information,"",Term flag,chronologyTermGroupList > chronologyTermGroup,termFlag,string,n,n,y,vocabulary,chronologytermflag,"",chronology termFlag,""
anthro chronology ns2:chronologies_common historicalStatus,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.historicalStatus,Chronology Information,"",Term historical status,chronologyTermGroupList > chronologyTermGroup,historicalStatus,string,n,n,y,vocabulary,chronologyhistoricalstatus,"",chronology historicalStatus,""
anthro chronology ns2:chronologies_common termLanguage,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termLanguage,Chronology Information,"",Term language,chronologyTermGroupList > chronologyTermGroup,termLanguage,string,n,n,y,vocabulary,languages,"",chronology termLanguage,""
anthro chronology ns2:chronologies_common termPrefForLang,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,"",Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"","","",chronology termPrefForLang,""
anthro chronology ns2:chronologies_common termSource,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,"",Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,"",chronology termSource,""
anthro chronology ns2:chronologies_common termSourceDetail,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,"",Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"","","",chronology termSourceDetail,""
anthro chronology ns2:chronologies_common termSourceID,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,"",Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"","","",chronology termSourceID,""
anthro chronology ns2:chronologies_common termSourceNote,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,"",Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"","","",chronology termSourceNote,""
anthro chronology ns2:chronologies_common primaryDateRangeStructuredDateGroup,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.primaryDateRangeStructuredDateGroup,Chronology Information,"",Primary date range,"",primaryDateRangeStructuredDateGroup,structured date group,n,n,n/a,"","","",chronology primaryDateRangeStructuredDateGroup,""
anthro chronology ns2:chronologies_common chronologyType,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary,chronologytypes,"",chronology chronologyType,""
anthro chronology ns2:chronologies_common spatialCoverage,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.spatialCoverage,Chronology Information,"",Spatial coverage,spatialCoverages,spatialCoverage,string,n,y,n,authority,place/local; place/tgn,"",chronology spatialCoverage,""
anthro chronology ns2:chronologies_common chronologyDescription,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"","","",chronology chronologyDescription,""
anthro chronology ns2:chronologies_common chronologyNote,anthro,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyNote,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"","","",chronology chronologyNote,""
