status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
new,core dutyofcare ns2:dutiesofcare_common involvedParty,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedParty,Duty of Care Information,"",Parties involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
old,core dutyofcare ns2:dutiesofcare_common involvedParty,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedParty,Duty of Care Information,"",Party involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
new,core dutyofcare ns2:dutiesofcare_common involvedOnBehalfOf,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedOnBehalfOf,Duty of Care Information,"",Parties involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
old,core dutyofcare ns2:dutiesofcare_common involvedOnBehalfOf,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedOnBehalfOf,Duty of Care Information,"",Party involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
new,core dutyofcare ns2:dutiesofcare_common involvedRole,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedRole,Duty of Care Information,"",Parties involved roles,partiesInvolvedGroupList > partiesInvolvedGroup,involvedRole,string,n,n,y,vocabulary,nagprainvolvedrole,""
old,core dutyofcare ns2:dutiesofcare_common involvedRole,core,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedRole,Duty of Care Information,"",Party involved roles,partiesInvolvedGroupList > partiesInvolvedGroup,involvedRole,string,n,n,y,vocabulary,nagprainvolvedrole,""
new,core summarydocumentation ns2:summarydocumentations_common involvedParty,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedParty,Summary Documentation Information,"",Parties involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
old,core summarydocumentation ns2:summarydocumentations_common involvedParty,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedParty,Summary Documentation Information,"",Party involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
new,core summarydocumentation ns2:summarydocumentations_common involvedOnBehalfOf,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedOnBehalfOf,Summary Documentation Information,"",Parties involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
old,core summarydocumentation ns2:summarydocumentations_common involvedOnBehalfOf,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedOnBehalfOf,Summary Documentation Information,"",Party involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
new,core summarydocumentation ns2:summarydocumentations_common involvedRole,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedRole,Summary Documentation Information,"",Parties involved role,partiesInvolvedGroupList > partiesInvolvedGroup,involvedRole,string,n,n,y,vocabulary,nagprainvolvedrole,""
old,core summarydocumentation ns2:summarydocumentations_common involvedRole,core,summarydocumentation,ns2:summarydocumentations_common,ns2:summarydocumentations_common,summarydocumentations_common.involvedRole,Summary Documentation Information,"",Party involved role,partiesInvolvedGroupList > partiesInvolvedGroup,involvedRole,string,n,n,y,vocabulary,nagprainvolvedrole,""
new,anthro dutyofcare ns2:dutiesofcare_common involvedParty,anthro,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedParty,Duty of Care Information,"",Parties involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
old,anthro dutyofcare ns2:dutiesofcare_common involvedParty,anthro,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedParty,Duty of Care Information,"",Party involved person,partiesInvolvedGroupList > partiesInvolvedGroup,involvedParty,string,n,n,y,authority,person/local,""
new,anthro dutyofcare ns2:dutiesofcare_common involvedOnBehalfOf,anthro,dutyofcare,ns2:dutiesofcare_common,ns2:dutiesofcare_common,dutiesofcare_common.involvedOnBehalfOf,Duty of Care Information,"",Parties involved on behalf of,partiesInvolvedGroupList > partiesInvolvedGroup,involvedOnBehalfOf,string,n,n,y,authority,organization/local,""
