fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_8_3 citation ns2:citations_common termFlag,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,"",Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary,citationtermflag,""
core_8_3 citation ns2:citations_common termLanguage,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,"",Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary,languages,""
core_8_3 citation ns2:citations_common termPrefForLang,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,"",Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"","",""
core_8_3 citation ns2:citations_common termFullCitation,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,"",Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termTitle,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,"",Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termSubTitle,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,"",Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termSectionTitle,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,"",Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termVolume,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,"",Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termIssue,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termIssue,Citation Information,"",Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termSource,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,"",Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,""
core_8_3 citation ns2:citations_common termSourceDetail,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,"",Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termSourceID,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,"",Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common termSourceNote,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,"",Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common publisher,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,"",Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority,organization/local,""
core_8_3 citation ns2:citations_common publicationPlace,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,"",Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority,place/local; place/tgn,""
core_8_3 citation ns2:citations_common publicationDate,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,"",Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"","",""
core_8_3 citation ns2:citations_common edition,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,"",Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common pages,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,"",Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common agent,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,"",Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority,person/local; person/ulan; organization/local,""
core_8_3 citation ns2:citations_common role,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,"",Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary,agentinfotype,""
core_8_3 citation ns2:citations_common note,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,"",Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common citationNote,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"","",""
core_8_3 citation ns2:citations_common resourceIdent,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,"",Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"","",""
core_8_3 citation ns2:citations_common type,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,"",Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary,resourceidtype,""
core_8_3 citation ns2:citations_common captureDate,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,"",Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"","",""
core_8_3 citation ns2:citations_common relatedTerm,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,"",Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority,concept/associated; concept/activity; concept/material,""
core_8_3 citation ns2:citations_common relationType,core_8_3,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,"",Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary,relationtypetype,""
core_8_3 chronology ns2:chronologies_common termDisplayName,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termDisplayName,Chronology Information,"",Term display name,chronologyTermGroupList > chronologyTermGroup,termDisplayName,string,y,n,y,"","",""
core_8_3 chronology ns2:chronologies_common termName,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termName,Chronology Information,"",Term name,chronologyTermGroupList > chronologyTermGroup,termName,string,n,n,y,"","",""
core_8_3 chronology ns2:chronologies_common termQualifier,core_8_3,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termQualifier,Chronology Information,"",Term qualifier,chronologyTermGroupList > chronologyTermGroup,termQualifier,string,n,n,y,"","",""
