fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
core_7-1-0 ns2:collectionobjects_common objectNumber,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNumber,Object Identification Information,"",Identification number,"",objectNumber,string,y,n,n/a,"",""
core_7-1-0 ns2:collectionobjects_common numberOfObjects,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberOfObjects,Object Identification Information,"",Number of objects,"",numberOfObjects,integer,n,n,n/a,"",""
core_7-1-0 ns2:collectionobjects_common numberValue,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberValue,Object Identification Information,Other number,Other number value,otherNumberList > otherNumber,numberValue,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_common numberType,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberType,Object Identification Information,Other number,Other number type,otherNumberList > otherNumber,numberType,string,n,n,y,option list: numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown"
core_7-1-0 ns2:collectionobjects_common responsibleDepartment,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.responsibleDepartment,Object Identification Information,"",Responsible department,responsibleDepartments,responsibleDepartment,string,n,y,n,option list: departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings"
core_7-1-0 ns2:collectionobjects_common collection,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.collection,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection"
core_7-1-0 ns2:collectionobjects_common namedCollection,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.namedCollection,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,""
core_7-1-0 ns2:collectionobjects_common recordStatus,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
core_7-1-0 ns2:collectionobjects_common publishTo,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.publishTo,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
core_7-1-0 ns2:collectionobjects_common inventoryStatus,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inventoryStatus,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
core_7-1-0 ns2:collectionobjects_common briefDescription,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Brief description,briefDescriptions,briefDescription,string,n,y,n,"",""
core_7-1-0 ns2:collectionobjects_common distinguishingFeatures,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distinguishingFeatures,Object Identification Information,"",Distinguishing features,"",distinguishingFeatures,string,n,n,n/a,"",""
core_7-1-0 ns2:collectionobjects_common comment,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"",""
core_7-1-0 ns2:collectionobjects_common computedCurrentLocation,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,""
core_7-1-0 ns2:collectionobjects_annotation annotationType,core_7-1-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,""
core_7-1-0 ns2:collectionobjects_annotation annotationNote,core_7-1-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_annotation annotationDate,core_7-1-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_annotation annotationAuthor,core_7-1-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,""
core_7-1-0 ns2:collectionobjects_common title,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.title,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_common titleLanguage,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleLanguage,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,""
core_7-1-0 ns2:collectionobjects_common titleType,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleType,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, collection, generic, popular, series, trade"
core_7-1-0 ns2:collectionobjects_common titleTranslation,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslation,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_common titleTranslationLanguage,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslationLanguage,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,""
core_7-1-0 ns2:collectionobjects_common objectName,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectName,Object Identification Information,Object name,Object name,objectNameList > objectNameGroup,objectName,string,n,n,y,"",""
core_7-1-0 ns2:collectionobjects_common objectNameCurrency,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameCurrency,Object Identification Information,Object name,Object name currency,objectNameList > objectNameGroup,objectNameCurrency,string,n,n,y,option list: nameCurrencies,"archaic, current"
core_7-1-0 ns2:collectionobjects_common objectNameLevel,core_7-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLevel,Object Identification Information,Object name,Object name level,objectNameList > objectNameGroup,objectNameLevel,string,n,n,y,option list: nameLevels,"group, subgroup"
