"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats"
"fcart_5-0-3","conditioncheck","Technical Changes",,"Technical change date","technicalChangesGroupList > technicalChangesGroup","technicalChangeDate","structured date group","n","n","y"
"fcart_5-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"fcart_5-0-3","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"fcart_5-0-3","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"fcart_5-0-3","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"fcart_5-0-3","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"fcart_5-0-3","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"fcart_5-0-3","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"fcart_5-0-3","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"fcart_5-0-3","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"fcart_5-0-3","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
"fcart_5-0-3","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"fcart_5-0-3","place","Place Information","Term","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"fcart_5-0-3","place","Place Information","Ownership","Ownership date","placeOwnerGroupList > placeOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"fcart_5-0-3","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"fcart_5-0-3","work","Work Information",,"Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
"bonsai_5-0-2","acquisition","Acquisition Information",,"Accession date",,"accessionDateGroup","structured date group","n","n","n/a"
"bonsai_5-0-2","acquisition","Acquisition Information",,"Acquisition date","acquisitionDateGroupList","acquisitionDateGroup","structured date group","n","y","n"
"bonsai_5-0-2","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"bonsai_5-0-2","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"bonsai_5-0-2","collectionobject","Object Description Information","Textual Inscription > Textual inscription","Textual inscription date","textualInscriptionGroupList > textualInscriptionGroup","inscriptionContentDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","collectionobject","Object Description Information","Non-Textual Inscription > Non-textual inscription","Non-textual inscription date","nonTextualInscriptionGroupList > nonTextualInscriptionGroup","inscriptionDescriptionDateGroup","structured date group","n","n","y"
"bonsai_5-0-2","collectionobject","Object Production Information",,"Production date","objectProductionDateGroupList","objectProductionDateGroup","structured date group","n","y","n"
