fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension reference,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.reference,Object Identification Information,Determination history > Reference > Reference Information,Taxonomic identification reference source,taxonomicIdentGroupList > taxonomicIdentGroup,reference,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension refPage,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.refPage,Object Identification Information,Determination history > Reference,Taxonomic identification reference page,taxonomicIdentGroupList > taxonomicIdentGroup,refPage,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension identKind,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.identKind,Object Identification Information,Determination history,Taxonomic identification kind,taxonomicIdentGroupList > taxonomicIdentGroup,identKind,string,n,n,y,vocabulary: taxonkind,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension notes,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.notes,Object Identification Information,Determination history,Taxonomic identification note,taxonomicIdentGroupList > taxonomicIdentGroup,notes,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension identBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.identBy,Object Identification Information,Determination history > Identification by,Taxonomic identification by,taxonomicIdentGroupList > taxonomicIdentGroup,identBy,string,n,n,y,authority: person/local; authority: organization/local,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension identDateGroup,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.identDateGroup,Object Identification Information,Determination history > Identification by,Taxonomic identification date,taxonomicIdentGroupList > taxonomicIdentGroup,identDateGroup,structured date group,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension institution,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.institution,Object Identification Information,Determination history > Identification by,Taxonomic identification institution,taxonomicIdentGroupList > taxonomicIdentGroup,institution,string,n,n,y,authority: organization/local,""
botgarden_3-0-2 ns2:collectionobjects_common recordStatus,botgarden_3-0-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Provenance data quality,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
botgarden_3-0-2 ns2:collectionobjects_botgarden provenanceType,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.provenanceType,Object Identification Information,"",Provenance type,"",provenanceType,string,n,n,n/a,vocabulary: provenancetype,""
botgarden_3-0-2 ns2:collectionobjects_botgarden rare,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.rare,Object Identification Information,"",Rare,"",rare,string,n,n,n/a,option list: booleans,"false, true"
botgarden_3-0-2 ns2:collectionobjects_botgarden cultivated,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.cultivated,Object Identification Information,"",Cultivated,"",cultivated,string,n,n,n/a,option list: booleans,"false, true"
botgarden_3-0-2 ns2:collectionobjects_botgarden cbdRestriction,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.cbdRestriction,Object Identification Information,"",CBD restriction,"",cbdRestriction,boolean,n,n,n/a,"",""
botgarden_3-0-2 ns2:collectionobjects_botgarden requestedBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.requestedBy,Object Identification Information,"",Requested by,"",requestedBy,string,n,n,n/a,authority: person/local,""
botgarden_3-0-2 ns2:collectionobjects_common briefDescription,botgarden_3-0-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Material type,briefDescriptions,briefDescription,string,n,y,n,"",""
botgarden_3-0-2 ns2:collectionobjects_common namedCollection,botgarden_3-0-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.namedCollection,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,""
botgarden_3-0-2 ns2:collectionobjects_botgarden source,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.source,Object Identification Information,"",Source,"",source,string,n,n,n/a,"",""
botgarden_3-0-2 ns2:collectionobjects_common comment,botgarden_3-0-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Accession note,comments,comment,string,n,y,n,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenKind,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenKind,Object Identification Information,Type specimen,Type specimen kind,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenKind,string,n,n,y,vocabulary: typespecimenkind,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenAssertionBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenAssertionBy,Object Identification Information,Type specimen,Type specimen asserted by,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenAssertionBy,string,n,n,y,authority: person/local,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenReference,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenReference,Object Identification Information,Type specimen,Type specimen reference,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenReference,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenRefPage,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenRefPage,Object Identification Information,Type specimen,Type specimen reference page,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenRefPage,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenBasionym,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenBasionym,Object Identification Information,Type specimen,Type specimen verified basionym,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenBasionym,string,n,n,y,authority: taxon/local,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension typeSpecimenNotes,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.typeSpecimenNotes,Object Identification Information,Type specimen,Type specimen note,typeSpecimenGroupList > typeSpecimenGroup,typeSpecimenNotes,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocVerbatim,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocVerbatim,Locality Information,"",Field collection location verbatim,localityGroupList > localityGroup,fieldLocVerbatim,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocPlace,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocPlace,Locality Information,"",Field collection place,localityGroupList > localityGroup,fieldLocPlace,string,n,n,y,authority: place/local,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension taxonomicRange,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.taxonomicRange,Locality Information,"",Geographic range of taxon,localityGroupList > localityGroup,taxonomicRange,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocCounty,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocCounty,Locality Information,"",County,localityGroupList > localityGroup,fieldLocCounty,string,n,n,y,vocabulary: county,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocState,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocState,Locality Information,"",State,localityGroupList > localityGroup,fieldLocState,string,n,n,y,vocabulary: state,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocCountry,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocCountry,Locality Information,"",Country,localityGroupList > localityGroup,fieldLocCountry,string,n,n,y,vocabulary: country,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension fieldLocHigherGeography,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.fieldLocHigherGeography,Locality Information,"",Higher geography,localityGroupList > localityGroup,fieldLocHigherGeography,string,n,n,y,option list: higherGeographies,"North America, pacificocean"
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vLatitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vLatitude,Locality Information,"",Verbatim latitude,localityGroupList > localityGroup,vLatitude,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vLongitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vLongitude,Locality Information,"",Verbatim longitude,localityGroupList > localityGroup,vLongitude,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vCoordinates,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vCoordinates,Locality Information,"",TRS,localityGroupList > localityGroup,vCoordinates,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vOtherCoords,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vOtherCoords,Locality Information,"",Other coords,localityGroupList > localityGroup,vOtherCoords,string,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vCoordSys,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vCoordSys,Locality Information,"",Other coords system,localityGroupList > localityGroup,vCoordSys,string,n,n,y,vocabulary: vcoordsys,""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension decimalLatitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.decimalLatitude,Locality Information,"",Decimal latitude,localityGroupList > localityGroup,decimalLatitude,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension decimalLongitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.decimalLongitude,Locality Information,"",Decimal longitude,localityGroupList > localityGroup,decimalLongitude,float,n,n,y,"",""
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geodeticDatum,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geodeticDatum,Locality Information,"",Datum,localityGroupList > localityGroup,geodeticDatum,string,n,n,y,option list: geodeticDatums,"ADG66, NAD27, NAD83, NAD83&amp;WGS84, Not Recorded, WGS84"
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension coordUncertainty,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.coordUncertainty,Locality Information,"",Coord uncertainty,localityGroupList > localityGroup,coordUncertainty,float,n,n,y,"",""
