"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,structured date group,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
REPEATING FIELD GROUP,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,conceptTermGroupList < conceptTermGroup,"","","","",citationGroupList < citationGroup,citationGroupList < citationGroup,additionalSourceGroupList < additionalSourceGroup,additionalSourceGroupList < additionalSourceGroup,additionalSourceGroupList < additionalSourceGroup,additionalSourceGroupList < additionalSourceGroup,relatedConceptsGroupList < relatedConceptsGroup,relatedConceptsGroupList < relatedConceptsGroup,relatedConceptsGroupList < relatedConceptsGroup,relatedConceptsGroupList < relatedConceptsGroup,"",""
VALUE SOURCE TYPE,na,na,na,optionlist,optionlist,vocabulary,optionlist,vocabulary,na,authority,authority vocabulary indication,na,na,na,vocabulary,na,na,na,na,na,na,na,na,na,authority,authority vocabulary indication,vocabulary,na,na,na
VALUE SOURCE,"","","","accepted, provisional, rejected, under review","alternate descriptor, descriptor, used for term",concepttermflag,"both, current, historical, unknown",languages,"",,"","","","",conceptrecordtype,"","","","","","","","","",,"",conceptrelationtype,"","",""
CSVHEADER,termDisplayName,termName,termQualifier,termStatus,termType,termFlag,historicalStatus,termLanguage,termPrefForLang,termSource,termSourceAuthorityVocabulary,termSourceDetail,termSourceID,termSourceNote,conceptRecordType,scopeNote,scopeNoteSource,scopeNoteSourceDetail,citationSource,citationSourceDetail,additionalSource,additionalSourceDetail,additionalSourceID,additionalSourceNote,relatedConcept,relatedConceptAuthorityVocabulary,conceptRelationType,conceptRelationDateGroup,conceptTermDateGroup,conceptRemarks
