profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
materials_4-0-1,Citation,citation,Citation Information,"",Term preferred for lang,termPrefForLang,ns2:citations_common.termPrefForLang,termPrefForLang,boolean,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term full citation,termFullCitation,ns2:citations_common.termFullCitation,termFullCitation,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term title,termTitle,ns2:citations_common.termTitle,termTitle,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term subtitle,termSubTitle,ns2:citations_common.termSubTitle,termSubTitle,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term section title,termSectionTitle,ns2:citations_common.termSectionTitle,termSectionTitle,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term volume,termVolume,ns2:citations_common.termVolume,termVolume,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Term issue,termIssue,ns2:citations_common.termIssue,termIssue,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,string,n,n,y,authority; refname,citation/local; citation/shared; authority refname,""
materials_4-0-1,Citation,citation,Citation Information,Source,Term source detail,termSourceDetail,ns2:citations_common.termSourceDetail,termSourceDetail,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,Source,Term source ID,termSourceID,ns2:citations_common.termSourceID,termSourceID,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,Source,Term source note,termSourceNote,ns2:citations_common.termSourceNote,termSourceNote,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Publisher,publisher,ns2:citations_common.publisher,publisherOrganizationLocal; publisherRefname,string,n,n,y,authority; refname,organization/local; authority refname,""
materials_4-0-1,Citation,citation,Citation Information,"",Publication place,publicationPlace,ns2:citations_common.publicationPlace,publicationPlacePlaceLocal; publicationPlaceRefname,string,n,n,y,authority; refname,place/local; authority refname,""
materials_4-0-1,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,structured date group,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Publication edition,edition,ns2:citations_common.edition,edition,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Publication page(s),pages,ns2:citations_common.pages,pages,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentOrganizationLocal; agentRefname,string,n,n,y,authority; refname,person/local; organization/local; authority refname,""
materials_4-0-1,Citation,citation,Citation Information,"",Agent role,role,ns2:citations_common.role,role; roleRefname,string,n,n,y,vocabulary; refname,agentinfotype; vocabulary refname,""
materials_4-0-1,Citation,citation,Citation Information,"",Agent note,note,ns2:citations_common.note,note,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Note,citationNote,ns2:citations_common.citationNote,citationNote,string,n,n,n/a,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Resource identifier,resourceIdent,ns2:citations_common.resourceIdent,resourceIdent,string,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Resource identifier type,type,ns2:citations_common.type,type; typeRefname,string,n,n,y,vocabulary; refname,resourceidtype; vocabulary refname,""
materials_4-0-1,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,structured date group,n,n,y,"","",""
materials_4-0-1,Citation,citation,Citation Information,"",Related term type,relationType,ns2:citations_common.relationType,relationType; relationTypeRefname,string,n,n,y,vocabulary; refname,relationtypetype; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Accession number,objectNumber,ns2:collectionobjects_common.objectNumber,objectNumber,string,y,n,n/a,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Number of objects,objectCount,ns2:collectionobjects_common.objectCount,objectCount,integer,n,n,n,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Other number value,numberValue,ns2:collectionobjects_common.numberValue,numberValue,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Other number type,numberType,ns2:collectionobjects_common.numberType,numberType,string,n,n,y,option list,numberTypes,"QR code, barcode, callnumber, lender, obsolete, previous, serial, unknown"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Collection,collection,ns2:collectionobjects_common.collection,collection,string,n,n,n/a,option list,collections,"circulating, non_circulating"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Named collection,namedCollection,ns2:collectionobjects_common.namedCollection,namedCollectionWorkLocal; namedCollectionRefname,string,n,y,n,authority; refname,work/local; authority refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Record status,recordStatus,ns2:collectionobjects_common.recordStatus,recordStatus,string,n,n,n/a,option list,recordStatuses,"approved, in-process, new, temporary"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Publish to,publishTo,ns2:collectionobjects_common.publishTo,publishTo; publishToRefname,string,n,y,n,vocabulary; refname,publishto; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Inventory status,inventoryStatus,ns2:collectionobjects_common.inventoryStatus,inventoryStatus; inventoryStatusRefname,string,n,y,n,vocabulary; refname,inventorystatus; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Production description,briefDescription,ns2:collectionobjects_common.briefDescription,briefDescription,string,n,y,n,"","",""
