profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Exhibition,Working group member name,Exhibition Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,exhibitionPerson
lhmc_7-0-0,Exhibition,Bibliographic reference,Exhibition Information,"",n,y,authority,citation/local; citation/worldcat,exhibition,exhibitionReference
lhmc_7-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
lhmc_7-0-0,Intake,Source,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
lhmc_7-0-0,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
lhmc_7-0-0,Intake,Insurance company,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
lhmc_7-0-0,Intake,Interim location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; place/local,intake,currentLocation
lhmc_7-0-0,Intake,Condition check by,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
lhmc_7-0-0,Loan In,Loan status authorizer,Loan In Information,"",n,y,authority,person/local; person/ulan,loanin,loaninStatusAuthorizerLHMC
lhmc_7-0-0,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
lhmc_7-0-0,Loan Out,Loan status authorizer,Loan Out Information,"",n,y,authority,person/local; person/ulan; organization/local,loanout,loanoutStatusAuthorizerLHMC
lhmc_7-0-0,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
lhmc_7-0-0,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
lhmc_7-0-0,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
lhmc_7-0-0,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
lhmc_7-0-0,Person,Publication name,Person Information,"",n,y,authority,citation/local; citation/worldcat,person,publicationsPerson
lhmc_7-0-0,Person,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,person,assocPerson
lhmc_7-0-0,Person,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPersonCitation
lhmc_7-0-0,Person,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPeopleCitation
lhmc_7-0-0,Person,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,person,assocOrganization
lhmc_7-0-0,Person,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocOrganizationCitation
lhmc_7-0-0,Person,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,person,assocConcept
lhmc_7-0-0,Person,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocConceptCitation
