profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Reference number,acquisitionReferenceNumber,ns2:acquisitions_common.acquisitionReferenceNumber,acquisitionReferenceNumber,string,y,n,n/a,"","",""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Accession date,accessionDateGroup,ns2:acquisitions_common.accessionDateGroup,accessionDateGroup,structured date group,n,n,n/a,"","",""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorizer,acquisitionAuthorizer,ns2:acquisitions_common.acquisitionAuthorizer,acquisitionAuthorizerPersonLocal; acquisitionAuthorizerRefname,string,n,n,n/a,authority; refname,person/local; authority refname,""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorization date,acquisitionAuthorizerDate,ns2:acquisitions_common.acquisitionAuthorizerDate,acquisitionAuthorizerDate,date,n,n,n/a,"","",""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroup,ns2:acquisitions_common.acquisitionDateGroup,acquisitionDateGroup,structured date group,n,y,n,"","",""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition method,acquisitionMethod,ns2:acquisitions_common.acquisitionMethod,acquisitionMethod,string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourceOrganizationLocal; acquisitionSourceRefname,string,n,y,n,authority; refname,person/local; organization/local; authority refname,""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Owner,owner,ns2:acquisitions_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,string,n,y,n,authority; refname,person/local; organization/local; authority refname,""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,"",Transfer of title number,transferOfTitleNumber,ns2:acquisitions_common.transferOfTitleNumber,transferOfTitleNumber,string,n,n,n/a,"","",""
fcart_8-0-0,Acquisition,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,groupPurchasePriceCurrency,ns2:acquisitions_common.groupPurchasePriceCurrency,groupPurchasePriceCurrency; groupPurchasePriceCurrencyRefname,string,n,n,n/a,vocabulary; refname,currency; vocabulary refname,""
